dataset,sample_size,model,prompt,accuracy,krippendorff_alpha,bp_alpha
synthetic_sample.csv,52,gpt-4.1,bidirectional_prompt.txt,86.54,0.8163,0.8205
synthetic_sample.csv,52,gpt-4.1,old_prompt.txt,72.12,0.6078,0.6282
random_sample_small_3.csv,50,o1-mini,bidirectional_prompt.txt,56.0,0.3305,0.4133
random_sample_small_3.csv,50,o1-mini,bidirectional_prompt.txt,42.0,0.1589,0.2267
random_sample_small_3.csv,50,o1-mini,bidirectional_prompt.txt,53.0,0.2806,0.3733
random_sample_small_4.csv,50,o1-mini,bidirectional_prompt.txt,60.0,0.4328,0.4667
random_sample_small_4.csv,50,o1-mini,bidirectional_prompt.txt,62.0,0.4635,0.4933
random_sample_small_5.csv,50,o1-mini,bidirectional_prompt.txt,61.0,0.4373,0.48
random_sample_small_5.csv,50,o1-mini,bidirectional_prompt.txt,58.0,0.3971,0.44
random_sample_small_6.csv,50,o1-mini,bidirectional_prompt.txt,60.0,0.4411,0.4667
random_sample_small_6.csv,50,o1-mini,bidirectional_prompt.txt,58.0,0.41,0.44
random_sample_small_7.csv,50,o1-mini,bidirectional_prompt.txt,59.0,0.3914,0.4533
random_sample_small_7.csv,50,o1-mini,bidirectional_prompt.txt,52.0,0.3143,0.36
random_sample_small_8.csv,50,o1-mini,bidirectional_prompt.txt,54.0,0.3588,0.3867
random_sample_small_8.csv,50,o1-mini,bidirectional_prompt.txt,49.0,0.293,0.32
random_sample_small_9.csv,50,o1-mini,bidirectional_prompt.txt,45.0,0.2499,0.2667
random_sample_small_9.csv,50,o1-mini,bidirectional_prompt.txt,48.0,0.2883,0.3067
random_sample_small_10.csv,50,o1-mini,bidirectional_prompt.txt,51.0,0.2954,0.3467
random_sample_small_10.csv,50,o1-mini,bidirectional_prompt.txt,62.0,0.4199,0.4933
random_sample_small_11.csv,50,o1-mini,bidirectional_prompt.txt,57.0,0.4156,0.4267
random_sample_small_11.csv,50,o1-mini,bidirectional_prompt.txt,58.0,0.4317,0.44
random_sample_small_12.csv,50,o1-mini,bidirectional_prompt.txt,60.0,0.428,0.4667
random_sample_small_12.csv,50,o1-mini,bidirectional_prompt.txt,65.0,0.4896,0.5333
random_sample_small_3.csv,50,o1-mini,bidirectional_prompt.txt,53.0,0.3045,0.3733
random_sample_small_3.csv,50,o1-mini,bidirectional_prompt.txt,45.0,0.1905,0.2667
random_sample_small_3.csv,50,o3-mini,bidirectional_prompt.txt,43.0,0.1318,0.24
random_sample_small_7.csv,50,o3-mini,bidirectional_prompt.txt,54.0,0.3328,0.3867
random_sample_small_7.csv,50,o3-mini,bidirectional_prompt.txt,59.0,0.3977,0.4533
random_sample_small_7.csv,50,o3-mini,old_prompt.txt,46.0,0.2125,0.28
random_sample_small_7.csv,50,o3-mini,old_prompt.txt,40.0,0.1034,0.2
random_sample_small_7.csv,50,o3-mini,new_prompt2.txt,52.0,0.2782,0.36
random_sample_small_7.csv,50,o3-mini,new_prompt2.txt,51.0,0.2718,0.3467
random_sample_small_7.csv,50,o1-mini,new_prompt2.txt,58.0,0.3663,0.44
random_sample_small_7.csv,50,o1-mini,new_prompt2.txt,46.0,0.2026,0.28
random_sample_small_7.csv,50,o1-mini,old_prompt.txt,52.0,0.3093,0.36
random_sample_small_7.csv,50,o1-mini,old_prompt.txt,41.0,0.1943,0.2133
random_sample_small_7.csv,50,o1-mini,bidirectional_prompt.txt,59.0,0.3972,0.4533
random_sample_small_7.csv,50,o1-mini,bidirectional_prompt.txt,53.0,0.3254,0.3733
random_sample_small_7.csv,50,o4-mini,bidirectional_prompt.txt,64.0,0.4562,0.52
random_sample_small_7.csv,50,o4-mini,bidirectional_prompt.txt,62.0,0.4271,0.4933
random_sample_small_7.csv,50,o4-mini,old_prompt.txt,64.0,0.4438,0.52
random_sample_small_7.csv,50,o4-mini,old_prompt.txt,66.0,0.4824,0.5467
random_sample_small_7.csv,50,o4-mini,new_prompt2.txt,64.0,0.4538,0.52
random_sample_small_7.csv,50,o4-mini,new_prompt2.txt,63.0,0.4359,0.5067
random_sample_small_7.csv,50,gpt-4.1,new_prompt2.txt,54.0,0.2962,0.3867
random_sample_small_7.csv,50,gpt-4.1,new_prompt2.txt,58.0,0.3632,0.44
random_sample_small_7.csv,50,gpt-4.1,old_prompt.txt,49.0,0.2235,0.32
random_sample_small_7.csv,50,gpt-4.1,old_prompt.txt,46.0,0.1917,0.28
random_sample_small_7.csv,50,gpt-4.1,bidirectional_prompt.txt,64.0,0.4621,0.52
random_sample_small_7.csv,50,gpt-4.1,bidirectional_prompt.txt,54.0,0.3233,0.3867
random_sample_small_7.csv,50,gpt-4.1-mini,bidirectional_prompt.txt,61.0,0.4186,0.48
random_sample_small_7.csv,50,gpt-4.1-mini,bidirectional_prompt.txt,56.0,0.3596,0.4133
random_sample_small_7.csv,50,gpt-4.1-mini,new_prompt2.txt,63.0,0.442,0.5067
random_sample_small_7.csv,50,gpt-4.1-mini,new_prompt2.txt,60.0,0.399,0.4667
random_sample_small_7.csv,50,gpt-4.1-mini,old_prompt.txt,58.0,0.3765,0.44
random_sample_small_7.csv,50,gpt-4.1-mini,old_prompt.txt,54.0,0.3268,0.3867
random_sample_small_7.csv,50,gpt-4o,old_prompt.txt,50.0,0.2308,0.3333
random_sample_small_7.csv,50,gpt-4o,old_prompt.txt,46.0,0.1634,0.28
random_sample_small_7.csv,50,gpt-4o,bidirectional_prompt.txt,63.0,0.4486,0.5067
random_sample_small_7.csv,50,gpt-4o,bidirectional_prompt.txt,67.0,0.4274,0.56
random_sample_small_7.csv,50,gpt-4o,old_prompt.txt,53.0,0.2783,0.3733
random_sample_small_7.csv,50,gpt-4o,old_prompt.txt,40.0,0.057,0.2
random_sample_small_7.csv,50,gpt-4-turbo,bidirectional_prompt.txt,58.0,0.3535,0.44
random_sample_small_7.csv,50,gpt-4-turbo,bidirectional_prompt.txt,59.0,0.3999,0.4533
random_sample_small_7.csv,50,gpt-4-turbo,old_prompt.txt,50.0,0.2254,0.3333
random_sample_small_7.csv,50,gpt-4-turbo,old_prompt.txt,59.0,0.3774,0.4533
random_sample_small_7.csv,50,gpt-4-turbo,new_prompt2.txt,59.0,0.3522,0.4533
random_sample_small_7.csv,50,gpt-4-turbo,new_prompt2.txt,64.0,0.4393,0.52
random_sample_small_7.csv,20,gpt-4.5-preview,new_prompt2.txt,52.5,0.2869,0.3667
random_sample_small_7.csv,20,gpt-4.5-preview,new_prompt2.txt,52.5,0.288,0.3667
random_sample_small_7.csv,20,gpt-4.5-preview,new_prompt2.txt,52.5,0.2973,0.3667
random_sample_small_3.csv,50,o4-mini,bidirectional_prompt.txt,67.0,0.4779,0.56
random_sample_small_3.csv,50,o4-mini,bidirectional_prompt.txt,58.0,0.3271,0.44
random_sample_small_4.csv,50,o4-mini,bidirectional_prompt.txt,58.0,0.4041,0.44
random_sample_small_4.csv,50,o4-mini,bidirectional_prompt.txt,60.0,0.4251,0.4667
random_sample_small_5.csv,50,o4-mini,bidirectional_prompt.txt,59.0,0.4132,0.4533
random_sample_small_5.csv,50,o4-mini,bidirectional_prompt.txt,55.0,0.3621,0.4
synthetic_sample.csv,52,o4-mini,bidirectional_prompt.txt,91.35,0.877,0.8846
synthetic_sample.csv,52,o4-mini,bidirectional_prompt.txt,93.27,0.9053,0.9103
synthetic_sample.csv,52,o4-mini,bidirectional_prompt.txt,91.35,0.8767,0.8846
synthetic_sample.csv,52,o4-mini,bidirectional_prompt.txt,93.27,0.904,0.9103
synthetic_sample.csv,52,gpt-4.1-mini,bidirectional_prompt.txt,89.42,0.8497,0.859
synthetic_sample.csv,52,gpt-4.1-mini,bidirectional_prompt.txt,86.54,0.8069,0.8205
forbes.csv,130,gpt-4.1-mini,bidirectional_prompt.txt,54.62,0.3716,0.3949
forbes.csv,130,gpt-4.1-mini,bidirectional_prompt.txt,53.08,0.3478,0.3744
forbes.csv,130,o4-mini,bidirectional_prompt.txt,62.31,0.4826,0.4974
forbes.csv,132,o4-mini,bidirectional_prompt.txt,59.47,0.444,0.4596
random_sample_small_3.csv,50,o4-mini,bidirectional_prompt.txt,62.0,0.3697,0.4933
random_sample_small_4.csv,50,o4-mini,bidirectional_prompt.txt,62.0,0.4687,0.4933
random_sample_small_5.csv,50,o4-mini,bidirectional_prompt.txt,58.0,0.3991,0.44
random_sample_small_6.csv,50,o4-mini,bidirectional_prompt.txt,50.0,0.3043,0.3333
random_sample_small_7.csv,50,o4-mini,bidirectional_prompt.txt,58.0,0.3753,0.44
random_sample_small_8.csv,50,o4-mini,bidirectional_prompt.txt,70.0,0.5703,0.6
random_sample_small_9.csv,50,o4-mini,bidirectional_prompt.txt,43.0,0.2138,0.24
random_sample_small_10.csv,50,o4-mini,bidirectional_prompt.txt,61.0,0.3894,0.48
random_sample_small_11.csv,50,o4-mini,bidirectional_prompt.txt,58.0,0.4185,0.44
random_sample_small_12.csv,50,o4-mini,bidirectional_prompt.txt,54.0,0.3414,0.3867
forbes_trumpiverse.csv,128,o4-mini,bidirectional_prompt.txt,53.91,0.3417,0.3854
forbes_trumpiverse.csv,128,o4-mini,bidirectional_prompt.txt,51.95,0.3212,0.3594
forbes_trumpiverse.csv,128,o4-mini,bidirectional_prompt.txt,51.95,0.3096,0.3594
forbes_trumpiverse.csv,128,o4-mini,detailed_guidance_prompt.txt,72.27,0.5835,0.6302
forbes_trumpiverse.csv,128,o4-mini,detailed_guidance_prompt.txt,73.83,0.6095,0.651
forbes_trumpiverse.csv,128,o4-mini,detailed_guidance_prompt.txt,73.44,0.5979,0.6458
forbes_trumpiverse.csv,128,gpt-4o,detailed_guidance_prompt.txt,69.53,0.5626,0.5938
forbes_trumpiverse.csv,128,gpt-4.1,detailed_guidance_prompt.txt,73.44,0.611,0.6458
forbes_trumpiverse.csv,128,gpt-4.1-nano,detailed_guidance_prompt.txt,49.22,0.2623,0.3229
forbes_trumpiverse.csv,128,gpt-3.5-turbo,detailed_guidance_prompt.txt,50.78,0.2992,0.3438
forbes_trumpiverse.csv,128,o1,detailed_guidance_prompt.txt,76.95,0.6518,0.6927
forbes_trumpiverse.csv,128,o4-mini,detailed_guidance_prompt.txt,81.64,0.7195,0.7552
forbes_trumpiverse.csv,128,o4-mini,detailed_guidance_prompt.txt,83.2,0.7463,0.776
forbes_trumpiverse.csv,128,o4-mini,detailed_guidance_prompt.txt,84.38,0.7632,0.7917
forbes_trumpiverse.csv,128,o3-mini,detailed_guidance_prompt.txt,80.08,0.7023,0.7344
forbes_trumpiverse.csv,128,o1,detailed_guidance_prompt.txt,87.5,0.8116,0.8333
forbes_trumpiverse.csv,128,gpt-4o,detailed_guidance_prompt.txt,73.83,0.6212,0.651
forbes_trumpiverse.csv,128,gpt-4.1,detailed_guidance_prompt.txt,84.77,0.7718,0.7969
forbes_trumpiverse.csv,128,gpt-4.1-mini,detailed_guidance_prompt.txt,78.12,0.6746,0.7083
forbes_trumpiverse.csv,95,gpt-3.5-turbo,detailed_guidance_prompt.txt,66.84,0.481,0.5579
forbes_trumpiverse.csv,126,gpt-3.5-turbo,detailed_guidance_prompt.txt,63.1,0.4544,0.5079
forbes_trumpiverse.csv,125,gpt-3.5-turbo,detailed_guidance_prompt.txt,58.4,0.3809,0.4453
synthetic_sample.csv,52,gpt-3.5-turbo,detailed_guidance_prompt.txt,52.88,0.3368,0.3718
synthetic_sample.csv,52,o4-mini,detailed_guidance_prompt.txt,57.69,0.4286,0.4359
synthetic_sample.csv,52,o4-mini,bidirectional_prompt.txt,92.31,0.8915,0.8974
forbes_trumpiverse.csv,128,o4-mini,zero_shot_prompt.txt,76.17,0.6257,0.6823
forbes_trumpiverse.csv,128,gpt-4o,bidirectional_prompt.txt,51.95,0.2968,0.3594
forbes_trumpiverse.csv,128,gpt-4o,detailed_guidance_prompt.txt,72.27,0.5999,0.6302
forbes_trumpiverse.csv,128,gpt-4.1,detailed_guidance_prompt.txt,81.64,0.7282,0.7552
forbes_trumpiverse.csv,128,gpt-4.1,bidirectional_prompt.txt,61.72,0.4384,0.4896
forbes_trumpiverse.csv,128,gpt-4.1,zero_shot_prompt.txt,73.05,0.5786,0.6406
forbes_trumpiverse.csv,128,gpt-4o,zero_shot_prompt.txt,68.75,0.5445,0.5833
forbes_trumpiverse.csv,128,gpt-4o,bidirectional_prompt.txt,71.88,0.58,0.625
forbes_trumpiverse.csv,128,gpt-4.1,bidirectional_prompt.txt,71.88,0.5649,0.625
forbes_trumpiverse.csv,128,o4-mini,bidirectional_prompt.txt,75.39,0.618,0.6719
forbes_trumpiverse.csv,128,o1,bidirectional_prompt.txt,73.83,0.6122,0.651
forbes_trumpiverse.csv,128,o1,zero_shot_prompt.txt,76.95,0.6492,0.6927
forbes_trumpiverse.csv,128,o1,detailed_guidance_prompt.txt,86.33,0.7925,0.8177
random_sample_small_3.csv,50,o4-mini,detailed_guidance_prompt.txt,71.0,0.4519,0.6133
random_sample_small_4.csv,50,o4-mini,detailed_guidance_prompt.txt,56.0,0.3352,0.4133
random_sample_small_5.csv,50,o4-mini,detailed_guidance_prompt.txt,55.0,0.3065,0.4
random_sample_small_6.csv,50,o4-mini,detailed_guidance_prompt.txt,46.0,0.154,0.28
random_sample_small_7.csv,50,o4-mini,detailed_guidance_prompt.txt,62.0,0.3666,0.4933
random_sample_small_8.csv,50,o4-mini,detailed_guidance_prompt.txt,56.0,0.2904,0.4133
random_sample_small_9.csv,50,o4-mini,detailed_guidance_prompt.txt,51.0,0.2488,0.3467
random_sample_small_10.csv,50,o4-mini,detailed_guidance_prompt.txt,61.0,0.3224,0.48
random_sample_small_11.csv,50,o4-mini,detailed_guidance_prompt.txt,59.0,0.4076,0.4533
random_sample_small_12.csv,50,o4-mini,detailed_guidance_prompt.txt,56.0,0.329,0.4133
random_sample_small_3.csv,50,o4-mini,bidirectional_prompt.txt,73.0,0.4811,0.64
random_sample_small_4.csv,50,o4-mini,bidirectional_prompt.txt,46.0,0.2184,0.28
random_sample_small_5.csv,50,o4-mini,bidirectional_prompt.txt,58.0,0.3777,0.44
random_sample_small_6.csv,50,o4-mini,bidirectional_prompt.txt,46.0,0.2415,0.28
random_sample_small_7.csv,50,o4-mini,bidirectional_prompt.txt,57.0,0.2694,0.4267
random_sample_small_8.csv,50,o4-mini,bidirectional_prompt.txt,68.0,0.5281,0.5733
random_sample_small_9.csv,50,o4-mini,bidirectional_prompt.txt,44.0,0.2047,0.2533
random_sample_small_10.csv,50,o4-mini,bidirectional_prompt.txt,61.0,0.3429,0.48
random_sample_small_11.csv,50,o4-mini,bidirectional_prompt.txt,57.0,0.4031,0.4267
random_sample_small_12.csv,50,o4-mini,bidirectional_prompt.txt,52.0,0.309,0.36
forbes_trumpiverse.csv,128,o4-mini,detailed_guidance_prompt.txt,81.64,0.7171,0.7552
synthetic_sample.csv,52,o4-mini,detailed_guidance_prompt.txt,58.65,0.4424,0.4487
forbes_trumpiverse.csv,128,gpt-4o-mini,detailed_guidance_prompt.txt,66.8,0.5116,0.5573
news_articles_trump_musk_labeled_md.csv,1815,gpt-5-mini,detailed_guidance_prompt.txt,67.02,0.5402,0.5603
news_articles_trump_musk_labeled_md.csv,1815,o4-mini,detailed_guidance_prompt.txt,64.52,0.5098,0.5269
news_articles_trump_musk_labeled_md.csv,1815,gpt-5,detailed_guidance_prompt.txt,69.2,0.5726,0.5893
forbes_trumpiverse.csv,128,gpt-5,detailed_guidance_prompt.txt,86.72,0.7987,0.8229
