"sentence","head","tail","rel_head_tail","rel_tail_head"
"Papadopoulos engaged both Polonskaya and Timofeev, along with Mifsud, as part of his outreach to Russia.","Papadopoulos","Polonskaya","neutral","none"
"On September 20, 2016, the GRU began to generate copies of the DNC data using function designed to allow users to produce backups of databases (referred to as ""snapshots"").","GRU","DNC","negative","none"
"On March 24, 2016, Papadopoulos met with Mifsud and Olga Polonskaya, a Russian-national, at the Holborn Hotel.","Papadopoulos","Mifsud","neutral","neutral"
"Mifsud introduced Papadopoulos to Olga Polonskaya and Ivan Timofeev.","Papadopoulos","Ivan Timofeev","neutral","none"
"Papadopoulos recalled that he and Joseph Mifsud discussed U.S.-Russia trade issues during the meeting, and noted that Polonskaya was escorted by an unknown male who did not join them.","Joseph Mifsud","Polonskaya","neutral","neutral"
"Although Mifsud worked for LCILP, Papadopoulos had not previously met him.","Mifsud","LCILP","neutral","none"
"On June 14, 2016, Cohen and Sater met in person in Trump Tower, and Cohen likely relayed that he would not be able to travel to Russia at that time.","Cohen","Sater","neutral","neutral"
"FBI technical analysis of Papadopoulos's cell phone indicates that Mifsud sent Papadopoulos a text message on March 22, 2016, writing: ""My number: joseph'.""","Mifsud","Papadopoulos","neutral","neutral"
"This is in contrast to what Clovis stated in his interview with the Committee, during which he stated, ""I think my advice to George [Papadopoulos] has always been: No to Russia.""","Clovis","Papadopoulos","neutral","neutral"
"A short time later, with a serious look on Donald Trump's face, he said to James Comey, “I need loyalty.","Donald Trump","James Comey","neutral","neutral"
"The same day, a representative from the Trump Campaign responded to Papadopoulos with the subject line, ""follow up from Michael Glassner,"" to confirm that Papadopoulos would like to be introduced to Sam Clovis, who was the National Co-Chair and Chief Policy Adviser for the Trump Campaign and was at that time charged with forming a foreign policy team for the Trump Campaign.","Michael Glassner","Papadopoulos","neutral","neutral"
"Papadopoulos first reached out to the Trump Campaign in the summer of 2015, and was referred to Michael Glassner, the National Political Director for the Trump Campaign, by Corey Lewandowski, the Trump Campaign manager at the time.","Papadopoulos","Trump Campaign","positive","none"
"Mangiante characterized Mifsud as being affiliated with a number of universities in Europe, including the Link Campus University in Rome, Italy; the University of East Anglia and the University of Stirling in the United Kingdom; as well as serving as the Director of the London Academy of Diplomacy.","Mifsud","University of East Anglia","positive","none"
"George Papadopoulos also testified that Idris reiterated Mifsud's claim, stating ""[t]his is Putin's niece or the Russian President's niece.""","Idris","George Papadopoulos","neutral","neutral"
"Aras Agalarov is a prominent oligarch in Russia, and his son, Emin Agalarov, is a musician and businessman in Moscow.","Aras Agalarov","Emin Agalarov","positive","positive"
"By early 2018, Kilimnik was again working with Manafort-who was under criminal indictment in the United States-in an attempt to organize a poll in Ukraine that would quietly try to gauge voter sentiment on Yanukovych.","Manafort","Kilimnik","positive","positive"
"The information that Natalia Veselnitskaya, the Russian lawyer, offered during the June 9, 2016 meeting and planned to offer again at the follow up meeting requested by Aras Agalarov was part of a broader influence operation targeting the United States that was coordinated, at least in part, with elements of the Russian government.","United States","Russian Government","negative","negative"
"In September 2015, Trump authorized Cohen to pursue a deal in Russia through Felix Sater, a longtime business associate of Trump.","Trump","Cohen","positive","none"
"However, after defendant Papadopoulos informed [Mifsud] about his joining the [Trump] Campaign, the Professor appeared to take great interest in defendant Papadopoulos.","Mifsud","Papadopoulos","positive","none"
"Papadopoulos first reached out to the Trump Campaign in the summer of 2015, and was referred to Michael Glassner, the National Political Director for the Trump Campaign, by Corey Lewandowski, the Trump Campaign manager at the time.","Corey Lewandowski","Papadopoulos","positive","none"
"According to Papadopoulos's statement of offense, Mifsud introduced Polonskaya to Papadopoulos as a relative of Vladimir Putin and as someone who had connections to senior Russian government officials.","Mifsud","Polonskaya","neutral","none"
"Papadopoulos characterized a transition in their relationship, shifting from ""seemingly obscure girl ... to now the interlocutor with Mifsud to the Russian Government for me.""","Papadopoulos","Mifsud","neutral","none"
"Despite efforts by certain individuals to remove him from the Campaign, Papadopoulos continued to assert his affiliation with the Campaign and remained in contact with senior staff such as Stephen Bannon and Michael Flynn.","Papadopoulos","Stephen Bannon","neutral","neutral"
