"","sentence","head","tail","relation"
"1636","I begged him not to do the meeting at the time and [E]min also[.]","Emin Agalarov","Aras Agalarov","neutral1"
"1637","Several days later, Mermoud informed Gates that he would be meeting with Chaly on a separate subject soon and asked if he had ""any guidance"" from Manafort.","Mermoud","Gates","neutral2"
"1638","Graff's confirmation that Trump had received the letter was passed on to Emin Agalarov and other Agalarov staff.","Graff","Emin Agalarov","neutral2"
"1639","In 2017, Kilimnik denied in private communications with Patten that there was Russian interference in the U.S. elections.","Kilimnik","Patten","neutral2"
"1640","Cohen ultimately declined Klokov's offers.","Cohen","Klokov","negative1"
"1641","The previously unreported meeting was also attended by Mr. Trump’s campaign chairman at the time, Paul J. Manafort, and by the president’s son-in-law, Jared Kushner.","Jared Kushner","Natalia Veselnitskaya","neutral2"
"1642","Bannon recalled that Donald Trump brought Comey up with him at least eight times on May 3 and May 4, 2017.","Donald Trump","Bannon","neutral2"
"1643","According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Emin Agalarov","Roman Beniaminov","neutral2"
"1644","While the Committee has no further evidence of direct communications between Lyovochkin and Manafort after this meeting, Manafort continued to work closely on Ukraine issues with Kilimnik.","Manafort","Kilimnik","positive2"
"1645","According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Aras Agalarov","Murtaza Akbar","neutral2"
"1646","In an email Goldstone explained that Dimitry Peskov ""is in direct daily contact with Vladimir Putin and has been briefed to expect an email and physical letter.""","Dimitry Peskov","Vladimir Putin","neutral1"
"1647","Azarov's press spokesperson both during his time serving as Prime Minister in Ukraine and when he announced his government-in-exile from Moscow, was Serhiy Zavorotnyy, an SVR officer involved in influence operations.","Azarov","Ukraine","neutral1"
"1648","In his email to Bannon, Boyle advised Bannon to call Stone, and when Bannon said he had ""important stuff to worry about,"" Boyle replied, ""Well clearly he knows what Assange has.","Boyle","Bannon","neutral2"
"1649","The nature of the meeting or meetings between Akhmetshin and Kilimnik, according to Patten, related to then-Ukrainian Government President Viktor Yanukovych visiting New York.","Viktor Yanukovych","Ukrainian Government","positive2"
"1650","These efforts have targeted elections and sought to sow discord by amplifying societal divisions.","Konstantin Rykov","United States","negative1"
"1651","Hicks immediately forwarded the inquiry to Cohen and copied Corey Lewandowski, writing only ""Michael?"" in the body of the email.","Hicks","Cohen","neutral2"
"1652","Cuomo told CNN on Friday that Trump's assessment of the situation ""incorrect and grossly uninformed.""","Cuomo","CNN","neutral2"
"1653","Given Goldstone's role in arranging the 2013 Miss Universe contest in Moscow, which Trump was involved in, Kaveladze believed Goldstone.","Kaveladze","Goldstone","positive1"
"1654","Leading up to that testimony, Donald Trump continued to tell advisors that he wanted Comey, James Jr. to make public that Donald Trump was not under investigation.","Donald Trump","Comey","neutral1"
"1655","Veselnitskaya was also one of the leading Russian Government nationals in the lobbying effort against the Magnitsky Act and its sanctions in the United States.","Veselnitskaya","Russian Government","positive2"
"1656","Zemlyanski was involved in Ukraine with Klyushin and Rykov, and was removed from Twitter after he made an online death threat toward a U.S. official in Moscow.","Zemlyanski","Klyushin","neutral1"
"1657","But on the day after the election, Steve Bannon—soon to be named chief strategist for the forty-fifth president-elect—was greeted as he arrived midmorning in Trump Tower by Anthony Scaramucci, holding a Starbucks coffee for him.","Steve Bannon","Trump","positive2"
"1658","For Bannon to live, Kushner would have to be wholly discredited—pilloried, investigated, possibly even jailed.","Bannon","Kushner","negative2"
"1659","Patten ultimately confronted Kilimnik about Olson's allegation, and Kilimnik denied he was the source of the leak.","Patten","Kilimnik","negative1"
"1660","On September 9, the Guccifer 2.0 persona shared the HelloFLA! blog post with Stone that provided an ""exclusive"" report of a hacked Democratic turnout model that the GRU had fed to Nevins, and asked for his opinion.","Guccifer 2.0","Stone","positive1"
"1661","Emin Agalarov is Executive Vice President of Crocus group and is also a musician.","Emin Agalarov","Crocus group","neutral1"
"1662","In an email to Trump Jr., Manafort shared a Politico article that seems to have underpinned repeated claims by others helping advance this narrative.","Manafort","Trump Jr.","neutral2"
"1663","Cohen made contact in January 2016 with a Russian Presidential Administration aide to Dmitri Peskov, a senior Kremlin official and key advisor to Putin.","Dmitri Peskov","Putin","neutral1"
"1664","Why was this such a big deal?""'","Paula Shugart","Rob Goldstone","neutral2"
"1665","The timing of Mifsud's visit to Moscow and his subsequent conversation with Papadopoulos are consistent with the timeline of the GRU's cyber penetration of the DNC and DCCC, several weeks before any information about that activity was public.","GRU","DCCC","negative1"
"1666","In his interview with the Committee, Emin Agalarov sought to distance himself from Klyushin and Klyushina.","Emin Agalarov","Klyushina","negative1"
"1667","IRA employees frequently used Twitter, Facebook, and Instagram to contact and recruit U.S. persons who followed the group.","IRA","Facebook","negative1"
"1668","According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Olivia Culpo","Esther Swan","neutral2"
"1669","Roman Beniaminov told the Committee that Aras Agalarov instructed him to deliver the gift, a painting, with Goldstone's assistance.","Goldstone","Roman Beniaminov","neutral1"
"1670","I told Donald Trump Felix is bringing the proposal, and Donald Trump was like: Oy, Felix!","Donald Trump","Felix","neutral1"
"1671","The time has been defined in part by California's defiance of Trump and the state's pride in serving as the center of the resistance to Trump administration policies.","California","Trump","negative2"
"1672","Kilimnik also worked to arrange meetings between Department of State officials and senior Ukrainian politicians, most notably Lyovochkin.","Kilimnik","Lyovochkin","neutral2"
"1673","For example, on July 14, 2016, GRU officers operating under the DCLeaks persona sent a link and password for a non-public DCLeaks webpage to a U.S. reporter via the Facebook account.","DCLeaks","GRU","neutral2"
"1674","Roman Beniaminov, a close friend and aide to Emin Agalarov, recalled that at the signing the Miss Universe Organization group presented Aras Agalarov with a bottle of tequila to celebrate the occasion.","Miss Universe Organization","Aras Agalarov","positive2"
"1675","At the lunch Anatoli Samochornov and Natalia Veselnitskaya were joined by Irakli Kaveladze and possibly Akhmetshin.","Anatoli Samochornov","Kaveladze","neutral2"
"1676","The Committee assesses that as of 2014, Rykov has also been significantly involved in Russian Government influence operations targeting Ukraine, likely at the Kremlin's request.","Russian Government","Rykov","positive1"
"1677","Both the GRU and WikiLeaks sought to hide their communications, which has limited the Office's ability to collect all of the communications between them.","GRU","WikiLeaks","neutral2"
"1678","After the U.S. intelligence community publicly announced its assessment that Russia was behind the hacking operation, Assange continued to deny that the Clinton materials released by WikiLeaks had come from Russian hacking.","Wikileaks","Clinton","negative1"
"1679","Papadopoulos recalled that they discussed U.S.-Russia trade issues during the meeting, and noted that Polonskaya was escorted by an unknown male who did not join them.","Papadopoulos","Polonskaya","neutral2"
"1680","According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Aras Agalarov","Keith Schiller","neutral2"
"1681","Shortly thereafter, Cohen forwarded architectural renderings for the project directly to Rozov.","Cohen","Rozov","neutral2"
"1682","In March 2016, WikiLeaks released a searchable archive of approximately 30,000 Clinton emails that had been obtained through FOIA litigation","WikiLeaks","Clinton","neutral2"
"1683","Senior leaders ofthe PoR, who paid Manafort and with whom Manafort maintained close personal relationships, were reliant on corruption and organized crime. For example, Yuriy Boyko and Dmytro Firtash two Ion -time allies and funders of the PoR who maintained close relationships with Manafort.","Dmytro Firtash","Manafort","positive2"
"1684","In his December 19, 2015 messages to Cohen, Sater explained that the meetings in Moscow he was working to setup related to the Trump project should not appear overtly political, but the meetings would be with Putin and other Kremlin insiders.","Sater","Putin","neutral2"
"1685","US Rep. Anna Eshoo, who represents Silicon Valley, credited Newsom with being creative through his use of executive orders and aggressive in his cold calls to business leaders.","Anna Eshoo","Newsom","positive1"
"1686","Further, Manafort told Gates that the RNC was going to ""run the WikiLeaks issue to ground.""","Manafort","Gates","neutral2"
"1687","On December 29, 2015, Cohen sent a message to Sater asking if there was any response ""from Russia.""","Cohen","Sater","neutral2"
"1688","8 Goldstone told the Committee that in the afternoon Emin Agalarov had shown Trump around Crocus, and that Trump had ""gone on this little drive around the property.""","Emin Agalarov","Trump","positive1"
"1689","According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Olivia Culpo","Keith Schiller","neutral2"
"1690","Manafort and Kilimnik also continue to pursue the pro-Russia Ukraine peace plan Kilimnik had first raised with Manafort during their August 2016 meeting, including efforts to organize a poll testing the peace plan in Spring 2018.","Manafort","Kilimnik","positive2"
"1691","Goldstone recalled that he remained at the party until Trump and Schiller left to return to the hotel, again with a police escort and security.","Goldstone","Schiller","neutral1"
"1692","At the meeting, Yakunin also raised a report that had information he believed Rohrabacher should review.","Yakunin","Rohrabacher","neutral1"
"1693","Kilimnik, first as an employee of Manafort's in Kyiv, and later as Patten's partner, served in several roles, most notably as an advisor to the presidential administration and in particular to Yanukoych's then-chief of staff, Lyovochkin.","Kilimnik","Lyovochkin","positive2"
"1694","Kilimnik believed that Leshchenko was ""part of the group of deputies who launched [a] PR offensive in coordination with HRC HQ and poured mud over us in the media,","Leshchenko","HRC HQ","neutral2"
"1695","Konstantin Rykov also claims to have been in direct contact over Twitter with Donald Trump in 2012.","Konstantin Rykov","Donald Trump","positive1"
"1696","Guccifer 2.0 and DCLeaks Account exchanged a total of 45 communications from September 15 through October 18.","Guccifer 2.0","DCLeaks Account","neutral2"
"1697","According to Mermoud, Chaly was ""upset"" about the changes to the Republican platform related to Ukraine.","Chaly","Republican Platform","negative1"
"1698","Fabrizio had been hired by the Trump Campaign at Manafort's urging after Manafort joined the Campaign","Manafort","Fabrizio","positive1"
"1699","Another Trump ally, who is not serving in the Administration, said Trump got what he wanted in Priebus.","Trump","Priebus","positive1"
"1700","I'm not sure who else, probably Keith.","Keith","Rob Goldstone","neutral2"
"1701","Following that, Kilimnik suggested that Manafort ""could start the process and within 10 days visit Russia (BG guarantees your reception at the very top level, cutting through all the bullshit and getting down to business), Ukraine, and key EU capitals.""","Manafort","Viktor Yanukovych","positive2"
"1702","Manafort communicated electronically with Kilimnik and met Kilimnik in person twice while serving on the Trump Campaign.","Manafort","Kilimnik","neutral2"
"1703","At the Convention, Mermoud had introduced Manafort to then-Ukrainian Ambassador to the United States Valeriy Chaly.","Mermoud","Manafort","positive1"
"1704","Congress needs to pass a spending bill by April 28 and another in September, renew the Federal Aviation Administration and boost the debt limit.","Congress","Federal Aviation Administration","positive1"
"1705","Sater recalled making a licensing deal proposal to Russian oligarch Sergei Polansky related to a ""Federation Tower Trump.""","Sater","Sergei Polansky","neutral1"
"1706","During that meeting, the White House chief of staff, John Kelly, told Ms Pirro Ms Pirro was inflaming an already vexed Donald Trump, the people said.","Ms Pirro","Donald Trump","negative1"
"1707","Then, at approximately 1:40 p.m., Stone received a one-minute call from Keith Schiller's phone number, which records show it originating from East Elmhurst, New York - in proximity to LaGuardia Airport.","Keith Schiller","Stone","neutral2"
"1708","An example of the overlap between Russian-directed influence efforts and those where Deripaska had a personal interest-and employed Manafort to advance both-is Montenegro.","Deripaska","Manafort","positive1"
"1709","I'm not sure who else, probably Keith.","Keith","Aras Agalarov","neutral2"
"1710","At 9:00 p.m. on November 7, Donald Trump and Keith Schiller were scheduled to board the private airplane of Phil Ruffin.","Donald Trump","Keith Schiller","neutral2"
"1711","Manafort also organized U.S.based firms, particularly Mercury Public Affairs and the Podesta Group, to conduct lobbying and public relations on behalf of the PoR and the Yanukovych regime.","Mercury Public Affairs","PoR","neutral1"
"1712","Goldstone informed Graff via email that Aras Agalarov wanted Goldstone to deliever the letter and book that same day, ""ahead of Sunday's debate.""","Goldstone","Graff","neutral2"
"1713","Papadopoulos characterized a transition in their relationship, shifting from ""seemingly obscure girl ... to now the interlocutor with Mifsud to the Russian Government for me.""","Mifsud","Russian government","neutral1"
"1714","Barrack also told Manafort that he would talk to Trump ""one on one"" on March 11, 2016, and ""lean hard.""","Barrack","Manafort","neutral2"
"1715","Rick Gates, who was serving in a senior position on the Trump Campaign, recalled that at a regular morning meeting in the days leading up to the June 9, 2016 meeting, Trump Jr. announced that he had a lead on negative information about the Clinton Foundation.","Rick Gates","Trump Campaign","neutral1"
"1716","At end of the meeting with Kosachev, Kosachev passed Rohrabacher a note.","Kosachev","Rohrabacher","neutral2"
"1717","Also on June 14, Goldstone emailed Emin Agalarov and Kaveladze and attached a CNN article titled, ""Russian hackers stole Dems' Trump files, firm says.""","Goldstone","Emin Agalarov","neutral2"
"1718","And Vladimir Putin actually said to Donald Trump that, if he could, he'd like to invite him to the Sochi Winter Olympics.","Vladimir Putin","Donald Trump","positive1"
"1719","At the time, Bannon still worked in the White House.","Bannon","White House","neutral1"
"1720","Among the U.S. ""leaders of public opinion"" targeted by the IRA were various members and surrogates of the Trump Campaign.","IRA","members and surrogates of the Trump Campaign","positive1"
"1721","On Sunday, October 27, Svetlana Bignova, Grachev's deputy, sent an email to Goldstone, Emin Agalarov, Kaveladze, Grachev, and Beniaminov.","Svetlana Bignova","Emin Agalarov","neutral2"
"1722","Assange, who was residing at the time at the Ecuador Embassy in London had frequent visitors in the summer and fall of 2016.","Assange","the Ecuador Embassy","neutral1"
"1723","Cohen eventually made contact in January 2016 with a Russian Presidential Administration aide to Dmitri Peskov, a senior Kremlin official and key advisor to Putin.","Dmitri Peskov","Putin","neutral1"
"1724","Rhona Graff asked Rob G. to draft something we could tweak.","Rhona Graff","Rob G","neutral2"
"1725","The document predicted a Trump victory in the election just days away. In the two-page memorandum, Manafort counseled that the Trump team must prepare the public and media for this result or else face rejection and backlash.","Manafort","the Trump team","positive1"
"1726","Manafort had a long history of working with Kolesnikov and had previously assisted him as early as 2005 on behalf of Akhmetov and Deripaska related to Kolesnikov's arrest on extortion charges.","Manafort","Kolesnikov","neutral2"
"1727","The Russian government has pursued a relationship with Julian Assange and WikiLeaks that includes formal partnerships with state-owned media platforms, government assistance for WikiLeaks associates and sources, and information sharing.","Russian Government","Julian Assange","positive1"
"1728","On April 8, 2016, Aras Agalarov brought the letter to an interview with The Washington Post's Moscow Bureau Chief.","Aras Agalarov","The Washington Post","neutral1"
"1729","Kilimnik later shared with Patten what he had learned about Manafort' s ""campaign strategy"" at the ·meeting , including a discussion of whether Trump ""[has] a shot; if he has a shot, why.""","Patten","Kilimnik","positive1"
"1730","Chrysostomides used his company, Dr. K. Chrysostomides & Co LLC (DKCC) to create at least three shell companies on behalf of Manafort, Gates, and Deripaska-Lucile Consultants Limited, Bletilla Ventures Limited, and Yiakora Ventures Limited-all registered to 1 Lampousas Street, 1095 Nicosia, Cyprus.","Gates","Bletilla Ventures Limited","neutral2"
"1731","Earlier that day, candidate Trump made public statements that included the following: ""Russia, if you're listening, I hope you're able to find the 30,000 emails that are missing.","Trump","Russia","neutral2"
"1732","Patten told the SCO that after he had left IRI, an IRI employee who worked at IRI's Belarus desk, Trig Olson, made a claim that Kilimnik leaked information to Russian intelligence.","Patten","SCO","neutral2"
"1733","Manafort further claimed that he met with Kilinmik for an hour and a half at Manafort's hotel, where Kilimnik told him that the criminal investigation in Ukraine was ""going nowhere.""","Kilimnik","Manafort","neutral2"
"1734","The GRU later released additional materials through the organization WikiLeaks.","WikiLeaks","GRU","neutral1"
"1735","At 2:42 a.m. the following morning, Goldstone texted Trump Jr.: ""Mazal Tov!""","Trump","Goldstone","neutral2"
"1736","Rob Goldstone did say that he saw Don at a ridiculous meeting, where Rob Goldstone went and they supposedly had emails from the Democrats and dirt on Hillary and then it turned out to be something about adoptions; and it was just ridiculous and it was just stupid.","Rob Goldstone","Don","neutral2"
"1737","Candidate Trump signed a Letter of lntent for Trump Tower Moscow by November 2015, and in January 2016 Trump Organization executive Michael Cohen emailed and spoke about the project with the office of Russian government press secretary Dmitry Peskov.","Michael Cohen","Dmitry Peskov","neutral2"
"1738","Sater explained that GenBank was ""owned 50% by Government and is run as a junior for VTB.""","Sater","Michael Cohen","neutral2"
"1739","In a limited way, the GRU tried to bolster the DCLeaks Facebook page with other, more established GRU personas.","GRU","the DCLeaks Facebook page","positive1"
"1740","However, other communications suggest that Manafort and Kilimnik may have discussed the U.S. elections and Manafort's strategy to defeat Clinton in this time period.","Manafort","Clinton","negative1"
"1741","During the meeting, Kilimnik updated Manafort on what was happening with Lyovochkin, Akhmetov, and their ""other friends"" in Kyiv.","Lyovochkin","Manafort","positive2"
"1742","By February 25, 2016, Barrack had spoken to Trump twice about the possibility of Manafort joining the Campaign.","Trump","Barrack","neutral2"
"1743","The LCILP had arranged the trip and invited Papadopoulos, who accepted because he ""just wanted to go to Rome.""","LCILP","Papadopoulos","positive1"
"1744","Both the GRU and WikiLeaks sought to hide their communications, which has limited the Special Counsel's Office's ability to collect all of the communications between them.","Special Counsel's Office","WikiLeaks","negative1"
"1745","On September 2, 2016, Smith directed a business associate to establish KLS Research LLC in furtherance of his search for the deleted Clinton emails.","Smith","Clinton","negative1"
"1746","In terms of the substance of their discussion, Sechin's associate said that the Rosneft President was so keen to lift personal and corporate western sanctions imposed on the company, that he offered Page the brokerage of up to a 19 per cent (privatized) stake in Rosneft in return.","Sechin","Page","positive1"
"1747","In that capacity, Samochomov was interpreting for BakerHostetler and Quinn Emanuel Urquhart & Sullivan, two law firms that were hired by the defendants.","Samochomov","Quinn Emanuel Urquhart & Sullivan","neutral1"
"1748","In November 2016, Patten and Kilimnik arranged for a polling company to test the viability ofa new political party which would include KHtschko, Lutsenko, and two other Ukrainian political figures.","Patten","Lutsenko","neutral2"
"1749","A second proposal came from Giorgi Rtskhiladze, another previous business partner of the Trump Organization and who had years before worked with Cohen on building a Trump-branded property in Batumi, Georgia.","Giorgi Rtskhiladze","Cohen","neutral1"
"1750","Kilimnik told Patten that at the New York cigar bar meeting, Manafort stated that they have a plan to beat Hillary Clinton which included Manafort bringing discipline and an organized strategy to the campaign.","Kilimnik","Manafort","neutral2"
"1751","He's saying that the call is from a man named Dimitry Peskov, who is the spokesperson, who has a message that says that President Putin is very sorry, but because the King of Holland has been delayed on an official visit to the Kremlin,,he 's unable to make time to receive Mr. Trump.","Dimitry Peskov","Putin","neutral1"
"1752","The Committee assesses that Rykov is friendly with Russian Presidential Administration Official Timur Prokopenko, who managed the Kremlin's media influence activities from 2012-2014 and who requested that a Kremlin-controlled institute finance Rykov's influence operations.","Timur Prokopenko","Russian Presidential Administration","neutral1"
"1753","Trump has also expressed admiration for Putin.","Trump","Putin","positive1"
"1754","While the scale of Manafort's work in Ukraine began to decline, Manafort nonetheless stayed involved in Ukraine matters in thelead-up to his March 2016 entry into the Trump Campaign.","Manafort","the Trump Campaign","neutral1"
"1755","Chrysostomides used his company, Dr. K. Chrysostomides & Co LLC (DKCC) to create at least three shell companies on behalf of Manafort, Gates, and Deripaska-Lucile Consultants Limited, Bletilla Ventures Limited, and Yiakora Ventures Limited-all registered to 1 Lampousas Street, 1095 Nicosia, Cyprus.","Chrysostomides","Gates","neutral1"
"1756","On November14, architects from the firm Jacobs /KlingStubbins who were working on behalf of Crocus emailed Trump Jr. and Florence Khoo at the Trump Organization and copied Emin Agalarov, Kaveladze, and others.","Jacobs /KlingStubbins","Kaveladze","neutral2"
"1757","Trump also directed individuals in, and associated with, Trump Campaign to seek out Clinton's ""missing"" emails.","Trump","Trump Campaign","neutral1"
"1758","Some of the individuals the GRU targeted for outreach with the Guccifer 2.0 persona were closely associated with the Trump Campaign, such as long-time Trump advisor Roger Stone.","Roger Stone","Trump Campaign","positive1"
"1759","Kaveladze said that the ""bad things"" that he was concerned about related to the ""negative information on Hillary Clinton"" that he had heard of from Beniaminov.","Beniaminov","Kaveladze","neutral1"
"1760","Page also spoke briefly with another speaker, Arkady Dvorkovich.","Page","Arkady Dvorkovich","neutral2"
"1761","For example, in 2007, Donald Trump wrote a letter to Putin congratulating him on Putin's being named ""Person ofthe Year"" by Time.","Time","Putin","positive1"
"1762","In this same time period following the June 9, 2016 meeting in Trump Tower, Rob Goldstone had a series of communications with Shugart.","Rob Goldstone","Shugart","neutral2"
"1763","According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Timur Beniaminov","Donald Trump","neutral2"
"1764","On July 31, 2016, based on the foreign government reporting, the FBI opened an investigation into potential coordination between the Russian government and individuals associated with the Trump Campaign.","Russian government","Trump campaign","positive2"
