"sentID","sentence","head","tail","relation"
126,"The Justice Department alleged that Prevezon had helped launder money tied to a $230 million corruption scheme","Justice Department","Prevezon","negative1"
4251,"Rob is Aras Agalarov's rep in the US and sent this on.","Rob","Aras Agalarov","positive2"
1549,"In the memoranda to Kolesnikov, Akhmetov, and Lyovochkin, Manafort also wrote that he was interested in Ukrainian politics and implied he might be interested in assisting them: I am watching intently at the prospects ofa new Ukraine government potentially forming in the coming days.","Manafort","Lyovochkin","positive1"
2921,"Around the time of the 2013 Miss Universe pageant in Moscow, the Agalarovs employed Artem Klyushin to help promote Emin Agalarov on social media.","Artem Klyushin","Emin Agalarov","neutral1"
1978,"Manafort instructed Fabrizio's partner, Bob Ward, to ""remove VY as the player in this plan"" and instead referenced only ""someone who is part of east and a leader in the PoR during the VY years.""","Bob Ward","Fabrizio","positive2"
3625,"Anatoli Samochomov testified to the Committee that Anatoli Samochomov has been interpreting professionally since roughly 1997 and has worked as a subcontractor for the Department of State, both as a program manager related to the International Visitor Leadership Program and as an interpreter.","Anatoli Samochomov","the International Visitor Leadership Program","neutral2"
2114,"The data was subsequently leaked by GRU personas and WikiLeaks at strategic moments during the 2016 election, as part of a coordinated hack--and-leak operation intended to damage the Clinton Campaign, help the Trump Campaign (the ""Campaign""), and undermine the U.S. democratic process.","GRU","the Trump Campaign","positive1"
1103,"On this front, Bannon forged an easy bond with Donald Trump, who didn’t much hide his contempt for Herbert Raymond McMaster.","Donald Trump","Herbert Raymond McMaster","negative1"
4991,"In the email, Rtskhiladze told Cohen that Mikhail Posokhin and Simon Nizharadze would be the two primary individuals involved in the venture.","Rtskhiladze","Cohen","neutral2"
543,"Beginning on September 20, 2016, WikiLeaks and DCLeaks resumed communications in a brief exchange.","WikiLeaks","DCLeaks","neutral2"
1015,"And mob boss John Gotti, Levine said, hosted a huge Christmas bash in 1988 at the El Caribe.","John Gotti","El Caribe","positive2"
5047,"Cheremin's secretary forwarded the plans to an email address that included the name Shutenko, likely affiliated with Oleg Shutenko, Cheremin's deputy in the Moscow city government","Oleg Shutenko","Moscow city government","neutral1"
587,"Cohn has mainly been battling with two top Trump officials with a protectionist stance on trade — adviser Peter Navarro and Commerce Secretary Wilbur Ross — and had reportedly threatened to resign if Trump sided with them on the tariffs.","Cohn","Peter Navarro","negative2"
3016,"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Keith Schiller","Rob Goldstone","neutral2"
3335,"Dear Mr. Trump, I would like to congratulate you and your colleagues on successfully holding the Miss Universe contest in Moscow.","Vladimir Putin","Trump","positive1"
2618,"On Sunday July 31, at 9:15 p.m., the day after speaking at length with Manafort, Stone called Gates.","Stone","Gates","neutral2"
3016,"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Roman Beniaminov","Olivia Culpo","neutral2"
4058,"Veselnitskaya, Samochornov, Akhmetshin, and Kaveladze went briefly to a bar in Trump Tower for a drink.","Veselnitskaya","Samochornov","positive1"
3151,"Schiller and Trump were scheduled to be met at the airport in Moscow by Nelson Feliciano, the head of security for the Miss Universe Organization.","Nelson Feliciano","Miss Universe Organization","neutral1"
3086,"Emin Agalarov and Goldstone sought a reduction in the $6.5 million licensing fee, and believed that Shugart would take the request to Trump.","Emin Agalarov","Shugart","neutral1"
