"X","sentence","head","tail","rel_head_tail","rel_tail_head"
1065,"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Emin Agalarov","Murad","neutral","neutral"
1066,"Cohen, through Sater, began negotiations with a Russia-based developer, Andrey Rozov and Rozov's company, LC. Expert.","Andrey Rozov","LC. Expert","positive","none"
1067,"As with his other interactions with Kilimnik, Manafort provided inaccurate information about this topic to the sea.","Manafort","Kilimnik","neutral","neutral"
1068,"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Michael Cohen","Murad","neutral","neutral"
1069,"At one point, Cohen floated the idea of a Trump-Cohen statewide ticket, an idea Caputo considered as absurd as Cohen running for mayor.","Cohen","Trump","positive","positive"
1070,"The order appointing the Special Counsel authorized him to investigate ""the Russian government's efforts to interfere in the 2016 presidential election,"" including any links or coordination between the Russian government and individuals associated with the Trump Campaign.","Russian government","Trump campaign","positive","positive"
1071,"Akhmetshin felt that he did not need to review the documents that Veselnitskaya brought with her because he assumed that they covered issues that he had heard Veselnitskaya discuss previously, and believed he was already familiar with the documents' contents.","Akhmetshin","Veselnitskaya","positive","none"
1072,"Information obtained by the Committee also indicates an effort by Agalarov to pay for Goldstone's legal representation.","Agalarov","Goldstone","positive","none"
1073,"Cohen recalled telling Trump that it would be ""really cool"" if ""we can get [Putin] to come here and have a burger with you over at the Trump Grille.""","Cohen","Putin","positive","none"
1074,"Open source reporting indicates that Bayrock is connected to Mashkevich and the Eurasian Group, a company controlled by Chodiev and Ibragimov.","Bayrock","Mashkevich","neutral","none"
1075,"Despite Kaveladze's concerns, negotiations advanced between the Crocus Group and the Trump Organization.","Crocus Group","Trump Organization","neutral","neutral"
1076,"Page returned to Moscow and NES in December 2016, after his role with the Trump Campaign had ended, but while he was seeking a position with the new administration.","Page","Trump Campaign","neutral","neutral"
1077,"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Aras Agalarov","Olivia Culpo","neutral","neutral"
1078,"Notably, this was not the first instance that WikiLeaks had taken actions for the purpose of harming U.S. interests.","WikiLeaks","U.S.","negative","none"
1079,"On July 27, 2017, FBI agents arrested George Papadopoulos for making false statements during this January 2017 interview.","FBI","George Papadopoulos","negative","none"
1080,"On April 6, the GRU successfully spearphished a DCCC employee.","GRU","DCCC","negative","none"
1081,"GRU officers used both the DCLeaks and Guccifer 2.0 personas to communicate with WikiLeaks through Twitter private messaging and through encrypted channels, including possibly through WikiLeaks's private communication system.","Guccifer 2.0","GRU","neutral","neutral"
1082,"In addition to Cohen's attempts at a Trump Tower Moscow project with Felix Sater, Cohen also communicated with Giorgi Rtskhiladze, a businessman with whom he had previously worked, about a similar project proposal in Moscow.","Cohen","Felix Sater","neutral","none"
1083,"People working in the West Wing say they have heard Trump criticize Don Jr. and Eric and even Ivanka for doing or saying something that the president thought was not helpful, but none could recall hearing him say anything negative about Melania.","Trump","Don Jr.","negative","none"
1084,"Waldman also understood that Oganov maintains ties to the Russian Ministry of Foreign Affairs ""at the deputies level"" and ""certainly he and the Russian foreign minister know each other.""","Oganov","Russian foreign minister","neutral","neutral"
1085,"Sater explained that he pursued a large number of international deals which he pitched to Trump and the Trump Organization.","Sater","Trump","neutral","none"
1086,"Open source reporting indicates that Bayrock is connected to Mashkevich and the Eurasian Group, a company controlled by Chodiev and Ibragimov.","Ibragimov","the Eurasian Group","positive","none"
1087,"After the Podesta emails were released on October 7, 2016, Trump and senior Campaign officials acknowledged internally and to Stone that Stone had predicted the WikiLeaks release about Podesta.","Trump","Stone","positive","none"
1088,"At the meeting, Rasin offered to sell Stone derogatory information on Clinton that Rasin claimed to have obtained while working for Clinton.","Rasin","Clinton","negative","none"
1089,"As noted above, Deripaska first became involved in Montenegro when he purchased a controlling share in KAP, a deal that was likely done in coordination with the Russian government to extend Russian influence in Montenegro.","Deripaska","the Russian government","positive","positive"
1090,"Mr. Kushner, who is also a senior White House aide, filed a revised version of a form required to obtain a security clearance.","Kushner","White House","neutral","none"
1091,"In early 2018, Manafort asked Laurance Gay, a friend of Manafort and Gates, to dissuade Gates from accepting a plea agreement.","Manafort","Laurance Gay","neutral","neutral"
1092,"On December 1, 2015, Sater emailed Cohen, asking for a copy of Cohen's passport ""for the Russian Ministry of Foreign Affairs.""","Sater","Cohen","neutral","neutral"
1093,"Bannon recalled that, prior to joining the Campaign, ""Stone told him that he had a connection to Assange"" and ""implied that he had inside information about WikiLeaks.""","Stone","Wikileaks","neutral","none"
1094,"Fabrizio had conducted past polling work for Manafort, including as part of Manafort's work in Ukraine.","Fabrizio","Manafort","neutral","none"
1095,"Rinat Akhmetshin recalled an interaction with Veselnitskaya at the restaurant: And she tells Rinat Akhmetshin: ""Guess what?","Veselnitskaya","Rinat Akhmetshin","neutral","neutral"
1096,"According to that report, Kilimnik traveled to Ukraine while he was still working at IRI.","Kilimnik","IRI","neutral","none"
1097,"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Rob Goldstone","Michael Cohen","neutral","neutral"
1098,"On November 28, having not received a response regarding scheduling the second meeting, Goldstone sent Veselnitskaya's document directly to Rhona Graff:","Goldstone","Rhona Graff","neutral","none"
1099,"Kilimnik quickly became an integral part of Manafort's operations in Ukraine and Russia, serving as Manafort's primary liaison to Deripaska and eventually managing Manafort's office in Kyiv.","Kilimnik","Manafort","neutral","none"
1100,"Klyushin and Klyushina were included on a number of Emin Agalarov and Rob Goldstone's emails prior to, and following, the Miss Universe pageant.","Rob Goldstone","Klyushin","neutral","none"
1101,"Also in mid-2017, other Russian Government proxies and personas worked to spread the false narrative that Ukraine Government interfered in the U.S. election.","Russian Government","Ukraine Government","negative","none"
1102,"Veselnitskaya told the Committee that, over the course of several days in late May or early June, she spoke to Kaveladze several times.","Veselnitskaya","Kaveladze","neutral","neutral"
1103,"Under Deripaska's guidance, Manafort outlined for Deripaska and Rothschild a strategy for a political influence campaign in Ukraine, Manafort referred to this influence campaign as ""our program.""","Manafort","Rothschild","positive","none"
1104,"November 4, 2016: ""Getting off the plane, they were just announcing new WikiLeaks, and Donald Trump wanted to stay there, but Donald Trump didn't want to keep you waiting. Boy, Donald Trump loves reading those WikiLeaks.""","Donald Trump","WikiLeaks","positive","none"
1105,"What’s more, whatever breach there had been between Bannon and Priebus came smoothly together over their mutual loathing of Jared and Ivanka.","Bannon","Jared","negative","none"
1106,"The Office was able to identify when the GRU ( operating through its personas Guccifer 2.0 and DCLeaks) transferred some of the stolen documents to WikiLeaks through online archives set up by the GRU.","GRU","WikiLeaks","neutral","neutral"
1107,"Mr. Akhmetshin, Ms. Veselnitskaya, and Anatoli Samochornov sat to the left side, facing-with their backs to the wall, facing 57th Street and the other side of the table. Mr. Donald Trump Junior and Mr. Manafort were at the head of the table.","Anatoli Samochornov","Veselnitskaya","neutral","neutral"
1108,"She recalled: It was an impromptu meeting with Emin, which is the only time I heard a Trump Tower Moscow being discussed.","Trump","Emin","neutral","neutral"
1109,"This influence campaign was. used to promote the stolen documents and associated narratives, push back on early attribution of the attacks to the Russian government, and create plausible deniability for individuals who sought to use the stolen information.","GRU","Russian government","positive","none"
1110,"Gates recalled that in addition to Trump Jr., Eric Trump, Manafort, and Hope Hicks attended the meeting, while Ivanka Trump and Jared Kushner joined the meeting late.","Trump Jr.","Jared Kushner","neutral","neutral"
1111,"On November 7, 2016, Goldstone emailed Trump Jr. requesting an invitation to attend an election night party with a mutual friend of Lara and Eric Trump.","Goldstone","Trump Jr.","neutral","none"
1112,"At times in his work for the Crocus Group, Kaveladze would travel frequently to Moscow, sometimes for extended periods.","Kaveladze","Crocus Group","neutral","none"
1113,"On the same day, Guccifer 2.0 and WikiLeaks exchanged Twitter direct messages once again, during which the GRU sent WikiLeaks an encrypted file and instructions on opening it.","GRU","Wikileaks","positive","none"
1114,"PS - Mr. Agalarov is wonderful man and developer.","Donald Trump","Agalarov","positive","none"
1115,"Cuomo highlighted his and Trump's working relationship, stressing that ""this is no time for politics -- this is a time for exquisite coordination between the federal government and the state governments, because we need each other.""","Trump","Cuomo","positive","positive"
1116,"Hawker ultimately attended a meeting in Russia and said he presumed the person he met with was a Russian operative.","Hawker","Russia","neutral","neutral"
1117,"Bannon’s podcast is viewed in the West Wing as unnecessary and unwelcome, two aides said.","Bannon","West Wing","negative","none"
1118,"It was a kind of perfect sweet-revenge story: Jared Kushner the son of the wronged man (or, in this case—there’s little dispute—the guilty-as-charged man) uses his power over Chris Christie who wronged his family.","Jared Kushner","Chris Christie","negative","negative"
1119,"At 11:15 a.m., Trump Jr. responded, ""Yes Rob I could do that unless they wanted to do 3 today instead ... just let me know and ill lock it in either way.","Trump Jr.","Rob","neutral","neutral"
1120,"However, after defendant Papadopoulos informed [Mifsud] about his joining the Trump Campaign, the Professor appeared to take great interest in defendant Papadopoulos.","Papadopoulos","Trump Campaign","positive","none"
1121,"Cohen questioned Sater as to why the letter had come from GenBank and not from VTB Bank, telling Sater that he thought Sater was ""speaking to VTB.""","Cohen","Sater","negative","none"
1122,"From June 14, 2016, to November 8, 2016, Committee analysis of the DCLeaks Twitter account shows that it sent 259 direct messages to other Twitter accounts, including WikiLeaks and Guccifer 2.0, as _further discussed infra.","DCLeaks Twitter account","Guccifer 2.0","neutral","neutral"
1123,"Cohen also recalled that he spoke with Donald Trump Jr. and lvanka Trump about the project.","Cohen","Donald Trump Jr.","neutral","neutral"
1124,"According to Roman Beniaminov, ""they [Klyushin and Klyushina] were an outside firm that handled social media for Emin around the time of the contest.""","Klyushina","Emin","neutral","none"
1125,"Although most commentators believed that the Kremlin was behind the leaked Democratic National Congress/CLINTON e-mails, this remained technically deniable. Therefore the Russians would not risk their position for the time being with new leaked material, even to a third party like WikiLeaks.","Kremlin","Democratic National Congress","negative","none"
1126,"On March 21, 2016, Trump announced some of the foreign policy team during a meeting with the editorial board of the The Washington Post.","Trump","The Washington Post","neutral","neutral"
1127,"DCLeaks victims included an advisor to the Clinton Campaign, a former DNC employee and Clinton Campaign employee, and four other campaign volunteers.","GRU","Clinton Campaign","neutral","neutral"
1128,"WikiLeaks did not release additional hacked documents relating to the 2016 U.S. election until October 7, 2016, when it began a month-long process of leaking stolen Podesta emails.","Wikileaks","Podesta","negative","none"
1129,"White House officials are distancing themselves from a campaign Donald Trump’s former chief strategist, Steve Bannon, has mounted to defend the president from impeachment, after tensions flared again this weekend between Bannon and Jared Kushner.","White House","Steve Bannon","negative","negative"
1130,"On March 18, 2016, Trump responded in a hand written note on the original letter from Agalarov.","Trump","Agalarov","neutral","neutral"
1131,"David Kramer called Page’s speech in Moscow and recent comments by Trump on the possibility of lifting sanctions against Moscow “deeply unsettling”.","David Kramer","Page","negative","none"
1132,"Cohen told Sater that he was going to terminate the LOI and cease working with Sater, telling Sater that ""[n]ot you or anyone you know will embarrass me in front of Donald Trump when he asks me what is happening.""","Cohen","Donald Trump","positive","none"
1133,"On July 23, 2017, incoming White House Communications Director Anthony Scaramucci wrote to Goldstone saying that Scaramucci officially started in August but that his door was open, and that ""Obviously there is still pressure on all sides, but if we remain consistent and united I don't envisage any issues we can't ride out.""","Anthony Scaramucci","White House","neutral","none"
1134,"On November 22, 2016, Mermoud messaged Gates: ""Ambo just called me .... Said he would welcome meeting with Paul.","Mermoud","Gates","neutral","neutral"
1135,"“Manafort's lawyer told Manafort not to cooperate,” Manafort said.","Manafort's lawyer","Manafort","neutral","none"
1136,"Gates recalled traveling to Russia with Kilimnik to meet with Deripaska's representatives there in relation to B-Invest.","Gates","Kilimnik","neutral","neutral"
1137,"Sater recalled telling Shmykov that Cohen was ""freaking out"" and that as a result, Sater ""need[ed] an invitation.""","Sater","Cohen","positive","none"
1138,"“I was somebody everyone wanted to be,” said Levine, the brother of Cohen’s mother.","Cohen","Levine","positive","positive"
1139,"However, Akhmetshin testified to the Committee that he had never met Manafort in person prior to the June 9, 2016 meeting at Trump Tower, but he had known of Manafort due to Manafort's work in Ukraine and their mutual relationship with Lanny Wiles.","Manafort","Lanny Wiles","neutral","neutral"
1140,"Papadopoulos, on his own initiative, met and communicated repeatedly with individuals throughout 2016 to advance the Campaign's relationship with Russia, including London-based Professor Joseph Mifsud and Mifsud associates Olga Polonskaya and Ivan Timofeev.","Papadopoulos","Ivan Timofeev","neutral","neutral"
1141,"Mermoud and Gates discussed the possibility of a call between Trump and Poroshenko instead.","Mermoud","Gates","neutral","neutral"
1142,"After leaving the Trump Campaign in August 2016, Manafort stayed in touch with Trump, Kushner, and others on the Trump Campaign.","Manafort","Kushner","positive","positive"
1143,"Mr.. Trump was there, Paula; myself,Aras,Emin.","Aras","Emin","neutral","neutral"
1144,"In June 2013, the Miss Universe Organization invited the Agalarovs to Las Vegas to sign the contract and make the announcement alongside Trump during the Miss USA pageant.","Miss Universe Organization","Agalarovs","positive","none"
1145,"Two military units of the GRU carried out the computer intrusions into the Clinton Campaign, DNC, and DCCC: Military Units 26165 and 74455.","GRU","DCCC","negative","none"
1146,"On June 24, 2013, Rhona Graff, Trump's assistant, wrote to Shugart, informing her that, ""DT wants to send a letter to Putin inviting him to Miss Universe.","Trump","Putin","positive","none"
1147,"On January 13, 2014, Emin Agalarov and Trump Jr. met in person, along with Goldstone, at Nobu in New York City.","Emin Agalarov","Trump Jr.","neutral","neutral"
1148,"A number of IRA employees assigned to the Translator Department served as Twitter specialists.","Translator Department","IRA","neutral","neutral"
1149,"In order to expand its interference in the 20 I 6 U.S. presidential election, the GRU units transferred many of the documents they stole from the DNC and the chairman of the Clinton Campaign to WikiLeaks.","GRU","WikiLeaks","neutral","neutral"
1150,"Based on an assessment by the SCO of the Apple operating systems possibly running on Assange's computer, this could reflect the date the GRU staged the stolen emails for transfer to WikiLeaks, because the default setting on some Apple operating systems retains the file creation date of a downloaded file from the original host computer.","GRU","Wikileaks","positive","none"
1151,"When Twitter then suspended the Guccifer 2.0 account, WikiLeaks complained: ""@Guccifer _ 2 has account completely censored by Twitter after publishing some files from Democratic campaign #DCCC.""","Twitter","Guccifer 2.0","negative","none"
1152,"Speaking to a trusted compatriot in mid October 2016, a close associate of Rosneft President and PUTIN ally Igor SECHIN elaborated on the reported secret meeting between the latter and Carter PAGE, of US Republican presidential candidate's foreign policy team, in Moscow in July 2016","Igor Sechin","Rosneft","neutral","none"
1153,"After receiving Kilimnik's November 10, 2016 email, Manafort messaged Gates, writing: ""This makes the Frank project even more timely.","Manafort","Gates","neutral","none"
