"sentence","head","tail","rel_head_tail","rel_tail_head"
"Oknyansky claimed that Caputo accompanied Stone to the meeting and provided an introduction, whereas Caputo did not tell us that he had attended and claimed that he was never told what information Oknyansky offered.","Caputo","Stone","neutral","neutral"
"In sum, the investigation established that Russia interfered in the 2016 presidential election through the ""active measures"" social media campaign carried out by the IRA, an organization funded by Prigozhin and companies that he controlled.","Prigozhin","IRA","positive","positive"
"Throughout 2016, IRA accounts published an increasing number of materials supporting the Trump Campaign and opposing the Clinton Campaign.","IRA","Clinton Campaign","negative","negative"
"The Office investigated whether those contacts reflected or resulted in the Trump Campaign conspiring or coordinating with Russia in its election-interference activities.","Trump Campaign","Russia","positive","positive"
"As explained further in Volume I, Section V.A, infra, the Office concluded (and a grand jury has alleged) that Prigozhin, his companies, and IRA employees violated U.S. law through these operations, principally by undermining through deceptive acts the work of federal agencies charged with regulating foreign influence in U.S. elections","IRA","U.S.","negative","none"
"GRU officers stole tens of thousands of emails from spearphishing victims, including various Clinton Campaign-related communications.","GRU","Clinton Campaign","negative","none"
"Trump's remarks came just days after one of his top aides, Hope Hicks, resigned and his son-in-law and adviser, Jared Kushner, was stripped of his top-secret security clearance.","Hope Hicks","Trump","negative","negative"
"McMaster was in fact talking to Petraeus often.","McMaster","Petraeus","neutral","neutral"
"Donald Trump ordered White House press secretary Sean Spicer to conduct his first press briefing as a frothing attack dog.","Donald Trump","Sean Spicer","neutral","none"
"“I think there’s a lot of weakness coming out of Reince Priebus,” said Ruddy.","Ruddy","Reince Priebus","negative","none"
"Trump first named Page as one of a handful of his foreign policy advisers.","Trump","Page","positive","positive"
"Continuing on this theme, Source G, a senior Kremlin official, confided that the Clinton dossier was controlled exclusively by chief Kremlin spokesman, Dmitriy Peskov, who was responsible for compiling/handling it on the explicit instructions of Putin himself","Dmitriy Peskov","Putin","neutral","none"
"As senior aides prepared to announce his departure as a resignation, counselor Kellyanne Conway, who often boasts of her direct access to Trump, went on television to declare that Flynn had “the full confidence of the President.”","Kellyanne Conway","Trump","positive","positive"
"According to one of Smith's business associates, Smith believed Ledeen's initiative was not viable at that time.","Smith","Ledeen","negative","none"
"Page won a fellowship from the Council on Foreign Relations.","Council on Foreign Relations","Page","positive","positive"
"On May 17, 2017, Acting Attorney General Rod Rosenstein appointed the Special Counsel and authorized him to conduct the investigation that Corney had confirmed in his congressional testimony, as well as matters arising directly from the investigation, and any other matters within the scope of 28 C.F.R. � 600.4(a), which generally covers efforts to interfere with or obstruct the investigation.","Comey","Congress","neutral","neutral"
"Although the investigation established that the Russian government perceived it would benefit from a Trump presidency and worked to secure that outcome, and that the Campaign expected it would benefit electorally from information stolen and released through Russian efforts, the investigation did not establish that members of the Trump Campaign conspired or coordinated with the Russian government in its election interference activities.","Trump campaign","Russian government","positive","none"
"Page told Bloomberg News that he was innocent.","Bloomberg News","Page","neutral","neutral"
"In total, Trump Campaign affiliates promoted dozens of tweets, posts, and other political content created by the IRA.","Trump Campaign","IRA","positive","none"
"Separately, on August 2, 2016, Trump campaign chairman Paul Manafort met in New York City with his long-time business associate Konstantin Kilimnik, who the FBI assesses to have ties to Russian intelligence.","Konstantin Kilimnik","Russia","neutral","neutral"
"By early to mid-2016, IRA operations included supporting the Trump Campaign and disparaging candidate Hillary Clinton.","IRA","Hillary Clinton","negative","none"
"At noon, Sessions, Rosenstein, and Hunt met with McGahn and White House Counsel's Office attorney Uttam Dhillon at the White House.","Sessions","Rosenstein","neutral","neutral"
"Kushner and Powell organized a leak campaign in McMaster’s defense.","Kushner","Powell","positive","positive"
"DIVEYKIN discussed the release of a Russian dossier of 'kompromat' on TRUMP's opponent, Hillary CLINTON, but also hinted at Kremlin possession of such material on TRUMP.","KREMLIN","Hillary CLINTON","negative","none"
"The social media campaign and the GRU hacking operations coincided with a series of contacts between Trump Campaign officials and individuals with ties to the Russian government.","Trump campaign","Russian government","neutral","neutral"
"Strongly suggest Donald Trump Jr.’s dad tweets this link if Donald Trump mentions us wlsearch.tk.""","Donald Trump","Donald Trump Jr.","positive","positive"
"Donald Trump invited his daughter Ivanka, an amorphous adviser without an official title, into sensitive meetings, and cheered his policy aide Stephen Miller when he went on television to peddle baseless conspiracy theories about phantom Massachusetts residents voting illegally in New Hampshire last fall.","Donald Trump","Stephen Miller","positive","none"
"Page’s views may be compromised by his investment in Russian energy giant Gazprom.","Page","Gazprom","positive","none"
"Denis is the son of Petr Katsyv","Denis","Petr Katsyv","positive","positive"
"Around the same time, candidate Trump announced that he hoped Russia would recover emails described as missing from a private server used by Clinton when she was Secretary of State (he later said that he was speaking sarcastically).","Russia","Clinton","negative","none"
"On January 6, 2017, members of the intelligence community briefed President-Elect Trump on a joint assessment-drafted and coordinated among the Central Intelligence Agency, FBI, and National Security Agency-that concluded with high confidence that Russia had intervened in the election through a variety of means to assist Trump's candidacy and harm Clinton's.","FBI","National Security Agency","positive","positive"
"Bannon has mounted an independent effort to combat Donald Trump’s likely impeachment by the House of Representatives.","Bannon","Donald Trump","positive","none"
"On August 22, 2016, the Guccifer 2.0 persona transferred approximately 2.5 gigabytes of Florida-related data stolen from the DCCC to a U.S. blogger covering Florida politics.","Guccifer 2.0","DCCC","neutral","neutral"
"The previously unreported meeting was also attended by Mr. Trump’s campaign chairman at the time, Paul J. Manafort, and by the president’s son-in-law, Jared Kushner.","Jared Kushner","Donald Trump Jr.","neutral","neutral"
"Bannon and Conway, campaign holdovers, often goad Trump to return to what Trump likes best, the sneering and jeering that draws cheers from Trump supporters.","Conway","Trump","positive","none"
"Between April 18, 2016 and June 8, 2016, Military Unit 26165 compromised more than 30 computers on the DNC network, including the DNC mail server and shared file server.","Military Unit 26165","DNC","negative","none"
"On January 6, 2017, members of the intelligence community briefed President-Elect Trump on a joint assessment-drafted and coordinated among the Central Intelligence Agency, FBI, and National Security Agency-that concluded with high confidence that Russia had intervened in the election through a variety of means to assist Trump's candidacy and harm Clinton's.","FBI","President-elect","neutral","neutral"
"The Special Counsel's Office cannot rule out that stolen documents were transferred to WikiLeaks through intermediaries who visited during the summer of 2016.","Special Counsel's Office","WikiLeaks","negative","none"
"At noon, Sessions, Rosenstein, and Hunt met with McGahn and White House Counsel's Office attorney Uttam Dhillon at the White House.","Sessions","Uttam Dhillon","neutral","neutral"
"Caputo also stated that he was unaware Oknyansky sought to be paid for the information until Stone informed him after the fact","Caputo","Stone","neutral","neutral"
"The previously unreported meeting was also attended by Mr. Trump’s campaign chairman at the time, Paul J. Manafort, and by the president’s son-in-law, Jared Kushner.","Jared Kushner","Natalia Veselnitskaya","neutral","neutral"
"GRU officers also used the DCLeaks Facebook account, the Twitter account @dcleaks_, and the email account dcleaksproject@gmail.com to communicate privately with reporters and � other U.S. persons.","dcleaksproject@gmail.com","GRU","neutral","neutral"
"“Secretary Mattis is probably one of the most qualified individuals to hold that job,” Senator Jack Reed of Rhode Island, the top Democrat on the Senate Armed Services Committee, said in an interview.","Jack REED","Rhode Island","neutral","neutral"
"Oknyansky and Stone set up a May 2016 in-person meeting","Stone","Oknyansky","neutral","neutral"
"Two individuals headed the IRA's management: its general director, Mikhail Bystov, and its executive director, Mikhail Burchik","Mikhail Burchik","IRA","neutral","none"
"The materials were offered to Trump Jr. as ""part of Russia and Russian government's support for Mr. Trump.""","Russian government","Trump Jr.","positive","none"
"Entities linked to one Aleksei Gubarov were involved and he and another hacking expert, both recruited under duress by the Russian Federal Security Service, were significant players in this operation.","Aleksei Gubarov","Russian Federal Security Service","neutral","none"
"On March 20, 2017, in open-session testimony before HPSCI, Comey stated: I have been authorized by the Department of Justice to confirm that the FBI, as part of our counterintelligence mission, is investigating the Russian government's efforts to interfere in the 2016 presidential election, and that includes investigating the nature of any links between individuals associated with the Trump campaign and the Russian government and whether there was any coordination between the campaign and Russia's efforts ....","Comey","HPSCI","neutral","neutral"
"The first known IRA advertisement explicitly endorsing the Trump Campaign was purchased on April 19, 2016.","IRA","Trump Campaign","positive","none"
"WikiLeaks also explained, ""we think trump has only a 25% chance of winning against hillary ... so conflict between bernie and hillary is interesting.""","Bernie","Hillary","negative","negative"
"On July 6, 2016, WikiLeaks again contacted Guccifer 2.0 through Twitter's private messaging function, writing, ""if you have anything hillary related we want it in the next tweo [sic] days prefab le [sic] because the DNC is approaching and she will solidify bernie supporters behind her after.""","WikiLeaks","Hillary","negative","negative"
"The FBI and other U.S. government institutions were at the time continuing their investigation of suspected Russian government efforts to interfere in the presidential election.","FBI","Russian government","negative","none"
"Beginning in late June 2016, the GRU also used the Guccifer 2.0 persona to release documents directly to reporters and other interested individuals.","Guccifer 2.0","GRU","neutral","neutral"
"Priebus brought with him large chunks of staff from the Republican National Committee who have sought to install tighter controls on whom Trump sees.","Priebus","Republican National Committee","positive","positive"
"Arkady Dvorkovich is a graduate of the New Economic School, deputy to Prime Minister Dmitry Medvedev and now chairman of the Russian Railways board","Arkady DVORKOVICH","Russian Railways","neutral","none"
"These sessions were captured as GRU officers monitored DCCC and DNC employees' work on infected computers regularly between April 2016 and June 2016.","GRU","DCCC","negative","none"
"The GRU later released stolen Clinton Campaign and DNC documents through online personas, ""DCLeaks"" and ""Guccifer 2.0,"" and later through the organization WikiLeaks.","WikiLeaks","GRU","positive","none"
"The IRA' s operation also included the purchase of political advertisements on social media in the names of U.S. persons and entities, as well as the staging of political rallies inside the United States.","IRA","the United States","neutral","none"
"Starting in April 2016, the GRU hacked into the computer networks of the Democratic Congressional Campaign Committee (DCCC) and the Democratic National Committee (DNC).","GRU","DNC","negative","none"
"Smith, an investment advisor who was active in Republican politics, also attempted to locate and obtain the deleted Clinton emails","Smith","Clinton","neutral","neutral"
"“WAR ROOM: Impeachment is the only radio show, podcast, website and news service solely dedicated to exposing the Democratic drive to destroy President Trump and his presidency,” a Bannon spokeswoman, Alexandra Preate, said in an email to Bloomberg News.","Alexandra Preate","Bannon","neutral","none"
"Rachel Hoff was a member of the Republican Party until recently.","Rachel HOFF","Republican Party","neutral","neutral"
"Between approximately May 25, 2016 and June 1, 2016, GRU officers accessed the DNC's mail server from a GRU-controlled computer leased inside the United States.","GRU","DNC","negative","none"
"IRA Facebook groups active during the 2016 campaign covered a range of political issues and included purported conservative groups (with names such as ""Being Patriotic"", ""Stop All Immigrants"", ""Secured Borders"", and ""Tea Party News""), purported Black social justice groups (""Black Matters"", ""Blacktivist"", and ""Don't Shoot Us""), LGBTQ groups (""LGBT United""), and religious groups (""United Muslims of America"").","IRA","""Being Patriotic""","neutral","none"
"Kushner and Powell organized a leak campaign in McMaster’s defense.","Powell","McMaster","positive","none"
"The first set of GRU-controlled computers, known by the GRU as ""middle servers,"" sent and received messages to and from malware on the DNC/DCCC networks.","GRU","DCCC","negative","none"
"Section lII of this Report details the Special Counsel Office's investigation into the Russian hacking operations, as well as other efforts by Trump Campaign supporters to obtain Clinton-related emails.","Special Counsel Office's","Russian","negative","none"
"President Trump reacted negatively to the Special Counsel's appointment.","Trump","Special Counsel","negative","none"
"After [redacted] WikiLeaks's first Clinton-related release [redacted] , the Trump Campaign stayed in contact [redacted] about WikiLeaks's activities.","WikiLeaks","Clinton Campaign","neutral","neutral"
"Bannon recalled that Donald Trump brought Comey up with him at least eight times on May 3 and May 4, 2017.","Donald Trump","Bannon","neutral","neutral"
"At a dinner on Friday, May 5, attended by the President and various advisors and family members, including Jared Kushner and senior advisor Stephen Miller, the President stated that he wanted to remove Comey and had ideas for a letter that would be used to make the announcement.","Jared Kushner","Stephen Miller","neutral","neutral"
"Donald Trump Jr. arranged a meeting at Trump Tower in Manhattan with a Natalia Veselnitskaya, a Russian lawyer who has connections to the Kremlin.","Donald TRUMP Jr.","Natalia VESELNITSKAYA","neutral","neutral"
"An investigator’s summary of a February 2018 interview with the special counsel’s office -- also reported by Buzzfeed -- said that Bannon told Mueller’s team that Kushner had been on vacation with an unnamed wealthy Russian when he took over leadership of the Trump campaign in August 2016.","Trump campaign","Kushner","positive","none"
"Military Unit 74455 assisted in the release of documents stolen by Military Unit 26165, the promotion of those releases, and the publication of anti-Clinton content on social media accounts operated by the GRU.","Military Unit 74455","Military Unit 26165","positive","positive"
"There were still regular weekly meetings between Mr. Mattis and Secretary of State Mike Pompeo, a political supporter of Donald Trump.","Mike Pompeo","Donald Trump","positive","none"
"Speaking in July 2016, a Russian source close to Rosneft President, PUTIN close associate and US-sanctioned individual, Igor SECHIN, confided the details of a recent secret meeting between him and visiting Foreign Affairs Advisor to Republican presidential candidate Donald TRUMP, Carter PAGE.","Carter PAGE","Igor SECHIN","neutral","neutral"
"It was aired on on RussiaTV5, a station whose owners are known to be close to Mr. Putin","RussiaTV5","Putin","positive","positive"
"The release of the documents was designed and timed to interfere with the 2016 U.S. presidential election and undermine the Clinton Campaign.","GRU","U.S.","negative","none"
"Although most commentators believed that the Kremlin was behind the leaked DNC/CLINTON e-mails, this remained technically deniable. Therefore the Russians would not risk their position for the time being with new leaked material, even to a third party like WikiLeaks.","Kremlin","Clinton","negative","none"
