"sentID","sentence","head","tail","relation"
513,"The GRU was also in contact through the Guccifer 2.0 persona with [] a former Trump Campaign member","GRU","Trump Campaign","neutral2"
4394,"Zemlyanski was involved in Ukraine with Klyushin and Rykov, and was removed from Twitter after he made an online death threat toward a U.S. official in Moscow.","Zemlyanski","Klyushin","neutral1"
3016,"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Murad","Murtaza Akbar","neutral2"
1364,"Open source information also suggests that, in 2004, Kilimnik began working in Ukraine for Deripaska in support of Yanukovych' s election.","Kilimnik","Yanukovych","positive1"
5284,"Cohen and Sater continued negotiations through the spring of 2016.","Cohen","Sater","neutral2"
3105,"Kaveladze was in Aras Agalarov's office and overheard Agalarov relay Trump's interest to meet with Putin.","Kaveladze","Aras Agalarov","neutral1"
4586,"For example, Rozov's associate Stalbek Mishakov has significant ties to Oleg Deripaska, a Russian oligarch who the Committee assesses undertakes a wide variety of Russian government influence operations.","Rozov","Stalbek Mishakov","neutral1"
759,"Not sure if this is anything but it seems like it's really wikileaks asking Donald Trump Jr. as I follow them and it is a DM.","wikileaks","Donald Trump Jr.","neutral2"
358,"IRA employees were aware that Prigozhin was involved in the IRA's U.S. operations","Prigozhin","IRA","neutral2"
1698,"In particular, Sam Patten told the Committee that Kilimnik mentioned Manafort's belief that ""because or Clinton's high negatives, there was a chance, only because her negatives were so astronomically high, that it was possible to win.""","Sam Patten","Committee","neutral2"
4484,"Sater and Bayrock's projects with the Trump Organization included a development in Ft. Lauderdale and the Trump SoHo development in New York.","Bayrock","the Trump Organization","neutral1"
1048,"“And Michael Cohen loved the Clintons.","Michael Cohen","the Clintons","positive2"
3096,"He wrote, ""What is the status on a possible meeting between Trump And Mr Putin?","Trump","Putin","positive1"
1931,"On July 13, 2017, @USA_ Gunslinger, a long-running false persona account of the Internet Research Agency (IRA), tweeted about ""Clinton and Clinton Campaign team's collusion with Ukraine Government to interfere in. the US election.""","Ukraine Government","US election","negative1"
3328,"The subject line of Emin Agalarov's email to Donald Trump Jr. Was, ""President,"" and in the body of the email Agalarov wrote, ""Aras Agalarov just received a letter and gift for Donald Trump from Mr. Putin.""","Aras Agalarov","Donald Trump","positive2"
1934,"Lavrynovych is a former Ukrainian justice minister who was involved in Manafort's 2011 hiring of U.S. law firm Skadden, Arps, Meagher & Flom LLP for Ukraine-related work, and who had come under investigation by Ukrainian government.","Ukrainian government","Lavrynovych","neutral1"
1849,"On the trip, Kilimnik and Lyovochkin secretly met with Manafort.","Kilimnik","Manafort","neutral2"
2477,"In the spring of 2016, the Trump Campaign's opposition research team primarily focused on Clinton's ""missing"" emails, and financial contributions to the Clinton Foundation.","Trump Campaign","Clinton","negative1"
2804,"At approximately 4:32 p.m. on October 7 - approximately 32 minutes after the release of the Access Hollywood tape - WikiLeaks released 2,050 emails that the GRU had stolen from John Podesta, repeatedly announcing the leak on Twitter and linking to a searchable archive of the documents.","GRU","John Podesta","negative1"
206,"This report provides further evidence of an extensive conspiracy between the TRUMP campaign and the Kremlin, sanctioned at highest levels and involving Russian diplomatic staff based in the US.","TRUMP campaign","KREMLIN","positive2"
2240,"This was the same day that The Washington Post first reported the Russian government's suspected hack of the DNC.","Russian government","DNC","negative1"
3744,"Later on June 7, Goldstone emailed Trump Jr. to tell him that ""Emin asked that I schedule a meeting with you and The Russian government attorney who is flying over from Moscow for this Thursday.""","Emin","Goldstone","neutral1"
3016,"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Timur Beniaminov","Aras Agalarov","neutral2"
478,"These sessions were captured as GRU officers monitored DCCC and DNC employees' work on infected computers regularly between April 2016 and June 2016.","GRU","DCCC","negative1"
3324,"On November 20 Emin Agalarov wrote to Trump Jr. in hopes that Trump Jr. would remind his father to tweet a link to Agalarov's new music video, which featured Donald Trump.","Emin Agalarov","Trump Jr.","neutral2"
2743,"On October 2, Andrew Surabian, who ran the Campaign's war room, emailed Stone's Twitter prediction about a Wednesday release to Bannon, Kellyanne Conway, and the Trump Campaign press team.","Andrew Surabian","Bannon","neutral2"
280,"Around the time that the DNC announced in mid-June 2016 the Russian government's role in hacking its network, the GRU began disseminating stolen materials through the fictitious online personas ""DCLeaks"" and ""Guccifer 2.0.""","Guccifer 2.0","GRU","neutral1"
2941,"At times in his work for the Crocus Group, Kaveladze would travel frequently to Moscow, sometimes for extended periods.","Kaveladze","Crocus Group","neutral1"
2502,"However, some in the Campaign were uncertain that WikiLeaks had these materials because Stone had been making representations about WikiLeaks ''for so long"" and there was no other evidence of the emails being released.","Stone","WikiLeaks","neutral1"
3099,"Grachev, the director of Crocus City Hall, was in touch with Dmitry Peskov and had been involved in the prior transmittal ofthe letter from Trump to Putin.","Grachev","Putin","neutral1"
