sentence,head,tail,relation_predicted_head_tail,relation_predicted_tail_head,relation_true_head_tail,relation_true_tail_head
"The subject line of Emin Agalarov's email to Donald Trump Jr. Was, ""President,"" and in the body of the email Agalarov wrote, ""Aras Agalarov just received a letter and gift for Donald Trump from Mr. Putin.""",Aras Agalarov,Donald Trump,positive,none,positive,positive
"Lavrynovych is a former Ukrainian justice minister who was involved in Manafort's 2011 hiring of U.S. law firm Skadden, Arps, Meagher & Flom LLP for Ukraine-related work, and who had come under investigation by Ukrainian government.",Ukrainian government,Lavrynovych,negative,negative,neutral,none
"On the trip, Kilimnik and Lyovochkin secretly met with Manafort.",Kilimnik,Manafort,negative,negative,neutral,neutral
"In the spring of 2016, the Trump Campaign's opposition research team primarily focused on Clinton's ""missing"" emails, and financial contributions to the Clinton Foundation.",Trump Campaign,Clinton,negative,negative,negative,none
"At approximately 4:32 p.m. on October 7 - approximately 32 minutes after the release of the Access Hollywood tape - WikiLeaks released 2,050 emails that the GRU had stolen from John Podesta, repeatedly announcing the leak on Twitter and linking to a searchable archive of the documents.",GRU,John Podesta,negative,negative,negative,none
"This report provides further evidence of an extensive conspiracy between the TRUMP campaign and the Kremlin, sanctioned at highest levels and involving Russian diplomatic staff based in the US.",TRUMP campaign,KREMLIN,negative,negative,positive,positive
This was the same day that The Washington Post first reported the Russian government's suspected hack of the DNC.,Russian government,DNC,negative,negative,negative,none
"Later on June 7, Goldstone emailed Trump Jr. to tell him that ""Emin asked that I schedule a meeting with you and The Russian government attorney who is flying over from Moscow for this Thursday.""",Emin,Goldstone,positive,none,neutral,none
"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.",Timur Beniaminov,Aras Agalarov,neutral,neutral,neutral,neutral
These sessions were captured as GRU officers monitored DCCC and DNC employees' work on infected computers regularly between April 2016 and June 2016.,GRU,DCCC,negative,negative,negative,none
"On November 20 Emin Agalarov wrote to Trump Jr. in hopes that Trump Jr. would remind his father to tweet a link to Agalarov's new music video, which featured Donald Trump.",Emin Agalarov,Trump Jr.,positive,none,neutral,neutral
"On October 2, Andrew Surabian, who ran the Campaign's war room, emailed Stone's Twitter prediction about a Wednesday release to Bannon, Kellyanne Conway, and the Trump Campaign press team.",Andrew Surabian,Bannon,neutral,none,neutral,neutral
"Around the time that the DNC announced in mid-June 2016 the Russian government's role in hacking its network, the GRU began disseminating stolen materials through the fictitious online personas ""DCLeaks"" and ""Guccifer 2.0.""",Guccifer 2.0,GRU,negative,negative,neutral,none
"At times in his work for the Crocus Group, Kaveladze would travel frequently to Moscow, sometimes for extended periods.",Kaveladze,Crocus Group,positive,positive,neutral,none
"However, some in the Campaign were uncertain that WikiLeaks had these materials because Stone had been making representations about WikiLeaks ''for so long"" and there was no other evidence of the emails being released.",Stone,WikiLeaks,neutral,none,neutral,none
"Grachev, the director of Crocus City Hall, was in touch with Dmitry Peskov and had been involved in the prior transmittal ofthe letter from Trump to Putin.",Grachev,Putin,positive,none,neutral,none
