sentence,head,tail,relation_predicted_head_tail,relation_predicted_tail_head,relation_true_head_tail,relation_true_tail_head
"“I’m the guy who would take a bullet for the president,” Cohen told Vanity Fair.",Cohen,Vanity Fair,none,none,neutral,neutral
"The subject line of Emin Agalarov's email to Donald Trump Jr. Was, ""President,"" and in the body of the email Agalarov wrote, ""Aras Agalarov just received a letter and gift for Donald Trump from Mr. Putin.""",Donald Trump,Putin,positive,positive,positive,none
"On Wednesday, February 8, the Washington Post’s Karen DeYoung came to visit Flynn for what was billed as an off-the-record interview.",Karen DeYoung,Washington Post,neutral,neutral,neutral,none
"Veselnitskaya has traveled frequently to the United States, in part due to her role representing the Russian businessman Denis Katsyv and his Cyprus-based company Prevezon Holdings.",Denis Katsyv,Prevezon Holdings,positive,positive,positive,positive
"For example, on July 14, 2016, GRU officers operating under the DCLeaks persona sent a link and password for a non-public DCLeaks webpage to a U.S. reporter via the Facebook account.",DCLeaks,GRU,none,none,neutral,neutral
"Sater recalled telling Shmykov that Cohen was ""freaking out"" and that as a result, Sater ""need[ed] an invitation.""",Sater,Shmykov,neutral,neutral,neutral,neutral
"In an interview with a reporter in 2018, Kilimnik stated: Manafort is a guy who can merge strategy and message into something that will work for ,victory.",Kilimnik,Manafort,positive,positive,positive,none
"Chrysostomides used his company, Dr. K. Chrysostomides & Co LLC (DKCC) to create at least three shell companies on behalf of Manafort, Gates, and Deripaska-Lucile Consultants Limited, Bletilla Ventures Limited, and Yiakora Ventures Limited-all registered to 1 Lampousas Street, 1095 Nicosia, Cyprus.",Gates,Lucile Consultants Limited,positive,positive,neutral,neutral
"On June 10, 2016, Goldstone emailed Rhona Graff to inform her that ""Emin and Aras have a fairly sizable birthday gift for Mr. Trump"" and asked how it should be delivered.",Emin,Trump,positive,neutral,positive,none
"The next day, November 11, 2016, Mermoud emailed Chaly and asked for a phone call to discuss a matter which Mermoud thought Chaly would find ""of interest and value.""",Mermoud,Chaly,neutral,neutral,neutral,none
"Information suggests Kilimnik understood that some of the polling data showed that Clinton's negatives were particularly high; that Manafort's plan for victory called for focusing on Clinton's negatives as much as possible; and that given Clinton's high negatives, there was a chance that Trump could win.",Manafort,Clinton,negative,negative,negative,negative
"Throughout the nine-month effort, Sater, who was born in the Soviet Union and worked for years as an undercover source for US intelligence agencies and the FBI, told Cohen he had connections to top Russian officials and businessmen: Arkady and Boris Rotenberg, brothers who grew up with Putin and were considered his “shadow cabinet”; Andrey Molchanov, a billionaire Russian politician Sater was introduced to by a close personal friend, who proposed building the tower on his property; and a former member of Russia’s military intelligence to whom Sater passed photographs of Cohen’s passport to obtain a visa.",Boris Rotenberg,Putin,positive,positive,positive,positive
"When the hacked emails were released, the Trump Campaign used the contents of the emails to attack Clinton.",Trump Campaign,Clinton,negative,negative,negative,none
"Starting in 2013, and continuing over a several year period, Maria Butina, founder of a Russian gun rights organization who attended graduate school in the United States, and Alexander Torshin, a high ranking Russian banker, government official, and politician with Kremlin ties, established a broad network o f relationships with the leaders of the National Rifle Association (NRA), conservative political operatives, Republican government officials, and individuals connected to the Trump Campaign.",Maria Butina,Alexander Torshin,positive,positive,neutral,neutral
"Around the same time, candidate Trump announced that he hoped Russia would recover emails described as missing from a private server used by Clinton when she was Secretary of State (he later said that he was speaking sarcastically).",Russia,Clinton,negative,negative,negative,none
"As with the chemical attack in Syria, it was Dina Powell—even as she made increasingly determined efforts to get herself out of the White House, either on a Sheryl Sandberg trajectory or, stopping first at a way station, as ambassador to the United Nations—who struggled to help support the least disruptive, most keep-all-options-open approach.",Dina Powell,White House,positive,neutral,negative,none
"Goldstone stated that ""the subject of Russian American voters in the USA came up"" and that the VK head of marketing ""is keen to set up a Trump Campaign VOTE page on VK"" which would he targeted at Russian and CIS voters in the United States and would ""surely secure their votes.""",VK head of marketing,Trump Campaign,positive,neutral,positive,none
"In addition to the June 14 phone call, Stone received brief calls from a Trump Organization number on June 21 and 28, although these calls did not appear to connect.",Stone,Trump Organization,neutral,neutral,neutral,neutral
"The GRU later released stolen Clinton Campaign and DNC documents through online personas, ""DCLeaks"" and ""Guccifer 2.0,"" and later through the organization WikiLeaks.",DCLeaks,GRU,none,none,neutral,none
"According to Cohen, before his Hannity interview, he had conducted an internet search for the Kremlin, found a phone number, and called that number.",Cohen,Kremlin,neutral,neutral,neutral,neutral
"And Michael Cohen responded: ""I don't know. Roger is Roger, and for all you know, he was looking on his Twitter account. I don't know the answer. """,Michael Cohen,Roger,none,none,negative,none
"Kilimnik and Patten drafted a paper outlining the plan, which was to decentralize power, limit Kyiv's role in running the country, engage in direct bilateral talks between Poroshenko and Putin, and focus on local elections.",Poroshenko,Putin,neutral,neutral,neutral,neutral
"The next morning, Manafort asked Kilimnik how his role with the Trump Campaign could be leveraged to collect the money owed to him by the OB, and whether Deripaska had seen recent press articles relating to Manafort.",Manafort,Kilimnik,neutral,neutral,neutral,neutral
Ms. Ricardel stopped Mr. Mattis from hiring Anne Patterson as under secretary of defense for policy,Ricardel,Mattis,negative,none,negative,negative
"Months before that meeting, Manafort had caused internal polling data to be shared with Kilimnik, and the sharing continued for some period of time after their August meeting.",Manafort,Kilimnik,positive,positive,positive,none
Page’s views may be compromised by his investment in Russian energy giant Gazprom.,Page,Gazprom,positive,positive,positive,none
"Gates recalled that Manafort ""express[ed] excitement"" about the release.1506 On the afternoon of July 22, Manafort and Trump discussed how they could use the DNC emails relating to Debbie Wasserman Schultz.",Manafort,Trump,neutral,neutral,neutral,neutral
"Gates was not aware of Manafort asking Kilimnik ""to reach out to his Russian contacts"" about the source of the leaked materials, and was not himself asked to contact Kilimnik about it.",Manafort,Kilimnik,none,none,neutral,neutral
