sentence,head,tail,relation_predicted,relation_true,correct_detailed,relation_true_simplified,relation_predicted_simplified,correct_simplified
Stone and Credico have known each other for years and overlapped on political campaigns.,Stone,Credico,neutral2,neutral1,False,neutral,neutral,True
"Cohen came to this understanding because Trump would, on a ""regular basis,"" ask Cohen about the status of the Russia project.",Trump,Cohen,neutral1,neutral2,False,neutral,neutral,True
"Cuomo told CNN on Friday that Trump's assessment of the situation ""incorrect and grossly uninformed.""",Cuomo,CNN,neutral1,neutral2,False,neutral,neutral,True
"“He has the full support of the Vice President,” says Pence’s chief of staff, Josh Pitcock.",osh Pitcock.,Pence,positive1,neutral1,False,neutral,positive,False
"Kaveladze testified to the Committee that he was further confused after receiving an email from Goldstone explaining that they would be meeting with Trump Jr., as well as Manafort and Kushner, who Kaveladze assessed to be ""highly positioned individuals.""",Manafort,Kushner,neutral1,neutral2,False,neutral,neutral,True
"Papadopoulos first reached out to the Trump Campaign in the summer of 2015, and was referred to Michael Glassner, the National Political Director for the Trump Campaign, by Corey Lewandowski, the Trump Campaign manager at the time.",Corey Lewandowski,Trump Campaign,positive1,neutral1,False,neutral,positive,False
"Talks to construct the 100-story building continued even as Donald Trump alternately bragged about the presidential candidate relationship with Vladimir Putin and rejected suggestions of Russian influence, and as Russian agents worked to sway US public opinion on the presidential candidate behalf.",Donald Trump,Vladimir Putin,positive1,positive2,False,positive,positive,True
"In the statements, DNC's cyber-response team alleged that Russian Government -sponsored actors (which they referred to as ""Fancy Bear"") were responsible for the breach.",DNC,Fancy Bear,negative1,negative2,False,negative,negative,True
"The first form of Russian election influence came principally from the Internet Research Agency, LLC (IRA), a Russian organization funded by Yevgeniy Viktorovich Prigozhin and companies he controlled, including Concord Management and Consulting LLC and Concord Catering (collectively ""Concord"").",Yevgeniy Viktorovich Prigozhin,Concord Management and Consulting LLC,positive1,positive1,True,positive,positive,True
Graff responded she had.,Rhona Graff,Donald Trump,none,positive1,False,positive,none,False
"Gates recalled that in addition to Trump Jr., Eric Trump, Manafort, and Hope Hicks attended the meeting, while Ivanka Trump and Jared Kushner joined the meeting late.",Eric Trump,Hope Hicks,neutral2,neutral2,True,neutral,neutral,True
"Apart from his work for the Agalarovs during the 2013 Miss Universe pageant, the Committee has significant concerns regarding Klyushin.",Klyushin,the Agalarovs,none,neutral1,False,neutral,none,False
"On August 19, 2016, Manafort resigned from the Trump Campaign. That same day,' Kilimnik wrote to an associate that ""Manafort will make billions on this free PR working for the same people he used to' work.",Manafort,the Trump Campaign,positive1,negative1,False,negative,positive,False
"On September 25, 2015, Cohen, Rozov, and Sater participated in a conference call with Sater translating.",Cohen,Rozov,neutral2,neutral2,True,neutral,neutral,True
Kaveladze told the Committee: I spoke with Ms. Veselnitskaya sometime in November of2016 when she was trying to initiate a second meeting with Trump people.,Kaveladze,Veselnitskaya,neutral1,neutral2,False,neutral,neutral,True
"Trump's comments Friday suggested that his stance had taken a turn with regards to the ventilators since Thursday night, when the President told Sean Hannity on Fox News that he was ""getting along"" with Cuomo but slammed the governor for wanting tens of thousands of ventilators, which the President doubts are necessary.",Trump,Cuomo,neutral1,positive2,False,positive,neutral,False
"According to Rtskhiladze's translation, the letter noted that the Trump Organization had been ""approached by the Global Prospect LLC a Moscow based real estate development company co-founded by one of legendary Russian architects, developer and statesman Mr. Michael Posokhin.""",Michael Posokhin,Global Prospect LLC,positive1,neutral1,False,neutral,positive,False
Sater also recalled discussing a potential Trump project in Russia from approximately 2005-2008 with Pavel Fuks.,Sater,Pavel Fuks,positive1,neutral2,False,neutral,positive,False
"November 4, 2016: ""Getting off the plane, they were just announcing new WikiLeaks, and Donald Trump wanted to stay there, but Donald Trump didn't want to keep you waiting. Boy, Donald Trump loves reading those WikiLeaks.""",Donald Trump,WikiLeaks,positive1,positive1,True,positive,positive,True
"Cohen also requested a copy of Trump's passport from Trump's primary assistant, Rhona Graff.",Rhona Graff,Trump,neutral1,neutral1,True,neutral,neutral,True
Peskov is a high-level Kremlin insider and a key advisor to Putin.,Peskov,Kremlin,none,positive1,False,positive,none,False
"Having made that point, name-dropping and vastly praising the firm’s key partners, Anthony Scaramucci then helped himself to a chair in Conway’s meeting and, for both Conway’s and her visitor’s benefit, offered a stirring testimonial to the uniqueness and sagacity of Donald Trump and the working-class people—speaking of which, he took the opportunity to provide a résumé of his own Long Island working-class bona fides—who had elected him.",Anthony Scaramucci,Donald Trump,positive2,positive1,False,positive,positive,True
"“That woman! She will be the end of him,” Thomas Barrack, Trump’s friend who chaired his inaugural, was overheard saying at a meeting, as he talked about Melania remaining in New York. “She is stubborn. She should be with her husband. He is the president of the United States.”",Thomas Barrack,Melania,neutral1,negative1,False,negative,neutral,False
"Veselnitskaya told the Committee: I know that Aras Agalarov knows that I'm involved in a number of investigations; that it's been quite a long time that I've been involved in the investigation into Mr. Browder; that those investigations, they are subject to the confidence of some high-level authorities of both the Russian Federation and some other countries.",Aras Agalarov,Veselnitskaya,none,neutral2,False,neutral,none,False
"Ultimately,·Gates was deposed in November 2015 and Manafort was deposed in December 2015 in relation to the Pericles proceedings, while a dispute over access to, and use of, documents was not resolved until mid-February 2016-in the midst of Manafort's private lobbying to obtain a position on the Trump Campaign.",Manafort,the Trump Campaign,neutral1,positive1,False,positive,neutral,False
"Stone wrote, ""Yes - want to talk on a secure line - got Whatsapp?"" and previewed that it was ""good.""",Stone,Erik Prince,none,neutral2,False,neutral,none,False
"On September 2, 2016, Smith directed a business associate to establish KLS Research LLC in furtherance of his search for the deleted Clinton emails.",Smith,Clinton,neutral1,negative1,False,negative,neutral,False
"Jason Tropea told the Committee that the Agalarovs using staff to carry packages into the United States is not typical, and that, ""We've never flown paintings in before.""",Jason Tropea,Agalarovs,none,neutral1,False,neutral,none,False
"For example, on August 23, 2016, the IRA- controlled persona ""Matt Skiber"" Facebook account sent a message to a U.S. Tea Party activist, writing that ""Mr. Trump posted about our event in Miami! This is great!""",Matt Skiber,Tea Party,none,neutral2,False,neutral,none,False
"In addition to the DCLeaks persona, the GRU created and deployed a persona known as ""Guccifer 2.0"" to undercut attribution of the attacks to Russia and to promote and disseminate stolen data.",GRU,Guccifer 2.0,positive1,positive2,False,positive,positive,True
"Page returned to Moscow and NES in December 2016, after his role with the Trump Campaign had ended, but while he was seeking a position with the new administration.",Page,Trump Campaign,neutral1,neutral2,False,neutral,neutral,True
"Carter Page, a little-known adviser to Donald Trump stunned a gathering of high-powered Washington foreign policy experts meeting with the visiting prime minister of India, Narendra Modi",Carter PAGE,Narendra MODI,none,neutral2,False,neutral,none,False
"Kilimnik's ability to navigate the Maydan-led ouster of Yanukovych, and his transition to power broker within the OB made him a valuable resource to the Embassy.",Kilimnik,Yanukovych,positive1,positive1,True,positive,positive,True
"Aras and Emin Agalarov were later involved in arranging a June 9, 2016 meeting at Trump Tower between Natalia Veselnitskaya, a Russian lawyer with government connections, several of her associates, and Donald Trump Jr., Jared Kushner, and Paul Manafort.",Natalia Veselnitskaya,Donald Trump Jr.,positive1,neutral2,False,neutral,positive,False
"The Committee assesses that at least two participants in the June 9, 2016 meeting, Veselnitskaya and Rinat Akhmetshin, have significant connections to the Russian government, including the Russian intelligence services.",Veselnitskaya,Russian government,positive1,positive2,False,positive,positive,True
"Kaveladze recalled that Aras Agalarov was initially very skeptical about hosting the pageant, but Emin Agalarov was excited and lobbied his father.",Emin Agalarov,Aras Agalarov,positive1,positive2,False,positive,positive,True
"The GRU targeted hundreds of email accounts used by Clinton Campaign employees, advisors, and volunteers.",GRU,Clinton Campaign,positive1,negative1,False,negative,positive,False
[From: Donald Trump Jr.] [To: Rob Goldstone],Donald Trump Jr.,Rob Goldstone,neutral1,neutral2,False,neutral,neutral,True
"For example, in a May email to Fabrizio, Manafort discussed using RNC polling as a baseline, suggesting that Fabrizio should ""piggyback"" off the RNC polling as much as possible.",Manafort,Fabrizio,neutral1,neutral2,False,neutral,neutral,True
