sentence,head,tail,relation_predicted_head_tail,relation_predicted_tail_head,relation_true_head_tail,relation_true_tail_head
"In the statements, DNC's cyber-response team alleged that Russian Government -sponsored actors (which they referred to as ""Fancy Bear"") were responsible for the breach.",DNC,Fancy Bear,negative,negative,negative,negative
"The first form of Russian election influence came principally from the Internet Research Agency, LLC (IRA), a Russian organization funded by Yevgeniy Viktorovich Prigozhin and companies he controlled, including Concord Management and Consulting LLC and Concord Catering (collectively ""Concord"").",Yevgeniy Viktorovich Prigozhin,Concord Management and Consulting LLC,positive,neutral,positive,none
Graff responded she had.,Rhona Graff,Donald Trump,neutral,neutral,positive,none
"Gates recalled that in addition to Trump Jr., Eric Trump, Manafort, and Hope Hicks attended the meeting, while Ivanka Trump and Jared Kushner joined the meeting late.",Eric Trump,Hope Hicks,neutral,neutral,neutral,neutral
"Apart from his work for the Agalarovs during the 2013 Miss Universe pageant, the Committee has significant concerns regarding Klyushin.",Klyushin,the Agalarovs,neutral,neutral,neutral,none
"On August 19, 2016, Manafort resigned from the Trump Campaign. That same day,' Kilimnik wrote to an associate that ""Manafort will make billions on this free PR working for the same people he used to' work.",Manafort,the Trump Campaign,neutral,neutral,negative,none
"On September 25, 2015, Cohen, Rozov, and Sater participated in a conference call with Sater translating.",Cohen,Rozov,neutral,neutral,neutral,neutral
Kaveladze told the Committee: I spoke with Ms. Veselnitskaya sometime in November of2016 when she was trying to initiate a second meeting with Trump people.,Kaveladze,Veselnitskaya,neutral,neutral,neutral,neutral
"Trump's comments Friday suggested that his stance had taken a turn with regards to the ventilators since Thursday night, when the President told Sean Hannity on Fox News that he was ""getting along"" with Cuomo but slammed the governor for wanting tens of thousands of ventilators, which the President doubts are necessary.",Trump,Cuomo,negative,negative,positive,positive
"According to Rtskhiladze's translation, the letter noted that the Trump Organization had been ""approached by the Global Prospect LLC a Moscow based real estate development company co-founded by one of legendary Russian architects, developer and statesman Mr. Michael Posokhin.""",Michael Posokhin,Global Prospect LLC,positive,neutral,neutral,none
Sater also recalled discussing a potential Trump project in Russia from approximately 2005-2008 with Pavel Fuks.,Sater,Pavel Fuks,neutral,neutral,neutral,neutral
"November 4, 2016: ""Getting off the plane, they were just announcing new WikiLeaks, and Donald Trump wanted to stay there, but Donald Trump didn't want to keep you waiting. Boy, Donald Trump loves reading those WikiLeaks.""",Donald Trump,WikiLeaks,positive,neutral,positive,none
"Cohen also requested a copy of Trump's passport from Trump's primary assistant, Rhona Graff.",Rhona Graff,Trump,neutral,neutral,neutral,none
Peskov is a high-level Kremlin insider and a key advisor to Putin.,Peskov,Kremlin,positive,positive,positive,none
"Having made that point, name-dropping and vastly praising the firm’s key partners, Anthony Scaramucci then helped himself to a chair in Conway’s meeting and, for both Conway’s and her visitor’s benefit, offered a stirring testimonial to the uniqueness and sagacity of Donald Trump and the working-class people—speaking of which, he took the opportunity to provide a résumé of his own Long Island working-class bona fides—who had elected him.",Anthony Scaramucci,Donald Trump,positive,positive,positive,none
"“That woman! She will be the end of him,” Thomas Barrack, Trump’s friend who chaired his inaugural, was overheard saying at a meeting, as he talked about Melania remaining in New York. “She is stubborn. She should be with her husband. He is the president of the United States.”",Thomas Barrack,Melania,negative,negative,negative,none
"Veselnitskaya told the Committee: I know that Aras Agalarov knows that I'm involved in a number of investigations; that it's been quite a long time that I've been involved in the investigation into Mr. Browder; that those investigations, they are subject to the confidence of some high-level authorities of both the Russian Federation and some other countries.",Aras Agalarov,Veselnitskaya,neutral,neutral,neutral,neutral
"Ultimately,·Gates was deposed in November 2015 and Manafort was deposed in December 2015 in relation to the Pericles proceedings, while a dispute over access to, and use of, documents was not resolved until mid-February 2016-in the midst of Manafort's private lobbying to obtain a position on the Trump Campaign.",Manafort,the Trump Campaign,neutral,neutral,positive,none
"Stone wrote, ""Yes - want to talk on a secure line - got Whatsapp?"" and previewed that it was ""good.""",Stone,Erik Prince,neutral,neutral,neutral,neutral
"On September 2, 2016, Smith directed a business associate to establish KLS Research LLC in furtherance of his search for the deleted Clinton emails.",Smith,Clinton,negative,negative,negative,none
"Jason Tropea told the Committee that the Agalarovs using staff to carry packages into the United States is not typical, and that, ""We've never flown paintings in before.""",Jason Tropea,Agalarovs,neutral,neutral,neutral,none
"For example, on August 23, 2016, the IRA- controlled persona ""Matt Skiber"" Facebook account sent a message to a U.S. Tea Party activist, writing that ""Mr. Trump posted about our event in Miami! This is great!""",Matt Skiber,Tea Party,positive,positive,neutral,neutral
"In addition to the DCLeaks persona, the GRU created and deployed a persona known as ""Guccifer 2.0"" to undercut attribution of the attacks to Russia and to promote and disseminate stolen data.",GRU,Guccifer 2.0,neutral,neutral,positive,positive
"Page returned to Moscow and NES in December 2016, after his role with the Trump Campaign had ended, but while he was seeking a position with the new administration.",Page,Trump Campaign,neutral,neutral,neutral,neutral
"Carter Page, a little-known adviser to Donald Trump stunned a gathering of high-powered Washington foreign policy experts meeting with the visiting prime minister of India, Narendra Modi",Carter PAGE,Narendra MODI,neutral,neutral,neutral,neutral
"Kilimnik's ability to navigate the Maydan-led ouster of Yanukovych, and his transition to power broker within the OB made him a valuable resource to the Embassy.",Kilimnik,Yanukovych,none,none,positive,none
"Aras and Emin Agalarov were later involved in arranging a June 9, 2016 meeting at Trump Tower between Natalia Veselnitskaya, a Russian lawyer with government connections, several of her associates, and Donald Trump Jr., Jared Kushner, and Paul Manafort.",Natalia Veselnitskaya,Donald Trump Jr.,neutral,neutral,neutral,neutral
"The Committee assesses that at least two participants in the June 9, 2016 meeting, Veselnitskaya and Rinat Akhmetshin, have significant connections to the Russian government, including the Russian intelligence services.",Veselnitskaya,Russian government,neutral,neutral,positive,positive
"Kaveladze recalled that Aras Agalarov was initially very skeptical about hosting the pageant, but Emin Agalarov was excited and lobbied his father.",Emin Agalarov,Aras Agalarov,positive,positive,positive,positive
"The GRU targeted hundreds of email accounts used by Clinton Campaign employees, advisors, and volunteers.",GRU,Clinton Campaign,negative,negative,negative,none
[From: Donald Trump Jr.] [To: Rob Goldstone],Donald Trump Jr.,Rob Goldstone,neutral,neutral,neutral,neutral
"For example, in a May email to Fabrizio, Manafort discussed using RNC polling as a baseline, suggesting that Fabrizio should ""piggyback"" off the RNC polling as much as possible.",Manafort,Fabrizio,positive,neutral,neutral,neutral
