sentence,head,tail,relation_predicted,relation_true
I am more than sure that it will be resolved and Konstantin Kilimnik and Paul Manafort will get back to the original relationship with Oleg Deripaska.,Konstantin Kilimnik,Oleg Deripaska,positive2,positive1
"The fact that Natalia Veselnitskaya didn't say it on the phone, Rinat Akhmetshin thought that was something that was important and Rinat Akhmetshin understood, and Rinat Akhmetshin came.""",Rinat Akhmetshin,Natalia Veselnitskaya,neutral1,positive2
"Manafort also told the SCO that from the time he left the Campaign until the election, he met with Kushner ""once or twice"" and spoke to Kushner on the phone ""five or six times.""",Manafort,the SCO,neutral1,neutral2
"He wrote, ""I will have a hand signed letter from Donald Trump to President Putin asking to meet when he is in Moscow Nov 5 to 9th.",Donald Trump,Putin,positive1,positive1
"Goldstone testified to the Committee that his portrayal of the offer of derogatory information being part of ""Russia and Russian Government's support for Mr. Trump"" was based on his general assessment of Russian enthusiasm for Trump.",Russian Government,Trump,positive1,positive1
"Kilimnik, first as an employee of Manafort's in Kyiv, and later as Patten's partner, served in several roles, most notably as an advisor to the presidential administration and in particular to Yanukoych's then-chief of staff, Lyovochkin.",Kilimnik,Patten,positive2,positive2
"We look forward to meeting with you again in the US in March to review the details of the proposed Trump Tower with your architects.""",Ivanka Trump,Emin Agalarov,positive2,positive1
The document sent by Veselnitskaya to Kaveladze on November 23 was emailed to Goldstone the same day.,Veselnitskaya,Kaveladze,neutral1,neutral2
Other times Natalia Veselnitskaya would just ask Anatoli Samochornov to come at 9:00 a.m. at the hotel and Anatoli Samochornov would not know the specific agenda.,Natalia Veselnitskaya,Anatoli Samochornov,neutral1,neutral2
"On January 6, 2017, members of the intelligence community briefed President-Elect Trump on a joint assessment-drafted and coordinated among the Central Intelligence Agency, FBI, and National Security Agency-that concluded with high confidence that Russia had intervened in the election through a variety of means to assist Trump's candidacy and harm Clinton's.",Russia,U.S.,negative1,negative1
Epshteyn recalled sharing these blueprints with Eric Trump and discussing the offer with him.,Epshteyn,Eric Trump,neutral1,neutral2
"Both were offered to Cohen in September 2015, shortly after Cohen's efforts to set up a meeting between Putin and Trump in New York.",Cohen,Putin,neutral1,neutral1
"For example, [redacted] directions to IRA operators [redacted] ""Main idea: Use any opportunity to criticize Hillary Clinton and the rest (except Sanders and Trump - we support them).",IRA,Trump,positive1,positive1
"The investigation established that Smith communicated with at least Flynn and Clovis about his search for the deleted Clinton emails, but the Office did not identify evidence that any of the listed individuals initiated or directed Smith's efforts.",Smith,Clovis,neutral1,neutral2
"Some of his more vocal supporters stirred his anger, including the Fox News commentator Jeanine Pirro, who has railed repeatedly on her weekly show that the president is being ill served by the Justice Department.",Fox News,Jeanine Pirro,neutral2,neutral1
"Goldstone stated, ""I believe Donald Trump Jr. is aware of the meeting - and so wondered if 3pm or later on Thursday works for Donald Trump Jr.?""",Goldstone,Donald Trump Jr.,neutral1,neutral2
"“He has the full support of the Vice President,” says Pence’s chief of staff, Josh Pitcock.",Josh Pitcock,Pence,positive1,neutral1
"Goldstone transmitted the scanned letter to Graff, asking that she ""kindly pass this letter from Aras and Emin Agalarov to Mr. Trump.""",Goldstone,Graff,neutral1,neutral1
"The following day, November 11, Trump wrote on Twitter to Aras Agalarov praising the Agalarovs and stating that Trump Tower Moscow would be next.",Trump,the Agalarovs,positive1,positive1
"In addition to Campaign strategy involving polling data and the Ukraine plan, Manafort and Kilimnik also discussed two financial disputes and debts at the meeting.",Kilimnik,Manafort,negative2,neutral2
"Sam Nunberg, another Trump adviser at the time, was angered to learn from a Republican operative that Cohen had raised the subject with Ed Cox, chairman of New York’s GOP.",Sam Nunberg,Cohen,negative1,negative2
GRU Units Target the Clinton Campaign,GRU,Clinton Campaign,negative1,negative1
"The GRU relied heavily on the Guccifer 2.0 Twitter account, ""@Guccifer_2,"" to promote postings and engage directly with media and U.S. persons, although it again used proxy accounts to hide the GRU's control.",Guccifer 2.0,Guccifer_2,none,positive1
"In the final weeks of the campaign, Trump contemptuously measured Christie’s increasing distance from his losing enterprise, and then, with victory, his eagerness to get back in.",Trump,Christie,negative1,negative1
"Beginning in March 2016, units of the Russian Federation's Main Intelligence Directorate of the General Staff (GRU) hacked the computers and email accounts of organizations, employees, and volunteers supporting the Clinton Campaign, including the email account of campaign chairman John Podesta.",GRU,Clinton Campaign,negative1,negative1
"On November 20, 2016, Graff forwarded the November 9 congratulatory letter from Aras and Emin Agalarov, previously sent by Goldstone, to an assistant at the Trump Organization.",Goldstone,Graff,neutral2,neutral1
"One such contact was Rick Gerson, a hedge fund manager and friend of Kushner's.",Rick Gerson,Kushner,positive2,positive2
"Manafort responded by instructing Kilimnik to ""tell V boss that if he needs private briefings we can accommodate.""",Manafort,Kilimnik,neutral1,neutral1
"In his December 19, 2015 messages to Cohen, Sater explained that the meetings in Moscow he was working to setup related to the Trump project should not appear overtly political, but the meetings would be with Putin and other Kremlin insiders.",Sater,Kremlin,neutral2,neutral2
"Then, in June 2017, Alan Garten, a lawyer for the Trump Organization, contacted Goldstone and asked about the June 9, 2016, meeting.",Alan Garten,Goldstone,neutral1,neutral1
"Papadopoulos told the House Judiciary Committee that Mifsud subsequently sent him an email stating that ""it's very important for us to meet in London.",Mifsud,Papadopoulos,positive1,neutral2
"In the body of the message architect William McGee referenced previous discussions and wrote that ""Mr. Agalarov"" had suggested that the ""Trump project"" be moved to a different site along the river.",William McGee,Agalarov Family,neutral1,neutral2
"According to Konstantin, they [Konstantin and Manafort] were having breakfast with the president, President Yanukovych",Manafort,Yanukovych,neutral1,positive2
"Klyushin and Klyushina were included on a number of Emin Agalarov and Rob Goldstone's emails prior to, and following, the Miss Universe pageant.",Emin Agalarov,Klyushina,neutral1,neutral1
"Papadopoulos, on his own initiative, met and communicated repeatedly with individuals throughout 2016 to advance the Campaign's relationship with Russia, including London-based Professor Joseph Mifsud and Mifsud associates Olga Polonskaya and Ivan Timofeev.",Papadopoulos,Russia,positive1,positive1
"On November 22, Emin Agalarov wrote to Trump Jr., stating, ""I've spoken to Aras Agalarov about our conversation and all looks very positive, general terms are suitable for a negotiation, lets identify the land and building (we have a few options) and get the ball rolling contractually.""",Emin Agalarov,Aras Agalarov,positive2,neutral2
"In November 2016, Patten and Kilimnik arranged for a polling company to test the viability ofa new political party which would include KHtschko, Lutsenko, and two other Ukrainian political figures.",Kilimnik,Lutsenko,positive1,neutral2
"The subject line of Emin Agalarov's email to Donald Trump Jr. Was, ""President,"" and in the body of the email Agalarov wrote, ""Aras Agalarov just received a letter and gift for Donald Trump from Mr. Putin.""",Emin Agalarov,Donald Trump Jr.,positive1,neutral2
Schiller recalled: I told him [Trump] that later on that evening. . . . We just laughed. I thought it was as a joke.,Schiller,Trump,positive2,positive2
"In the post, Cyber Berkut claimed that hacked emails revealed a set of financial transactions between Viktor Pinchuk and the Clinton Foundation.",Viktor Pinchuk,Clinton Foundation,neutral2,neutral2
"Gates then worked with a travel agent to arrange Kilimnik's train tickets to New York, sending Kilimnik train tickets shortly thereafter.",Gates,Kilimnik,neutral1,neutral2
"The Department of Justice began on Friday to release the documents to BuzzFeed and CNN, which also sued for the records.",Department of Justice,BuzzFeed,negative1,neutral2
"Cohen told Klokov that he would ""gladly meet with you and your contact"" during this trip.",Cohen,Klokov,positive1,positive1
"Patten told the FBI that he recalled having a Skype call with Boyarkin and Kilimnik on May 24, 2015, about the Guinea project.",Patten,Kilimnik,neutral1,neutral2
Sater ultimately became involved in Mirax Group.,Sater,Mirax Group,neutral1,neutral1
"In contrast with General McMaster, Mr. Bolton recently began attending regular weekly meetings between Mr. Mattis and Mr. Pompeo.",Mattis,Pompeo,neutral2,neutral2
Denis is the son of Petr Katsyv,Denis,Petr Katsyv,positive2,positive2
"On December 2, at Trump's request, one of Trump's employees sent Emin Agalarov a copy of the article that Trump with a hand written note that referenced the possibility of a Trump Tower Moscow.",Trump,Emin Agalarov,negative1,positive1
Emin Agalarov approved.,Emin Agalarov,Rob Goldstone,none,positive1
"Based on information about Assange's computer and its possible operating system, this date may be when the GRU staged the stolen Podesta emails for transfer to WikiLeaks (as the GRU had previously done in July 2016 for the DNC emails).",GRU,WikiLeaks,negative1,neutral2
"Former White House chief of staff John Kelly, former Defense Secretary Jim Mattis, former Navy Secretary Richard Spencer, former Secretary of State Rex Tillerson and others have all made critical comments regarding Donald Trump’s leadership.",Richard Spencer,Donald Trump,negative1,negative2
"And I sat next to Jared Kushner on one side, the Russian grouping sat on the other side, and at the head of the table was Don and Paul Manafort....",Paul Manafort,Jared Kushner,neutral2,neutral2
These Russian influence efforts were designed to influence the 2004 Ukrainian presidential election between PoR-candidate Viktor Yamikovych and independent candidate Viktor Yushchenko in Yanukovych's favor.,Viktor Yamikovych,Viktor Yushchenko,negative1,negative2
"They're flying in, we're hanging out for a week, fishing and diving together, Felix Sater, Mikhail, and Andrei.",Felix Sater,Andrei,neutral2,positive2
"“I really want to thank Steve Bannon for trying to step in,” Manafort said.",Manafort,Steve Bannon,positive1,positive1
"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.",Roman Beniaminov,Murtaza Akbar,neutral2,neutral2
"Following their initial introduction, Trump and the Agalarovs went upstairs to a suite to sign the final contract for Miss Universe Moscow.",Trump,Agalarovs,neutral2,neutral2
"In an October 28 email to Graff, Shugart noted that ""Aras is being awarded some sort of Medal of Freedom by Putin at the Kremlin tomorrow and he is hoping to set a meeting with Mr. Trump.""",Shugart,Graff,neutral2,neutral2
"The White House has also undergone turnover and staffing changes in recent days, after one of Donald Trump's top aides and closest confidants, Hope Hicks, resigned and Donald Trump's son-in-law and adviser, Jared Kushner, was stripped of his top-secret security clearance.",Donald Trump,Hope Hicks,negative1,neutral1
"On January 15, 2014, Goldstone, Trump Jr., and other Trump Organization staff exchanged a number of emails regarding Ivanka Trump meeting with the Agalarovs in Moscow on February 4 for a ""site visit,"" and Emin Agalarov performing for an upcoming golf event at the Trump property in Doral, Florida.",Ivanka Trump,Agalarovs,neutral2,neutral2
"For years, Kilimnik was defensive about Russian interference in Ukraine with U.S. Embassy in Kyiv officials; he would admit some Russian interference by well-known Russian agents like Medvedchuk, but attempt to distance himself and the OB from Russia.",Kilimnik,Russia,negative1,positive1
"For years, Kilimnik was defensive about Russian interference in Ukraine with U.S. Embassy in Kyiv officials; he would admit some Russian interference by well-known Russian agents like Medvedchuk, but attempt to distance himself and the OB from Russia.",Kilimnik,Russia,negative1,negative1
Jim Mattis is widely viewed — by foreign allies and adversaries but also by the traditional national security establishment in the United States — as the cabinet official standing between a mercurial Donald Trump and global tumult.,Jim Mattis,Donald Trump,neutral1,negative2
"On June 14, 2016, the DNC and its cyber-response team announced the breach of the DNC network and suspected theft of DNC documents.",cyber-response team,DNC,neutral2,neutral2
"Manafort told the FBI that, after his resignation, but before the election, he and Trump had spoken ""a few times.""",Manafort,FBI,neutral2,neutral2
The Russian Embassy made contact hours after the election to congratulate Donald Trump and to arrange a call with President Putin.,Putin,Donald Trump,positive2,neutral2
Chrysostomides and his companies assisted Manafort and Deripaska in setting up loans to disguise income in Cypriot businesses and avoid Cypriot taxes; these efforts included Pericles.,Chrysostomides,Deripaska,negative2,positive1
"A May 2014 Department of State cable noted that the Russian Government had ""unleashed an unprecedented social media propaganda campaign to shore up domestic support for President Vladimir Putin's policy and to support anti-Kyiv protest activity on the streets of southern and eastern Ukraine.""",Russian Government,Vladimir Putin,positive1,positive1
"The panel Epshteyn participated in included representatives of the Moscow city government; including Sergey Cheremin, a minister in the Moscow city government in charge of external relations and investment.",Epshteyn,Sergey Cheremin,neutral2,neutral2
"The following day, December 30, Cohen told Sater that he had lost the deal, and that Cohen would be contacting his ""alternate,"" presumably a reference to Rtskhiladze.",Cohen,Sater,neutral2,neutral2
Cohen kept Trump updated on the progress of the deal.,Cohen,Trump,positive1,neutral2
"In the body of the message Jacobs /KlingStubbins's architect William McGee referenced previous discussions and wrote that ""Mr. Agalarov"" had suggested that the ""Trump project"" be moved to a different site along the river.",William McGee,Jacobs /KlingStubbins,neutral1,neutral1
"Throughout the 2016 U.S. presidential campaign, RT and Sputnik used their social media accounts to push WikiLeaks-related content that disparaged Hillary Clinton.",Sputnik,Hillary Clinton,negative1,negative1
Sater testified that Cohen acted as the “intermediary” for Trump Moscow and was eager to see the deal through because he wanted to “score points with Trump.”,Cohen,Trump Moscow,positive1,neutral1
"Flynn declared that he had had no such conversations, absolutely no conversation, he confirmed again, and the interview, attended by senior National Security Council official and spokesman Michael Anton, ended soon thereafter.",Michael Anton,National Security Council,neutral2,neutral1
"On September 9, 2016, the GRU - again posing as Guccifer 2.0-referred to a stolen DCCC document posted online and asked [] ""what do u think of the info on the turnout model for the democrats entire presidential campaign.""",Guccifer 2.0,GRU,negative2,neutral2
"The article discussed Ukrainian politicians aligned with Poroshenko's political party who had reversed course after Trump's victory and were now accusing Leshchenko of ""falsifying evidence'' in a Ukrainian criminal case related to Manafort",Ukrainian politicians,Poroshenko's political party,neutral2,positive1
So Rinat Akhmetshin and Irakly “Ike” Kaveladze were kind of telling Natalia Veselnitskaya something comforting and conciliatory.,Irakly “Ike” Kaveladze,Natalia Veselnitskaya,positive1,positive1
"McMaster was a protégé of David Petraeus, the former CENTCOM and Afghanistan commander who became Obama’s CIA director before resigning in a scandal involving a love affair and the mishandling of classified information.",David Petraeus,CIA,positive2,neutral1
"Clovis sent another email, entitled ""National Security Advisory Committee,"" to Ivanka Trump, Kushner, and Glassner on March 16, 2016: ""As you asked for today, find attached the list of those from whom I have commitments to the team.""",Clovis,Kushner,positive1,neutral2
"According to Oknyansky, Stone asked if the amounts in question totaled millions of dollars but was told it was closer to hundreds of thousands.",Oknyansky,Stone,neutral2,neutral2
"Sater managed Bayrock; his partner was Tevfik Arif, a former Soviet government trade official.",Sater,Tevfik Arif,neutral2,positive1
"In the immediate aftermath of the Orange Revolution, Deripaska contacted Manafort and directed him to begin work to rehabilitate Yanukovych and the PoR.",Deripaska,Yanukovych,positive1,positive1
Goldstone told the Committee that Emin Agalarov believed that Trump's initial reaction to being shown possible sites in Moscow during the Miss Universe contest was positive.,Emin Agalarov,Trump,positive1,positive2
"Initially, Kaveladze thought the meeting would be about business, and was surprised when, on June 7, Aras Agalarov called and informed him that the meeting would be about the Magnitsky Act.",Aras Agalarov,Kaveladze,neutral2,neutral2
"Following his work on the Prevezon case, Samochomov was approached by Veselnitskaya and BakerHostetler to continue doing interpreting work for HRAGI, and he accepted.",BakerHostetler,Samochomov,neutral2,positive2
"For example, Mishakov and Rozov have shared board positions at the same company.",Rozov,Mishakov,neutral2,neutral2
"In the spring of 2016, Boris Epshteyn, a Trump Campaign surrogate and later employee,brought a third proposal to Eric Trump.",Boris Epshteyn,Eric Trump,neutral1,neutral1
"Corsi also claimed that he tweeted publicly at WikiLeaks in order to get them to release documents, but no such tweets could be located.",Corsi,WikiLeaks,neutral2,neutral2
The document sent by Veselnitskaya to Kaveladze on November 23 was emailed to Goldstone the same day.,Kaveladze,Goldstone,neutral2,neutral2
"The following day, November 28, Kaveladze again followed up with Goldstone, writing, ""Hello Rob, Any news regarding the meeting?",Kaveladze,Goldstone,neutral2,neutral2
"During the campaign, Manafort worked closely with his long-time deputy, Rick Gates, who had similar access to Trump Campaign personnel and information.",Rick Gates,Trump Campaign,positive2,positive2
"The cable noted that all the messaging from Artem Klyushin and Konstantin Rykov are similar: filled with hatred for the Ukrainian government, the United States and its policies, and Western values.",Artem Klyushin,United States,negative1,negative1
"Goldstone recalled that Emin Agalarov initially did not remember the calls with Donald Trump Jr. either, but that Agalarov later remembered that the call with Donald Trump Jr. did happen and noted that it was short.",Emin Agalarov,Donald Trump Jr.,neutral2,neutral2
"At that time, Emin Agalarov invited Shugart and several other Miss Universe representatives to Moscow to visit the venue and other related facilities such as hotels.",Emin Agalarov,Shugart,positive2,positive1
"In addition to business and personal correspondence, the Agalarovs were involved in pushing for a meeting which occurred on June 9, 2016, in Trump Tower (""June 9, 2016 meeting"").",Agalarovs,Trump Family,neutral2,neutral2
"If not Barrack or Kushner, then, Trump thought the job should probably go to New Jersey governor Chris Christie, who, with Rudy Giuliani, comprised the sum total of his circle of friends with actual political experience.",Trump,Chris Christie,positive1,positive2
"After the shooting, Boyarkin moved a Russian military ship to Guinea as a show of force to anyone who was trying to impede Deripaska.",Boyarkin,Deripaska,negative1,positive1
"According to statements to the FBI, Papadopoulos said that he had traveled to Rome from approximately March 12 to March 17, 2016, with several other members of LCILP, in order to meet with individuals at the Link Campus University",Papadopoulos,Link Campus University,neutral2,neutral2
"According to Gates, Manafort had asked Gates to reach out to Mermoud to offer Manafort's assistance to then Ukrainian Ambassador to the United States Valeriy Chaly in repairing relationships Manafort believed Poroshenko had damaged.",Manafort,Gates,positive2,neutral1
"The Trump Campaign tried to cast doubt on the October 7 joint DHS/ODNT assessment formally attributing the activity to Russia, and was indifferent to the significance of acquiring, promoting, or disseminating materials from a Russian intelligence services hack-and-leak campaign.",Trump Campaign,DHS/ODNT assessment,negative1,negative1
"Credico also wrote, ""now pretend don't know me,"" to which Stone responded ""U died 5 years ago.""",Stone,Credico,negative1,neutral2
"Sater responded that ""they"" would be sending invitations, which Sater anticipated would arrive after the New Year's holiday.",Sater,Michael Cohen,neutral2,neutral2
That meeting was likely the last of Emin Agalarov's personal meetings with Trump at Trump Tower.,Emin Agalarov,Trump,neutral2,positive2
"In addition to his connection to Klyushin, Rykov maintains contact with a network and pro-Kremlin bloggers. and trolls, many of whom responded to calls by Rykov to participate in U.S. election-related efforts online in 2016.",Rykov,Klyushin,neutral1,neutral1
"Cohen recalled that at the time, Sater gave him the impression that a Russian government person reached out to Sater.",Sater,Cohen,neutral2,neutral1
Manafort sent Barrack a set of notes and talking points outlining Manafort's qualifications and his commentary on the state of the presidential campaign.,Manafort,Barrack,neutral1,neutral2
"Starting in likely late 2004, Konstantin Kilimnik began to work for Manafort in Ukraine and elsewhere on Deripaska-related projects.",Konstantin Kilimnik,Manafort,neutral1,neutral1
Let DC Leak Account and WikiLeaks do it together.,DC Leak Account,WikiLeaks,positive2,positive2
"Dmitry Peskov, spokesperson for the Kremlin, responded immediately: ""I completely rule out a possibility that the [Russian] government or the government bodies have been involved in this.""",Dmitry Peskov,Kremlin,neutral2,neutral1
"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.",Michael Cohen,Roman Beniaminov,none,neutral2
Given Kilimnik's work as a Russian intelligence officer; the Committee also sought to understand Kilimnik's engagement with the U.S. Embassy in Kyiv during this time period.,Kilimnik,Russian intelligence office,none,neutral1
"Manafort's work with Deripaska also included a joint business venture known as Pericles Emerging Market Partners L.P., a private equity fund designed to be focused on foreign investment in eastern Europe, particularly Ukraine, Russia, and Montenegro.",Manafort,Deripaska,positive1,neutral2
"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.",Keith Schiller,Aras Agalarov,neutral1,neutral2
"Julian Assange's statements echoed his March 2016 opposition in the private Twitter chat that ""HC [Hillary Clinton] in whitehouse with her bloodlutt arid ambitions of empire with hawkish liberal-interventionist appointees.""",Julian Assange,Clinton,negative1,negative1
"On July 13, 2017, @USA_ Gunslinger, a long-running false persona account of the Internet Research Agency (IRA), tweeted about ""Clinton and Clinton Campaign team's collusion with Ukraine Government to interfere in. the US election.""",Ukraine Government,US election,negative1,negative1
"Sater recalled that a contact in Moscow, whom he identified only as ""Danny,"" ""indicated that he [Danny] spoke to people at VTB and that they would be on board.""",Sater,Danny,neutral1,neutral2
"During that meeting, the White House chief of staff, John Kelly, told Ms Pirro she was inflaming an already vexed president, the people said.",John Kelly,Ms Pirro,negative1,neutral2
"On the afternoon of October 6, Stone received a call from Keith Schiller's number.",Stone,Keith Schiller,neutral1,neutral2
"As noted, at Trump's suggestion, on November 19, 2013, Donald Trump Jr. reached out to Emin Agalarov regarding a possible joint development project in Moscow.",Donald Trump Jr.,Emin Agalarov,positive1,positive1
"The kicker was the suggestion that McMaster was giving inside dope to Petraeus, a pariah because of his guilty plea regarding his mishandling of classified information.",McMaster,Petraeus,negative1,neutral2
"Manafort’s work for Deripaska went beyond Ukraine and extended to matters of interest to Deripaska ""worldwide.""",Manafort,Deripaska,neutral2,neutral1
"Former White House chief of staff John Kelly, former Defense Secretary Jim Mattis, former Navy Secretary Richard Spencer, former Secretary of State Rex Tillerson and others have all made critical comments regarding Donald Trump’s leadership.",John Kelly,Donald Trump,negative1,negative2
"On July 22, 2015, Goldstone wrote to Graff notifying her that Emin Agalarov would like to invite Trump to Aras Agalarov's birthday party in Moscow on November 8, and hoped that Trump would be willing to write a small message of congratulations to Aras Agalarov in a celebratory book.",Emin Agalarov,Trump,positive1,positive1
"Some of his more vocal supporters stirred his anger, including the Fox News commentator Jeanine Pirro, who has railed repeatedly on her weekly show that Donald Trump is being ill served by the Justice Department.",Jeanine Pirro,Donald Trump,positive1,positive1
Kilimnik used his work with Patten to test the viability of a Yanukovych return.,Kilimnik,Yanukovych,neutral1,positive1
"Mr. Akhmetshin, Ms. Veselnitskaya, and myself sat to the left side, facing-with our backs to the wall, facing 57th Street and the other side of the table. Mr. Donald Trump Junior and Mr. Manafort were at the head of the table.",Akhmetshin,Veselnitskaya,neutral2,neutral2
"During the meal, Goldstone recalled being approached by Schiller, who asked Goldstone if the Agalarov group had plans after the meal.",Schiller,Goldstone,neutral1,neutral1
The text messages between Veselnitskaya and Kaveladze do not offer additional information regarding the nature of Balber's work or his interactions with Veselnitskaya.,Veselnitskaya,Kaveladze,neutral2,neutral2
"As described below, the GRU used both DCLeaks and Guccifer 2.0 personas to communicate with WikiLeaks, using private Twitter direct messaging, as well as encrypted channels, possibly including the email of encrypted files and WikiLeaks's private communication system.",GRU,DCLeaks,neutral1,neutral1
"On December 4, Trump Jr. wrote to Emin Agalarov, ""I am back and ready to go.""",Trump Jr.,Emin Agalarov,positive1,neutral1
"Shortly after Graff's email, Scavino replied to Goldstone, copying Graff and Trump Jr. He wrote:",Scavino,Trump Jr.,neutral1,neutral1
"October 10, 2016: ""This just came out. WikiLeaks, Donald Trump loves WikiLeaks.""",Donald Trump,WikiLeaks,positive1,positive1
"[Handwritten remarks by Don. Jr.]: Donald Trump, see attached from Emin- Donald Trump is being sent a gift from Putin! Don",Putin,Donald Trump,positive1,positive1
"Beginning in mid-March 2016, Unit 26165 had primary responsibility for hacking the DCCC and DNC, as well as email accounts of individuals affiliated with the Clinton Campaign:",Unit 26165,Clinton Campaign,negative1,negative1
Ivanov was determined to stop Peskov playing an independent role in relation to the US going forward and the source fully expected the presidential spokesman now to lay low.,Ivanov,Peskov,negative1,negative2
"Sater recalled: I came to Michael and said: Michael, I have a potential Trump Tower deal in Moscow that we could do; I have a good developer; I want to speak to Mr. T.",Sater,Michael,neutral1,neutral2
The Office was able to identify when the GRU ( operating through its personas Guccifer 2.0 and DCLeaks) transferred some of the stolen documents to WikiLeaks through online archives set up by the GRU.,DCLeaks,GRU,neutral2,neutral2
"Aras Agalarov, a prominent Russian oligarch originally from Azerbaijan, and his son Emin Agalarov, a musician and real estate executive, have since 2013 maintained both a business and personal relationship with Donald Trump.",Aras Agalarov,Donald Trump,positive2,positive2
Aras Agalarov and Vladimir Putin were discussing Donald Trump while this was happening.,Aras Agalarov,Donald Trump,neutral2,positive1
"According to Epshteyn, Eric Trump said that he would ""take a look"" and that the opportunity ""[c]ould be interesting,"" but that his overall reaction was ""extremely tepid.""",Eric Trump,Epshteyn,none,negative1
"If not, at the next possible time that Mr. Trump might be in Russia Vladimir Putin would do everything he could to meet with him.",Vladimir Putin,Trump,positive1,positive1
"Goldstone replied to Graff that he understood Trump's scheduling constraints regarding traveling to Moscow, ""unless maybe he [Trump] would welcome a meeting with President Putin which Emin would set up,"" and offered to come to the office to pick up the congratulatory note for Aras Agalarov.",Emin,Trump,positive1,positive2
"Nevertheless, Rykov's level of access within the Russian government, his connections to online influence operatives, and his historical involvement in Kremlin influence operations; make him a significant concern.",Rykov,Russian Government,negative1,positive1
"On Thursday, November 7, Donald Trump was scheduled to attend Billy Graham's birthday in North Carolina with Melania Trump.",Melania Trump,Billy Graham,positive2,positive2
"According to Barrack, Trump initially was not interested in the idea of hiring Manafort because Trump closely associated Manafort with Roger Stone, whom Barrack described as having a ""love-hate"" relationship with Trump.",Trump,Manafort,negative1,negative1
"I mean, Roger Stone has been in touch indirectly with Julian Assange.",Roger Stone,Assange,neutral1,neutral2
Sam Clovis has already had lengthy discussions with Walid [Ph]ares and George Papadopoulos.,Sam Clovis,George Papadopoulos,neutral2,neutral2
"Kilimnik was trained in languages at the Russian Military Institute of the Ministry of Defense (VKIMO), an institute that Kilimnik himself admitted to colleagues was used by both the GRU and KGB.",Kilimnik,VKIMO,neutral1,neutral2
