sentence,head,tail,relation_predicted,relation_true
"Donald Trump’s distaste and rancor for McMaster grew on pace with the approaching need to finally make a decision on Afghanistan, a decision he continued to put off. His position on Afghanistan—a military quagmire he knew little about, other than that it was a quagmire—had always been a derisive and caustic kiss-off of the sixteen-year war.",Donald Trump,McMaster,negative1,negative1
Manafort communicated electronically with Kilimnik and met Kilimnik in person twice while serving on the Trump Campaign.,Manafort,Kilimnik,positive1,neutral2
"Although the 2016 hack-and-leak campaign was by far Russia's most significant election interference operation targeting the United States, the GRU's effort was, in hindsight, a surprise but not an anomaly.",Russia,US,negative1,negative1
"Samochomov said that he has met Akhmetshin five or six times since the June 9, 2016, meeting.",Samochomov,Akhmetshin,neutral1,neutral2
"“There are a lot of questions on the part of the people who took the President home after the dance,” explains Republican Party Senator Pat Roberts of Kansas.",Pat Roberts,Senate,neutral1,neutral2
"Later that day Agalarov wrote to Donald Trump Jr, and others, with Ivanka Trump copied, to thank them for supporting him.",Agalarov,Donald Trump Jr,positive1,positive2
"According to Barrack, Stone was also in touch with Trump directly to recommend that Trump hire Manafort.",Stone,Manafort,positive1,positive1
"Bannon recalled that, prior to joining the Campaign, ""Stone told him that he had a connection to Assange"" and ""implied that he had inside information about WikiLeaks.""",Stone,Bannon,positive1,neutral2
Barrack responded that he was continuing to get pushback.,Barrack,Paul Manafort,neutral1,neutral2
"In addition, the GRU had very likely used direct messaging between the Guccifer 2.0 and DCLeaks personas to mask the hand of the Russian government.",GRU,Guccifer 2.0,positive1,neutral1
"Deripaska hired Manafort, whose company began working in Montenegro on Deripaska's behalf as early as 2005.",Deripaska,Manafort,positive1,neutral1
"The FBI made some relevant records available to the Committee, including: notes from its interviews with Papadopoulos, as well as a detailed timeline of Papadopoulos's activities from March 2016 through August 2017.",FBI,Papadopoulos,neutral1,neutral2
Tarazov and Standik were later declared persona non grata in 2018 by the United States.,United State,Tarazov,negative1,negative1
"One narrative from Assange involved a conspiracy theory that Seth Rich, a DNC staffer killed in a botched robbery, was the source of the DNC ·email leak and had been murdered in response.",Seth Rich,DNC,negative1,neutral1
Bannon and Donald Trump enjoyed trash-talking McMaster together.,Donald Trump,McMaster,negative2,negative1
Kilimnik explained to Patten that he was interested in using Manafort as a means to influence both the Trump Administration and the Russian government to effect a certain political outcome.,Kilimnik,the Trump Administration,positive1,neutral1
"Shmykov told Sater that the letter was a ""placeholder.""",Shmykov,Sater,neutral1,neutral2
"Kilimnik was frustrated by this meeting, stating that he met ""Finer or whatever the fuck is his. name. In total space.""",Kilimnik,Finer,negative1,neutral2
"For years, Kilimnik was defensive about Russian interference in Ukraine with U.S. Embassy in Kyiv officials; he would admit some Russian interference by well-known Russian agents like Medvedchuk, but attempt to distance himself and the OB from Russia.",Russia,Ukraine,negative1,negative1
"Manafort discussed the Fabrizio internal Trump polling data with Kilimnik, and explained that Fabrizio 's polling numbers showed that the Clinton negatives, referred to as a 'term poll, ' were high.",Manafort,Kilimnik,positive1,neutral2
"On December 6, 2013, Emin Agalarov sent the signed agreement to Trump Jr. and introduced him, by email, to Irakli Kaveladze, who Agalarov said had worked on the Miss Universe pageant, had met Trump, and would be working on the Trump Tower deal for Crocus.",Irakli Kaveladze,Emin Agalarov,positive1,neutral1
"It is a pity that Vladimir Putin and Donald Trump were not able to have their meeting, but Vladimir Putin hopes they will be able to talk during one of Donald Trump's upcoming visits to Russia.",Vladimir Putin,Donald Trump,positive1,positive1
Their names are Alex Sapir and Rotem Rosen.,Rotem Rosen,Donald Trump,neutral1,positive2
"S/he said Dimitry Medvedev and his colleagues wanted to have good relations with the US, regardless of who was in power there, and not least so as to be able to travel there in future, either officially or privately.",Dimitry Medvedev,US,positive1,positive1
"The Committee found that Manafort's presence on the Campaign and proximity to Trump created opportunities for the Russian intelligence services to exert influence over, and acquire confidential information on, the Trump Campaign.",Manafort,Trump,positive1,positive2
"Following Le Pen's 2017 defeat in the French presidential election, Rykov told a journalist that he was disappointed that his support for Le Pen ""did not work out the same way that it did with the US President.""",Rykov,Le Pen,neutral1,positive1
"By early to mid-2016, IRA operations included supporting the Trump Campaign and disparaging candidate Hillary Clinton.",IRA,Hillary Clinton,negative2,negative1
"Azarov's press spokesperson both during his time serving as Prime Minister in Ukraine and when he announced his government-in-exile from Moscow, was Serhiy Zavorotnyy, an SVR officer involved in influence operations.",Serhiy Zavorotnyy,Azarov,positive1,neutral1
"On November 10, Emin responded to an email from the architect William McGee, informing McGee that, ""We may do a tower with him [Trump] now.""",Emin,Trump,positive1,positive2
"On January 26, 2016, Sater asked Cohen if he would speak directly on the phone ""with the guy coordinating to arrange all the calls so you can speak first person to everyone.""",Sater,Cohen,positive1,neutral2
"On January 21, 2016, the day after the phone call with Peskov's assistant Poliakova, Sater contacted Cohen via telephone call and text message.",Poliakova,Peskov,positive1,neutral1
Both Agalarov and Veselnitskaya are connected to Petr Katsyv.,Agalarov,Petr Katsyv,positive1,positive2
"Cohen, through Sater, began negotiations with a Russia-based developer, Andrey Rozov and Rozov's company, LC. Expert.",Sater,Cohen,positive1,neutral1
"As noted, at Trump's suggestion, on November 19, 2013, Donald Trump Jr. reached out to Emin Agalarov regarding a possible joint development project in Moscow.",Donald Trump,Donald Trump Jr.,positive1,neutral2
[From: Donald Trump Jr.] [To: Rob Goldstone],Donald Trump Jr.,Rob Goldstone,neutral1,neutral2
"Similarly, on April 6, 2016, the IRA purchased advertisements for its account ""Black Matters"" calling for a ""flashmob"" of U.S. persons to ""take a photo with #HillaryClintonForPrison2016 or #nohillary2016.""",IRA,Clinton,negative1,negative2
"Emin Agalarov, lrakli Kaveladze, and Jason Tropea all shared the same legal representation, Scott Balber.",Scott Balber,Emin Agalarov,neutral1,neutral1
"Mr.. Trump was there, Paula; Rob Goldstone ,Aras,Emin.",Trump,Rob Goldstone,neutral1,neutral2
"In statements to the media in August 2018, Rybka suggested she sent copies of her recordings to Deripaska, and expressed her hope that he would help secure her release from prison.",Rybka,Deripaska,positive1,positive1
"Open source information also suggests that, in 2004, Kilimnik began working in Ukraine for Deripaska in support of Yanukovych' s election.",Kilimnik,Yanukovych,neutral1,positive1
"Cohen quickly responded to Klokov's email, copying Ivanka Trump.",Cohen,Klokov,neutral1,neutral2
"Papadopoulos is listed in the attachment as ""Oil and Energy Consultant; Hudson Institute; Expert on Mediterranean, Caspian, and Middle Eastern energy and Israel; degrees from University College London, DePaul University and Universite Catholique de Louvain.""",Papadopoulos,University College London,neutral1,positive2
"Barrack sent the same email and attachments to Ivanka Trump and Jared Kushner, stating ""I think it is really, really important and Manafort is a genius killer but the opposite of Stone.""",Barrack,Manafort,positive1,positive1
Manafort provided a draft questionnaire to Fabrizio and Fabrizio's company.,Manafort,Fabrizio's company,neutral1,neutral2
"Continuing on this theme the source close to Ivanov reported that Peskov now was ""scared shitless"" that he would be scapegoated by Putin and the Kremlin and held responsible for the backlash against Russian political interference in the US election.",Peskov,Putin,negative1,negative1
"Veselnitskaya, Samochornov, Akhmetshin, and Kaveladze went briefly to a bar in Trump Tower for a drink.",Veselnitskaya,Kaveladze,neutral1,positive1
Patten also believed that Kilimnik was attempting to distance himself from Manafort in furtherance of Kilimnik's own ongoing work in Ukraine.,Kilimnik,Manafort,neutral1,negative1
"And she said-and Natalia asked me if I could hand her the phone, and so I handed her the phone, and she thanked Agalarov.",Natalia,Agalarov,positive1,positive1
The Committee assesses that Boyarkin handled other influence operations ' funded and cordinated with Deripaska-with the approval and direction of the Kremlin.,Kremlin,Boyarkin,positive1,positive1
Kilimnik was directed to present the proposal and Manafort's response in person.,Manafort,Kilimnik,neutral1,neutral2
"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.",Keith Schiller,Olivia Culpo,neutral1,neutral2
"Bannon and Conway, campaign holdovers, often goad Trump to return to what Trump likes best, the sneering and jeering that draws cheers from Trump supporters.",Conway,Trump,positive1,positive1
"This was confirmed by Source D, a close associate of Trump who had organized and managed his recent trips to Moscow who reported, also in June 2016, that this Russian intelligence had been �very helpful�.",Source D,Trump,positive1,positive2
"3 Days later, on June 14, DCLeaks reached out to WikiLeaks on Twitter direct message: You announced your organization was preparing to publish more Hillary's emails.",DCLeaks,Wikileaks,neutral1,neutral2
"Cohen later told the Committee that Ryan claimed that the communication was privileged at the request of Abbe Lowell, who at the time served as attorney to Ivanka Trump and Jared Kushner.",Abbe Lowell,Ivanka Trump,neutral1,neutral1
"Five days later, on June 13, it was Jeff Sessions’s turn to testify before the Senate Intelligence Committee.",Jeff Session,Senate Intelligence Committee,neutral1,neutral2
"Within hours, Ruddy received calls from both Priebus and Kushner, urging him to keep an open mind and give the Trump team the benefit of the doubt.",Priebus,Ruddy,positive1,neutral2
"That same day, October 7, the Department of Homeland Security and the Office of the Director of National Intelligence issued a joint public statement ""that the Russian Government directed the recent compromises of e-mails from US persons and institutions, including from US political organizations.""",Office of the Director of National Intelligence,Russian government,negative1,negative1
"Kilimnik responded that he was ""carefully optimistic on the question of our biggest interest"" and expected that ""we"" will get back to the ""original relationship"" with Deripaska.",Kilimnik,Deripaska,positive1,positive1
"Throughout 2016, IRA accounts published an increasing number of materials supporting the Trump Campaign and opposing the Clinton Campaign.",IRA,Trump Campaign,positive1,positive2
"Corsi further recalled that on August 15, after he returned from Italy, he conveyed this information to Stone by phone.",Corsi,Stone,neutral1,neutral2
"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.",Roman Beniaminov,Murad,neutral1,neutral2
"Sometime after the September 15, 2015 Hannity radio interview, Cohen initiated a second call with the representative of the Russian government.",Cohen,Hannity,neutral1,positive1
"In the morning of Monday, May 8, 2017, the President met in the Oval Office with senior advisors, including McGahn, Priebus, and Miller, and informed them he had decided to terminate Comey.",Miller,Priebus,neutral1,neutral2
"Shugart said that while she had asked Trump to write letters to heads of state on behalf of Miss Universe, ""an invitation like this had never happened before"" and that this was not typical of other foreign pageants they had done elsewhere.",Shugart,Trump,neutral1,neutral1
"The following day, May 5, 2016, Sater again messaged Cohen.",Sater,Cohen,neutral1,neutral2
"Moreover, because Clinton's negatives were so low that Paul Manafort could focus on her negatives they could win the election.",Paul Manafort,Clinton,negative1,negative1
"Days after the June 9 meeting, on June 14, 2016, a cybersecurity firm and the DNC announced that Russian government hackers had infiltrated the DNC and obtained access to opposition research on candidate Trump, among other documents.",Russian government hackers,DNC,negative1,negative1
At the lunch Anatoli Samochornov and Natalia Veselnitskaya were joined by Irakli Kaveladze and possibly Akhmetshin.,Anatoli Samochornov,Natalia Veselnitskaya,neutral1,neutral2
"On March 24, 2016, Papadopoulos met with Mifsud and Olga Polonskaya, a Russian-national, at the Holborn Hotel.",Mifsud,Olga Polonskaya,neutral1,neutral2
"Kilimnik offered Patten an ""explanation,"" suggesting to Patten a fabrication he could offer to the grand jury: How about they sent it to us for a poll they wanted to do, and because they (as they typically do) canceled the poll you decided to use it for inauguration tickets.",Kilimnik,Patten,neutral1,positive1
Donald Trump'll get along with Vladimir Putin.,Donald Trump,Vladimir Putin,positive1,positive1
"On November 5, 2016, Manafort sent a document entitled ""Securing the Victory"" to at least Trump, Kushner, and Reince Priebus.",Manafort,Kushner,neutral1,neutral2
"On November 13, 2016, Mermoud forwarded to Gates a message which Mermoud had received from Chaly, stating: ""Got it. We are in contact with ·his executive assistant Ms. Rhona Graf. Still waiting for confirmation of slot for a phone call by my President on Tuesday.""",Chaly,Ms. Rhona Graf,neutral1,neutral2
Felix Sater wouldsay that 's a great lifetime goal for Felix Sater and Michael Cohen to go after.,Felix Sater,Michael Cohen,positive1,positive2
"And she talked about the research that she had uncovered as part of her research in Mr. Browder, and her allegation was that the Ziff brothers, who are U.S. investors who I believe now are UK investors, that they were Mr. Browder's investors and that they laundered money and did not pay taxes in Russia and the United States.",Ziff brothers,Browder,negative1,positive1
"In the morning of Monday, May 8, 2017, the President met in the Oval Office with senior advisors, including McGahn, Priebus, and Miller, and informed them he had decided to terminate Comey.",McGahn,Priebus,neutral1,neutral2
"Newsom also exacted a promise from Tesla CEO Elon Musk to procure 1,000 ventilators , and tapped Apple's Tim Cook to donate 1 million masks.",Newsom,Tim Cook,positive1,positive2
"At 4:38 p.m., Trump Jr. emailed Goldstone, stating only ""Rob thanks for the help.""",Trump Jr.,Goldstone,positive1,neutral2
"Throughout 2016, IRA accounts published an increasing number of materials supporting the Trump Campaign and opposing the Clinton Campaign.",IRA,Clinton Campaign,negative1,negative2
"After receiving Trump's approval to proceed, Cohen, Sater, and Rozov moved quickly to agree to basic deal parameters.",Cohen,Sater,positive1,positive2
"Several days later, Sater sent a text to Cohen describing an additional conversation ""with Moscow"": I had a chat with Moscow.",Sater,Cohen,neutral1,neutral2
"Later on October 7 Goldstone wrote to Graff, ""The package was delivered very late, so as promised here is the scan and Roman will deliver the original along with the book from Aras to Mr. Trump on Monday.""",Goldstone,Graff,neutral1,neutral2
"The Committee found that Kosachev is significantly involved in Russian influence activities, including those targeting the United States.",Kosachev,Russian,positive1,positive1
"The document listed multiple individuals affiliated with the Trump Campaign, including Flynn, Clovis, Bannon, and Kellyanne Conway",Trump Campaign,Bannon,neutral1,neutral2
"Despite the Campaign being very busy, and Trump Jr. being unsure of the information, Trump Jr. testified that he thought it was worth it to include Kushner and Manafort in the meeting to hear the Russian lawyer out.",Kushner,Manafort,neutral2,neutral2
"At their direction, Stone took action to gain inside knowledge for the Campaign and shared his purported knowledge directly with Trump and senior Campaign officials on multiple occasions.",Stone,Trump,positive1,positive1
"Natalia Veselnitskaya told to Aras that; Natalia Veselnitskaya reported about this case and about this story; Natalia Veselnitskaya reported personally to the prosecutor general of the Russian Federation, that he received me.",Natalia Veselnitskaya,prosecutor general of the Russian Federation,neutral1,neutral1
From: Rob Goldstone,Rob Goldstone,Rhona Graff,none,neutral2
Lindsay Santoro then added Goldstone to a VIP list as a guest.,Lindsay Santoro,Goldstone,positive1,neutral1
"Spicer, ever ridiculed in the media for his cockamamie defense of the White House and a seeming dumb loyalty, had been judged by the president, quite from the inauguration, to be not loyal enough and not nearly as aggressive as he should be in Trump’s defense.",Trump,Spicer,negative1,negative1
"In the spring of 2014, during Russia's invasion of Crimea, Kilimnik contacted Jonathan Hawker, a British national who was a public relations consultant at FTI Consulting and worked with Manafort on Yanukovych-related work.",Russia,Crimea,negative1,negative1
"On September 14, 2016, Mermoud reached out to Gates, who at the time was still serving on the Trump Campaign, with ""something of extreme interest.""",Mermoud,Gates,neutral1,positive1
"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.",Michael Cohen,Timur Beniaminov,none,neutral2
"Ivanka told her father that Christie’s appointment as chief of staff or to any other high position would be extremely difficult for her and her family, and it would be best that Christie be removed from the Trump orbit altogether.",Ivanka,Trump,neutral1,neutral2
Michael lets go.,Felix Sater,Michael,none,positive1
"Goldstone spoke with Emin Agalarov, Kaveladze, Trump Organization counsel Alan Garten, and counsel for Trump Jr. Alan Futerfas regarding the June 9, 2016 meeting.",Alan Futerfas,Trump Jr.,neutral1,neutral1
"Aleksey Goreslavskiy, a Rykov associate and former colleague, has political oversight of online media in Russia's Presidential Administration.",Aleksey Goreslavskiy,Rykov,neutral1,neutral1
"When asked, Shugart confirmed that Goldstone had specifically mentioned emails.",Goldstone,Shugart,neutral1,neutral2
The Committee was unable to reliably determine why Manafort shared sensitive internal polling data or Campaign strategy with Kilimnik.,Manafort,Kilimnik,neutral1,positive1
"Despite this, Manafort requested that Barrack continue to lobby Trump on his behalf.",Manafort,Barrack,neutral1,neutral2
"As part of this effort, Kilimnik had spoken to Boyko after Boyko had traveled to Moscow and likely met with high-ranking Russian government officials.",Kilimnik,Boyko,neutral1,neutral2
"The doctor recalled sitting at the same table as Trump at the bar mitzvah of Michael’s son, Jake.",Michael,Jake,positive1,positive2
"Bharara, in turn, was abruptly fired by Trump.",Trump,Bharara,negative1,negative1
"For example, in a May email to Fabrizio, Manafort discussed using RNC polling as a baseline, suggesting that Fabrizio should ""piggyback"" off the RNC polling as much as possible.",Manafort,Fabrizio,neutral1,neutral2
"In the email, Manafort inquired if Kilimnik had shown ""our friends"" media coverage related to Manafort.",Manafort,Kilimnik,neutral1,neutral2
"Bannon recalled that, prior to joining the Trump Campaign, ""Stone told him that he had a connection to Assange"" and ""implied that he had inside information about WikiLeaks.""",Bannon,Trump Campaign,neutral1,neutral1
"The emails initially released by DCLeaks on June 8 appeared to originate from personal email accounts of Clinton Campaign employees, advisors, and volunteers, rather than the compromised DNC or DCCC networks.",DCLeaks,Clinton Campaign,negative1,negative1
"Information reviewed by the Committee, detailed below, further suggests the GRU may have transferred the Podesta emails using encrypted email or, alternatively, by human courier.",GRU,WikiLeaks,neutral1,positive1
"In April, John R. Bolton became the White House national security adviser.",John R. Bolton,White House,positive1,neutral1
"Papadopoulos characterized a transition in their relationship, shifting from ""seemingly obscure girl ... to now the interlocutor with Mifsud to the Russian Government for me.""",Olga Polonskaya,Russian government,neutral1,neutral1
These sessions were captured as GRU officers monitored DCCC and DNC employees' work on infected computers regularly between April 2016 and June 2016.,GRU,DCCC,negative1,negative1
"Sater claimed that he had had discussions with ""Evgeny"" to this effect.",Sater,Evgeny,neutral1,neutral2
"According to Patten, Kilimnik has met with Deripaska and Deripaska associates, including Boyarkin.",Kilimnik,Boyarkin,neutral1,neutral2
"On November14, architects from the firm Jacobs /KlingStubbins who were working on behalf of Crocus emailed Trump Jr. and Florence Khoo at the Trump Organization and copied Emin Agalarov, Kaveladze, and others.",Jacobs /KlingStubbins,Florence Khoo,neutral1,neutral1
"Manafort's hiring was not made public until March 29, 2016, when the Trump Campaign issued a press release.",Trump Campaign,Manafort,positive1,positive1
"Several days later, Rozov's ""right hand man"", Dmitry Chizhikov, sent Cohen a letter from Rozov, attaching a presentation describing Rozov's company, IC Expert.",Rozov,IC Expert,positive1,positive1
Emin just called and asked me to contact Donald Trump Jr. with something very interesting.,Emin,Donald Trump Jr.,positive1,positive1
Classmate Brian Levenstein described Cohen’s clique as the “upper echelon of Woodmere.”,Brian Levenstein,Cohen,positive1,neutral1
"Other than Oates's admission that he began using WhatsApp to send polling data to Kilimnik, the Committee has no material information about the content of communications between Manafort or Gates and Kilimnik following the May 7, 2016 meeting until July 7, 2016.",Manafort,Kilimnik,neutral1,neutral2
"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.",Emin Agalarov,Donald Trump,positive1,neutral2
"Kilimnik and Patten drafted a paper outlining the plan, which was to decentralize power, limit Kyiv's role in running the country, engage in direct bilateral talks between Poroshenko and Putin, and focus on local elections.",Patten,Kyiv,neutral1,negative1
"It was another reason for Trump to distrust and hate the FBI, a pernicious tease that left them dangling.",Trump,the FBI,negative1,negative2
"It was another reason for Trump to distrust and hate the FBI, a pernicious tease that left them dangling.",Trump,the FBI,negative1,negative2
"Former acting White House chief of staff Mick Mulvaney on Friday acknowledged that Donald Trump “didn’t hire very well” in the earlier stages of his presidency, specifically noting his poor working relationships with administration officials who had ties to the military",Mick Mulvaney,Trump,negative1,negative1
"The IRA campaign evolved from a generalized program designed in 2014 and 2015 to undermine the U.S. electoral system, to a targeted operation that by early 2016 favored candidate Trump and disparaged candidate Clinton.",IRA,U.S.,negative1,negative1
"Kaveladze's flight to New York arrived around 7:00 a.m. on June 9, and after checking in at his hotel, he waited for the lunch with Veselnitskaya.",Kaveladze,Veselnitskaya,neutral1,positive1
"At 5:26 p.m., Gates and Kilimnik conducted a 13-minute phone call.",Gates,Kilimnik,neutral1,neutral2
"On February 15, 2017, Goldstone emailed Graff requesting that she help Goldstone find a copy of Aras Agalarov's previous correspondence with Trump.",Aras Agalarov,Trump,neutral1,neutral2
[To: Jared Kushner] [To: Paul Manafort] [From: Donald Trump Jr.],Trump Jr.,Jared Kushner,neutral1,neutral2
"A May 2014 Department of State cable noted that the Kremlin had ""unleashed an unprecedented social media propaganda campaign to shore up domestic support for President Vladimir Putin's policy and to support anti-Kyiv protest activity on the streets of southern and eastern Ukraine.""",Russian Government,Ukraine Government,negative1,negative1
"Emin Agalarov met with Trump, Ivanka Trump, and Trump Jr. while he was there.",Emin Agalarov,Ivanka Trump,neutral1,neutral2
"Although most commentators believed that the Kremlin was behind the leaked DNC/CLINTON e-mails, this remained technically deniable. Therefore the Russians would not risk their position for the time being with new leaked material, even to a third party like WikiLeaks.",Kremlin,Clinton,negative1,negative1
"Defendant Papadopoulos was interested in [Mifsud] because, among other reasons, [Mifsud] claimed to have substantial connections with Russian government officials, which defendant Papadopoulos thought could increase his importance as a policy advisor to the Campaign.",Mifsud,Russian government,neutral1,positive1
Nunberg said Trump’s decision to exclude Cohen helped guarantee that he would turn against the president.,Trump,Cohen,negative1,negative1
"White House officials are distancing themselves from a campaign Donald Trump’s former chief strategist, Steve Bannon, has mounted to defend the president from impeachment, after tensions flared again this weekend between Bannon and Jared Kushner.",Steve Bannon,Donald Trump,neutral1,positive2
"In September 2017, Kilimnik shared a letter with Patten that Lyovochkin and his OB associates drafted allegedly on behalf of Oleksandr Lavrynovych.",Lyovochkin,Oleksandr Lavrynovych,neutral1,positive2
"Dear Don, My father just received a letter and gift for Donald Trump Jr.'s Dad from Mr. Putin, I'm sending all this with my mom who is flying early next week and either Rob or Paula will make sure you guys get it shortly, in the meantime here are some pictures.",Paula,Donald Trump Jr.,none,neutral1
"Mr Trump stoked his enmity for Mrs Clinton during the campaign, suggesting during a presidential debate that he would prosecute her if he was elected president.",Trump,Clinton,negative1,negative2
"Speaking to a trusted compatriot in June 2016 sources A and B, a senior Russian Foreign Ministry figure and a former top level Russian intelligence officer still active inside the Kremlin respectively, the Russian authorities had been cultivating and supporting US Republican presidential candidate, Donald TRUMP for at least 5 years",Russian authorities,Donald Trump,positive1,positive2
"Rybka also suggested that she was in possession of more than 16 hours of audio recordings she made of Deripaska's conversations with business associates and Russian political leaders, namely Russian Deputy Prime Minister Sergei Prikhodko.",Deripaska,Sergei Prikhodko,neutral1,neutral2
"Goldstone wrote several emails to Kaveladze, Emin Agalarov, Beniaminov, and three Russian employees of Crocus Group regarding hotel options for the pageant.",Goldstone,Beniaminov,neutral1,neutral2
"On January 6, 2017, members of the intelligence community briefed President-Elect Trump on a joint assessment-drafted and coordinated among the Central Intelligence Agency, FBI, and National Security Agency-that concluded with high confidence that Russia had intervened in the election through a variety of means to assist Trump's candidacy and harm Clinton's.",National Security Agency,President-Elect,neutral1,neutral2
"As a result of this direct outreach to the Russian Presidential Administration and Sater's separate efforts to conduct outreach to individuals in Russia, the Committee found that senior Russian government officials including almost certainly President Vladimir Putin were aware of the deal by January 2016.",Vladimir Putin,Russian Government,positive1,positive1
"Publicly, Assange also argued against Clinton's candidacy based on his perception of her U.S. defense and national security views.",Assange,Clinton,negative1,negative1
"In the request, Cohen asked to speak with Sergei Ivanov, Putin's chief of staff.",Sergei Ivanov,Putin,neutral1,neutral1
"Feinstein, a mentor to Newsom, said. ""And people aren't ready for it.""",Feinstein,Newsom,positive1,positive2
I said: 'Who was at the meeting?,Paula Shugart,Rob Goldstone,none,neutral2
Prigozhin was sanctioned by the U.S. Treasury Department in December 2016,U.S. Treasury Department,Prigozhin,negative1,negative1
[From: Konstantin Sidorkov] [Subject: Donald Trump on VK] [To:Rob Goldstone],Konstantin Sidorkov,Rob Goldstone,neutral1,neutral2
"The GRU also destroyed evidence of its activities by deleting logs and computer files that reflected its presence on the DNC and DCCC network, and the AMS paneI.",GRU,DCCC,negative1,negative1
"On April 22, 2016, Kilimnik told an associate that Manafort had a ""clever plan"" for beating Clinton and expressed confidence that with Manafort' s help, Trump would win.",Kilimnik,Manafort,positive1,positive1
