sentence,head,tail,relation_predicted_head_tail,relation_true_head_tail,correct_head_tail,relation_predicted_tail_head,relation_true_tail_head,correct_tail_head
"Then as officials quickly tried to correct that statement, Priebus received notice on his phone that a release had misspelled the name of Colombia, a South American ally whom Trump had called earlier in the evening.",Trump,Colombia,neutral,positive,False,neutral,positive,False
"The Cayman Islands court petition named Gates, Manafort, Kilimnik, and several others as key individuals involved in Pericles and claimed that Manafort and Gates had ""simply disappeared.""",Manafort,Pericles,neutral,neutral,True,neutral,neutral,True
"Kilimnik told Patten that at the New York cigar bar meeting, Manafort stated that they have a plan to beat Hillary Clinton which included Manafort bringing discipline and an organized strategy to the campaign.",Kilimnik,Patten,neutral,neutral,True,neutral,neutral,True
"Trump Jr. admitted that this may have been in response to the request from WikiLeaks, but also suggested that it could have been part of a general practice of retweeting the WikiLeaks releases when they came out.",Trump Jr.,WikiLeaks,neutral,positive,False,neutral,positive,False
"The Russian government has pursued a relationship with Julian Assange and WikiLeaks that includes formal partnerships with state-owned media platforms, government assistance for WikiLeaks associates and sources, and information sharing.",Russian Government,WikiLeaks,positive,positive,True,positive,none,False
Klimenko is an adviser to President Putin and pro-Kremlin social media expert.,Klimenko,Putin,positive,neutral,False,positive,none,False
Gates said that this was a copy and paste from summary sheets provided by Trump Campaign pollster and longtime Manafort associate Anthony Fabrizio.,Anthony Fabrizio,Manafort,neutral,positive,False,neutral,none,False
"The document listed multiple individuals affiliated with the Trump Campaign, including Flynn, Clovis, Bannon, and Kellyanne Conway",Trump Campaign,Flynn,neutral,neutral,True,neutral,neutral,True
Gates stated that Kilimnik was well connected in Russia and Ukraine and could obtain information easily.,Kilimnik,Russia,neutral,positive,False,neutral,positive,False
"And she began the exact same presentation again, as if almost reading off a script ...",Natalia Veselnitskaya,Jared Kushner,neutral,negative,False,neutral,none,False
"On the evening of October 5, Stone and Credico spoke for 12 minutes.",Stone,Credico,neutral,neutral,True,neutral,neutral,True
"Trump has also struggled to square his hiring pledge with the prosecutorial results of former special counsel Robert Mueller’s investigation, which ensnared his former campaign chairman Paul Manafort, former personal attorney and fixer Michael Cohen, longtime informal political adviser Roger Stone and various other close allies.",Trump,Michael Cohen,neutral,negative,False,neutral,negative,False
July 2016 was also the month WikiLeaks first released emails stolen by the GRU from the DNC.,GRU,DNC,negative,negative,True,negative,none,False
"On June 29, 2016, Goldstone emailed Dan Scavino, copying Trump Jr., Graff, and Sidorkov, reiterating his previous offers to create a ""VOTE Trump 2016"" page on the Russian social networking site.",Goldstone,Sidorkov,neutral,neutral,True,neutral,neutral,True
"For example, [redacted] directions to IRA operators [redacted] ""Main idea: Use any opportunity to criticize Hillary Clinton and the rest (except Sanders and Trump - we support them).""",IRA,Hillary Clinton,negative,negative,True,negative,none,False
Corsi also coordinated with Stone on a cover story for Stone's information and deleted communications relating to the issue.,Corsi,Stone,positive,positive,True,positive,positive,True
"On March 4, 2016, Graff responded to Goldstone, writing, ""Please know that the very thoughtful and kind letter from Mr. Agalarov to Mr. Trump was relayed to him earlier this week.""",Agalarov,Trump,positive,positive,True,positive,none,False
"For example, on March 18, 2016, the IRA purchased an advertisement depicting candidate Clinton and a caption that read in part, ""If one day God lets this liar enter the White House as a president - that day would be a real national tragedy.""",IRA,Clinton,negative,negative,True,negative,none,False
"In addition, Trump publicly requested that Russia find and release the ""missing"" emails from Clinton's server, and hours later, GRU hackers attempted new spear phishing attacks against the Clinton Campaign.",Trump,Russia,neutral,neutral,True,positive,none,False
Caputo notified Roger Stone and brokered communication between Stone and Oknyansky. Oknyansky and Stone set up a May 2016 in-person meeting,Stone,Oknyansky,positive,neutral,False,positive,neutral,False
"Separately, an email from Kilimnik suggests that he and Manafort may have also discussed the formation of Russia and Ukraine policy on the Trump Campaign during the August 2, 2016 meeting.",Kilimnik,Manafort,neutral,neutral,True,neutral,neutral,True
"Another one of Rykov's election events was attended by Anton Korobkov- Zemlyanskiy, a pro-Kremlin social media operative and bot developer whose activities have targeted foreign countries including the United States.",Anton Korobkov- Zemlyanskiy,Rykov,neutral,neutral,True,neutral,none,False
