sentence,head,tail,rel_head_tail,rel_tail_head
Trump first named Page as one of a handful of his foreign policy advisers.,Trump,Page,none,none
"Thus, although it is clear that the stolen DNC and Podesta documents were transferred from the GRU to WikiLeaks,",GRU,Podesta,positive,positive
"In addition, Mr Trump has attacked the integrity of Justice Department officials, claiming they are on a ""witch hunt"" to bring him down.",Trump,Justice Department,negative,negative
"In November 2016, Patten and Kilimnik arranged for a polling company to test the viability of a new political party which would include Khitschko, Lutsenko, and two other Ukrainian political figures.",Patten,Lutsenko,neutral,neutral
"By early to mid-2016, IRA operations included supporting the Trump Campaign and disparaging candidate Hillary Clinton.",IRA,Trump Campaign,positive,positive
Kilimnik was interested in these refugees and their possible return to politics in Ukraine.,Kilimnik,Viktor Yanukovych,neutral,neutral
"Beginning on or about March 10, 2016, GRU officers sent hundreds of spearphishing emails to the work and personal email accounts of employees and volunteers of the Clinton Campaign.",GRU,Clinton Campaign,negative,negative
Sergey Aleksashenko is a former deputy chairman of the Russian central bank and a former chairman of Merrill Lynch Russia,Sergey Aleksashenko,Merrill Lynch,none,none
"Gates also sent the press release announcing Manafort's joining the Trump Campaign so it could be translated by Kilimnik, and provided as an attachment to each of the four memoranda.",Gates,Kilimnik,none,none
Ivanov was determined to stop Peskov playing an independent role in relation to the US going forward and the source fully expected the presidential spokesman now to lay low.,Ivanov,Peskov,none,none
"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.",Timur Beniaminov,Roman Beniaminov,none,none
"Kilimnik and Patten drafted a paper outlining the plan, which was to decentralize power, limit Kyiv's role in running the country, engage in direct bilateral talks between Poroshenko and Putin, and focus on local elections.",Poroshenko,Putin,positive,positive
"Other senior Trump Campaign advisors, including Flynn, Kushner, Manafort, Lewandowski, then Senator Jeff Sessions, and Trump Campaign policy advisor Sam Clovis also expressed interest in obtaining the emails.",Jeff Sessions,Trump Campaign,none,none
"The email, however, bears a number of similarities to the July 14, 2016 email in which GRU officers used the Guccifer 2.0 persona to give WikiLeaks access to the archive of DNC files.",Guccifer 2.0,GRU,none,none
"Gates recalled a conversation between Manafort and Stone shortly after the July 22 release that Manafort placed on speaker phone, during which Stone indicated that 'additional information would be coming out down the road.'",Manafort,Stone,none,none
Timofeev is another member of the Valdai Discussion Club with whom Papadopoulos communicated through at least July 2016.,Papadopoulos,Timofeev,none,none
"The GRU also destroyed evidence of its activities by deleting logs and computer files that reflected its presence on the DNC and DCCC network, and the AMS paneI.",GRU,DNC,negative,negative
Shugart told the Committee that she found out that Trump had said to the Agalarovs that he would come a few days earlier to 'facilitate a meeting' with Putin.,Trump,Agalarovs,none,none
"Sam Nunberg, another Trump adviser at the time, was angered to learn from a Republican operative that Cohen had raised the subject with Ed Cox, chairman of New York’s GOP.",Sam Nunberg,Cohen,none,none
"Post-2016 Election. Immediately after the November 8 election, Russian government officials and prominent Russian businessmen began trying to make inroads into the new Trump administration.",Russian government,Trump administration,none,none
"On December 6, 2013, Emin Agalarov sent the signed agreement to Donald Trump Jr. and introduced Donald Trump Jr., by email, to Irakli Kaveladze, who Agalarov said had worked on the Miss Universe pageant, had met Trump, and would be working on the Trump Tower deal for Crocus.",Donald Trump Jr.,Irakli Kaveladze,positive,positive
"The same day as the Family Meeting, Emin Agalarov emailed Goldstone, asking if there was 'any news' related to a possible call with Trump Jr.",Emin Agalarov,Trump Jr.,positive,positive
"The document listed multiple individuals affiliated with the Trump Campaign, including Flynn, Clovis, Bannon, and Kellyanne Conway",Trump Campaign,Kellyanne Conwa,none,none
"The Russian government has pursued a relationship with Julian Assange and WikiLeaks that includes formal partnerships with state-owned media platforms, government assistance for WikiLeaks associates and sources, and information sharing.",Russian Government,WikiLeaks,positive,positive
"""Since Roger Stone was all over national TV, cable and print defending wikileaks and assange against the claim that you are Russian agents and debunking the false charges of sexual assault as trumped up bs you may want to rexamine [sic] the strategy of attacking Roger Stone.""",Roger Stone,Wikileaks,positive,positive
"And Rob Goldstone sat next to Jared Kushner on one side, the Russian grouping sat on the other side, and at the head of the table was Donald Trump Jr. and Paul Manafort....",Donald Trump Jr.,Rob Goldstone,positive,none
"Papadopoulos is listed in the attachment as 'Oil and Energy Consultant; Hudson Institute; Expert on Mediterranean, Caspian, and Middle Eastern energy and Israel; degrees from University College London, DePaul University and Universite Catholique de Louvain.'",Papadopoulos,Universite Catholique de Louvain,none,none
"Manafort also told the SCO that from the time he left the Trump Campaign until the election, he met with Kushner 'once or twice' and spoke to Kushner on the phone 'five or six times.'",Manafort,Trump Campaign,none,none
"Akhmetshin told the Committee that after doing research on Browder related to depositions in the Prevezon case, he had the idea to establish HRAGI and proposed it to Veselnitskaya and her client in Russia, Katsyv.",Akhmetshin,Veselnitskaya,none,none
,,,,
,,,,
,,,,
