sentence,head,tail,relation_predicted_head_tail,relation_predicted_tail_head,relation_true_head_tail,relation_true_tail_head
(Net worth: $16.9 billion.),,,none,none,none,none
"The vice president has carved out a bigger role in recent weeks, giving a controversial speech to U.S. allies in Munich and pushing the Senate GOP to advance Trump’s agenda.",JD Vance,Trump,positive,none,positive,none
"The vice president has carved out a bigger role in recent weeks, giving a controversial speech to U.S. allies in Munich and pushing the Senate GOP to advance Trump’s agenda.",JD Vance,U.S. allies,neutral,none,negative,negative
"The vice president has carved out a bigger role in recent weeks, giving a controversial speech to U.S. allies in Munich and pushing the Senate GOP to advance Trump’s agenda.",JD Vance,Senate GOP,positive,none,neutral,neutral
He also grabbed headlines by taking aim at judges who rule against Trump.,JD Vance,Trump,positive,none,positive,none
He also grabbed headlines by taking aim at judges who rule against Trump.,JD Vance,judges who rule against Trump,negative,none,negative,none
He’s widely seen as Trump’s possible MAGA successor.,JD Vance,Trump,positive,none,positive,positive
(Net worth: Around $10 million.),,,none,none,none,none
"The White House “border czar” is helping to lead Trump and Miller’s sweeping mass deportation program, and he’s a high-profile defender of the administration’s more contentious policies, like the plan to house deportees at Guantanamo Bay.",Tom Homan,Trump,positive,none,positive,none
"The White House “border czar” is helping to lead Trump and Miller’s sweeping mass deportation program, and he’s a high-profile defender of the administration’s more contentious policies, like the plan to house deportees at Guantanamo Bay.",Tom Homan,Miller,positive,none,positive,none
"The White House “border czar” is helping to lead Trump and Miller’s sweeping mass deportation program, and he’s a high-profile defender of the administration’s more contentious policies, like the plan to house deportees at Guantanamo Bay.",Tom Homan,Trump administration,positive,none,positive,positive
"Leads the Office of Management and Budget, a normally low-profile role that’s at the heart of Trump and Musk’s push to reshape—and dramatically slash—the federal bureaucracy, already shuttering some agencies entirely.",Russell Vought,Trump,positive,none,neutral,neutral
"Leads the Office of Management and Budget, a normally low-profile role that’s at the heart of Trump and Musk’s push to reshape—and dramatically slash—the federal bureaucracy, already shuttering some agencies entirely.",Russell Vought,Musk,positive,none,neutral,neutral
"Leads the Office of Management and Budget, a normally low-profile role that’s at the heart of Trump and Musk’s push to reshape—and dramatically slash—the federal bureaucracy, already shuttering some agencies entirely.",Russell Vought,Office of Management and Budget,positive,none,positive,neutral
"He believes Trump should be allowed to cut spending already approved by Congress, which could trigger a massive legal standoff.",Russell Vought,Trump,positive,none,positive,none
"He believes Trump should be allowed to cut spending already approved by Congress, which could trigger a massive legal standoff.",Russell Vought,Congress,neutral,none,negative,none
"He believes Trump should be allowed to cut spending already approved by Congress, which could trigger a massive legal standoff.",Trump,Congress,negative,none,negative,negative
"Trump’s secretary of state is a leading Trump Yes Man in early foreign policy moves: Talks with Russia over the Ukraine war, the proposed Gaza takeover and even a longshot push to buy Greenland.",Marco Rubio,Trump,positive,none,positive,positive/none?
"Trump’s secretary of state is a leading Trump Yes Man in early foreign policy moves: Talks with Russia over the Ukraine war, the proposed Gaza takeover and even a longshot push to buy Greenland.",Marco Rubio,Russia,neutral,none,neutral,neutral
"He’s an Iran and China hawk, though he’s vowed to back “whatever the president’s policies are.”",Marco Rubio,Donald Trump,positive,none,positive,none
"He’s an Iran and China hawk, though he’s vowed to back “whatever the president’s policies are.”",Marco Rubio,Iran,negative,none,negative,none
"He’s an Iran and China hawk, though he’s vowed to back “whatever the president’s policies are.”",Marco Rubio,China,negative,none,negative,none
(Net worth: Over $1 million.),,,none,none,none,none
"Cantor Fitzgerald CEO and a longtime Trump friend, Lutnick was nominated Commerce Secretary, and he’s a regular presence at Mar-A-Lago and at Trump events.",Howard Lutnick,Trump,positive,positive,positive,positive
"Cantor Fitzgerald CEO and a longtime Trump friend, Lutnick was nominated Commerce Secretary, and he’s a regular presence at Mar-A-Lago and at Trump events.",Howard Lutnick,Cantor Fitzgerald,positive,none,positive,neutral
"He wanted Treasury, but Trump reportedly grew tired of his campaigning.",Howard Lutnick,Trump,negative,none,none,negative
(Net worth: Over $1.5 billion.),,,none,none,none,none
"Deemed his father's “loyalty scanner,” he’s the only Trump child regularly in the mix.",Donald Trump Jr.,Trump,positive,positive,positive,positive
"He describes his role as ensuring “bad actors are not getting into the administration,” and championed Vance for V.P.",Donald Trump Jr.,Vance,positive,none,positive,none
"He describes his role as ensuring “bad actors are not getting into the administration,” and championed Vance for V.P.",Donald Trump Jr.,Trump administration,positive,none,neutral,neutral
"He’s not taking a formal role, instead joining prediction site Kalshi and a MAGA-leaning v.c. firm.",Donald Trump Jr.,Kalshi,positive,none,neutral,neutral
"He’s not taking a formal role, instead joining prediction site Kalshi and a MAGA-leaning v.c. firm.",Donald Trump Jr.,MAGA-leaning v.c. firm,positive,none,neutral,neutral
(Net worth: $50 million).,none,none,none,none,none,none
"In one of Trump’s first big victories, his defense secretary—a former Fox News host—was confirmed by the Senate despite a bitter fight over a sexual assault allegation (which he denies) and controversial views.",Pete Hegseth,Trump,positive,none,positive,positive
"In one of Trump’s first big victories, his defense secretary—a former Fox News host—was confirmed by the Senate despite a bitter fight over a sexual assault allegation (which he denies) and controversial views.",Pete Hegseth,Senate,neutral,none,none,positive/neutral?mixed
"In one of Trump’s first big victories, his defense secretary—a former Fox News host—was confirmed by the Senate despite a bitter fight over a sexual assault allegation (which he denies) and controversial views.",Trump,Senate,positive,neutral,neutral,positive
"In one of Trump’s first big victories, his defense secretary—a former Fox News host—was confirmed by the Senate despite a bitter fight over a sexual assault allegation (which he denies) and controversial views.",Pete Hegseth,Fox News,positive,none,neutral,neutral
"The hedge fund exec was easily confirmed as Treasury secretary, but Musk has gained access to the agency’s payment system with little pushback, making Bessent’s power unclear.",Scott Bessent,Musk,neutral,none,neutral/negative,neutral
"Trump’s sweeping tariff plans could also clash with Bessent, who’s called for more gradual tariffs.",Trump,Bessent,negative,none,neutral/negative,neutral/negative
"He won the job after Musk criticized him as a “business-as-usual choice,” but has Wall Street’s approval.",Scott Bessent,Musk,negative,none,none,negative
"He won the job after Musk criticized him as a “business-as-usual choice,” but has Wall Street’s approval.",Scott Bessent,Wall Street,positive,none,none,positive
"She was confirmed for attorney general without much of a fight, and is already spearheading legal battles against Democratic states’ immigration policies.",Pam Bondi,Democratic states,negative,none,negative,neagtive
"A big-time Trump ally and former Florida AG, Bondi represented Trump in his first impeachment, signaling he wants a loyalist to helm the Justice Department.",Bondi,Trump,positive,none,positive,positive
"A big-time Trump ally and former Florida AG, Bondi represented Trump in his first impeachment, signaling he wants a loyalist to helm the Justice Department.",Trump,Justice Department,positive,none,neutral/none,neutral/none
"A big-time Trump ally and former Florida AG, Bondi represented Trump in his first impeachment, signaling he wants a loyalist to helm the Justice Department.",Bondi,Florida AG,positive,positive,neutral,neutral
Trump FBI director—a fierce loyalist—made it through the Senate despite his hardline views and promises to punish Trump’s supposed enemies.,Kash Patel,Trump,positive,none,positive,positive
Trump FBI director—a fierce loyalist—made it through the Senate despite his hardline views and promises to punish Trump’s supposed enemies.,Kash Patel,FBI,positive,none,positive,neutral
Trump FBI director—a fierce loyalist—made it through the Senate despite his hardline views and promises to punish Trump’s supposed enemies.,Kash Patel,Senate,neutral,none,none,positive
Trump FBI director—a fierce loyalist—made it through the Senate despite his hardline views and promises to punish Trump’s supposed enemies.,Kash Patel,Trump’s supposed enemies,negative,none,negative,none
"One of Patel’s first moves was telling FBI staff not to respond to an email from Musk’s team demanding info on what they did over the last week, suggesting he’s intent on running the FBI himself.",Patel,FBI staff,negative,none,neutral,neutral
"One of Patel’s first moves was telling FBI staff not to respond to an email from Musk’s team demanding info on what they did over the last week, suggesting he’s intent on running the FBI himself.",Patel,Musk’s team,negative,none,negative,none
"Trump’s Education secretary nominee, she co-chaired Trump’s transition, and her pro-wrestling DNA (she co-founded the company that became WWE with husband Vince) pairs well with Trump.",Linda McMahon,Trump,positive,none,positive,positive
"Trump’s Education secretary nominee, she co-chaired Trump’s transition, and her pro-wrestling DNA (she co-founded the company that became WWE with husband Vince) pairs well with Trump.",Linda McMahon,Vince,positive,positive,positive,positive
"Trump’s Education secretary nominee, she co-chaired Trump’s transition, and her pro-wrestling DNA (she co-founded the company that became WWE with husband Vince) pairs well with Trump.",Linda McMahon,WWE,positive,none,neutral,none
"Trump’s Education secretary nominee, she co-chaired Trump’s transition, and her pro-wrestling DNA (she co-founded the company that became WWE with husband Vince) pairs well with Trump.",Vince,WWE,positive,none,neutral,none
She runs the MAGA-inspired America First Policy Institute think tank.,Linda McMahon,America First Policy Institute,positive,none,positive,neutral
(Vince McMahon’s net worth: About $3.2 billion.),Vince McMahon,none,none,none,none,none
"Trump’s son-in-law told Forbes he may advise Trump informally, but so far, his influence is not apparent—though some see his hand in Trump’s dream of turning Gaza into the “riviera of the Middle East” (Kushner controversially suggested something like that last year).",Jared Kushner,Trump,positive,none,positive,positive
"Trump’s son-in-law told Forbes he may advise Trump informally, but so far, his influence is not apparent—though some see his hand in Trump’s dream of turning Gaza into the “riviera of the Middle East” (Kushner controversially suggested something like that last year).",Jared Kushner,Forbes,neutral,none,neutral,neutral
He advised Lutnick and may assist more with Middle East diplomacy.,Jared Kushner,Lutnick,positive,none,neutral,neutral
(Net worth: Just under $1 billion.),none,none,none,none,none,none
Trump’s Health and Human Services secretary made it through the Senate despite his history as vaccine skeptic whose views alarm a lot of experts.,Robert F. Kennedy Jr.,Trump,positive,none,neutral,positive
Trump’s Health and Human Services secretary made it through the Senate despite his history as vaccine skeptic whose views alarm a lot of experts.,Robert F. Kennedy Jr.,Senate,neutral,none,none,positive
He’s also had to apologize for comparing Trump fans to Nazis.,Robert F. Kennedy Jr.,Trump fans,negative,none,negative,none
(Net worth: about $15 million.),none,none,none,none,none,none
"The UFC kingpin got a prime seat at Trump’s inauguration, and he’ll serve on Meta’s board, likely making him Trump’s envoy to the social media giant.",Dana White,Trump,positive,none,positive,positie
"The UFC kingpin got a prime seat at Trump’s inauguration, and he’ll serve on Meta’s board, likely making him Trump’s envoy to the social media giant.",Dana White,Meta,neutral,none,neutral,neutral
White and Trump’s decades-long friendship stretches back to when Trump hosted UFC fights at his Atlantic City casino.,White,Trump,positive,positive,positive,positive
"A v.c. giant worth $1.8 billion, he has described himself as an “unpaid volunteer” for DOGE and said he spent about half his time post-Election Day at or near Mar-A-Lago, often helping to screen job candidates.",Marc Andreessen,DOGE,positive,none,positive,neutral
"He’s also become a major media surrogate for Trump, talking to various big news outlets about why so many Silicon Valley Democrats switched sides.",Marc Andreessen,Trump,positive,none,positive,neutral/positive
"He’s also become a major media surrogate for Trump, talking to various big news outlets about why so many Silicon Valley Democrats switched sides.",Marc Andreessen,big news outlets,neutral,none,neutral,none
"He’s also become a major media surrogate for Trump, talking to various big news outlets about why so many Silicon Valley Democrats switched sides.",Marc Andreessen,Silicon Valley Democrats,neutral,none,neutral,none
"He’s also become a major media surrogate for Trump, talking to various big news outlets about why so many Silicon Valley Democrats switched sides.",Trump,Silicon Valley Democrats,negative,none,none,positive
"The Silicon Valley v.c. and friend of Musk’s will serve as Trump's “AI and crypto czar,” after fundraising for Trump in San Francisco, boosting the president-elect on his influential “All In” podcast and spending election night at Mar-A-Lago.",David Sacks,Trump,positive,none,positive,positive
"The Silicon Valley v.c. and friend of Musk’s will serve as Trump's “AI and crypto czar,” after fundraising for Trump in San Francisco, boosting the president-elect on his influential “All In” podcast and spending election night at Mar-A-Lago.",David Sacks,Musk,positive,positive,positive,positive
"A longtime adviser, his stock surely fell after Trump’s attorneys launched an investigation for allegedly seeking payments from jobseekers, like Bessent, which Epshteyn denies.",Boris Epshteyn,Trump’s attorneys,negative,none,negative,negative
"A longtime adviser, his stock surely fell after Trump’s attorneys launched an investigation for allegedly seeking payments from jobseekers, like Bessent, which Epshteyn denies.",Boris Epshteyn,Bessent,positive,none,neutral,negative
But Trump shared an article praising his “loyalty”—suggesting he’s still in the president-elect’s good graces.,Boris Epshteyn,Trump,positive,none,none,positive
(He and Musk are reported rivals.),Boris Epshteyn,Musk,negative,none,negative,negative
"The entrepreneur, once a key Trump surrogate, is leaving DOGE after he clashed with Trump allies on H-1B visas and reportedly had “worn out his welcome” in the inner circle—and lost favor with Musk, who reportedly helped push him out.",Vivek Ramaswamy,Trump,negative,none,negative,negative
"The entrepreneur, once a key Trump surrogate, is leaving DOGE after he clashed with Trump allies on H-1B visas and reportedly had “worn out his welcome” in the inner circle—and lost favor with Musk, who reportedly helped push him out.",Vivek Ramaswamy,Trump allies,negative,negative,negative,negative
"The entrepreneur, once a key Trump surrogate, is leaving DOGE after he clashed with Trump allies on H-1B visas and reportedly had “worn out his welcome” in the inner circle—and lost favor with Musk, who reportedly helped push him out.",Vivek Ramaswamy,DOGE,negative,none,negative,negative?
"The entrepreneur, once a key Trump surrogate, is leaving DOGE after he clashed with Trump allies on H-1B visas and reportedly had “worn out his welcome” in the inner circle—and lost favor with Musk, who reportedly helped push him out.",Vivek Ramaswamy,Musk,negative,positive,negative/none?,negative
He’s expected to run for governor of Ohio next,Vivek Ramaswamy,Ohio,neutral,none,positive,none
"Trump chose the Democrat-turned-Trump backer for director of national intelligence, and she reportedly sat in on transition meetings.",Tulsi Gabbard,Trump,positive,none,positive,positive
"Trump chose the Democrat-turned-Trump backer for director of national intelligence, and she reportedly sat in on transition meetings.",Tulsi Gabbard,national intelligence,neutral,none,neutral,neutral
But she’s controversial for her comments on Russia and Syria.,Tulsi Gabbard,Russia,none,none,neutral?,none
But she’s controversial for her comments on Russia and Syria.,Tulsi Gabbard,Syria,none,none,neutral?,none
"The bombastic podcaster and Turning Point USA founder played a role in Trump’s get-out-the-vote efforts, and he reportedly helped screen Trump administration job candidates for loyalty.",Charlie Kirk,Trump,positive,none,positive,positive
"The bombastic podcaster and Turning Point USA founder played a role in Trump’s get-out-the-vote efforts, and he reportedly helped screen Trump administration job candidates for loyalty.",Charlie Kirk,Turning Point USA,positive,none,positive,neutral/none
"The bombastic podcaster and Turning Point USA founder played a role in Trump’s get-out-the-vote efforts, and he reportedly helped screen Trump administration job candidates for loyalty.",Charlie Kirk,Trump administration,positive,none,positive,neutral
He’s known for his ties to Donald Trump Jr.,Charlie Kirk,Donald Trump Jr.,neutral,neutral,positive,positive
"The GOP megadonor—worth $49.6 billion—could be a key figure in the fight over TikTok, as his trading firm owns a stake in parent company ByteDance.",Jeffrey Yass,ByteDance,positive,none,neutral,neutral
"The GOP megadonor—worth $49.6 billion—could be a key figure in the fight over TikTok, as his trading firm owns a stake in parent company ByteDance.",Jeffrey Yass,GOP,positive,none,positive,positive/neutral
"Trump is now opposed to banning TikTok on national security grounds, a reversal from 2020.",Trump,,none,none,none,none
"The oil tycoon—worth $18.5 billion—reportedly raised money for Trump, and was often spotted at Mar-A-Lago.",Harold Hamm,Trump,positive,none,positive,positive
He’s pushed to undo Biden-era electric car credits.,Harold Hamm,Biden,negative,none,negative,none
"The Blackstone co-founder—worth some $47.7 billion—backed Trump despite earlier reservations, and reportedly advised Lutnick on the transition.",Steve Schwarzman,Trump,positive,none,positive,none
"The Blackstone co-founder—worth some $47.7 billion—backed Trump despite earlier reservations, and reportedly advised Lutnick on the transition.",Steve Schwarzman,Lutnick,positive,none,neutral,neutral
"The Blackstone co-founder—worth some $47.7 billion—backed Trump despite earlier reservations, and reportedly advised Lutnick on the transition.",Steve Schwarzman,Blackstone,positive,none,positive,neutral/none
Trump is reportedly mulling the former Federal Reserve board member for Fed chair after Jerome Powell’s term ends in 2026—though he wasn’t picked for Treasury secretary.,Kevin Warsh,Trump,neutral,none,none,positive/neutral
Trump is reportedly mulling the former Federal Reserve board member for Fed chair after Jerome Powell’s term ends in 2026—though he wasn’t picked for Treasury secretary.,Kevin Warsh,Federal Reserve board,neutral,none,neutral,neutral
Trump is reportedly mulling the former Federal Reserve board member for Fed chair after Jerome Powell’s term ends in 2026—though he wasn’t picked for Treasury secretary.,Trump,Jerome Powell,neutral,neutral,neutral,none
"This banking heir gave some $150 million to help elect Trump, more than anyone else.",Timothy Mellon,Trump,positive,none,positive,none
It’s not clear what role the reclusive former railroad exec could play.,Timothy Mellon,,none,none,none,none
(His family is worth $14.1 billion.),Timothy Mellon,,none,none,none,none
"The widow of Sheldon Adelson—worth $32.2 billion—is among Trump’s biggest donors, getting a good spot at Trump’s inauguration.",Miriam Adelson,Trump,positive,none,positive,positive
"The widow of Sheldon Adelson—worth $32.2 billion—is among Trump’s biggest donors, getting a good spot at Trump’s inauguration.",Miriam Adelson,Sheldon Adelson,positive,positive,positive,positive
"The former Fox News host has linked himself to Trump, speaking at his Madison Square Garden rally and hosting a show from Mar-A-Lago on election night.",Tucker Carlson,Trump,positive,none,positive,neutral
"The former Fox News host has linked himself to Trump, speaking at his Madison Square Garden rally and hosting a show from Mar-A-Lago on election night.",Tucker Carlson,Fox News,positive,none,neutral,neutral
