sentence,head,tail,relation_predicted,relation_true,correct_detailed,relation_true_simplified,relation_predicted_simplified,correct_simplified
"However, Stone's phone records show that Keith Schiller placed a five-minute call to Stone on the afternoon of July 17, 2016.",Keith Schiller,Stone,neutral1,neutral2,False,neutral,neutral,True
"On October 30, 2013, Roman Beniaminov and Goldstone, who both work for Emin Agalarov, exchanged an email titled ""To do.""",Goldstone,Emin Agalarov,positive1,neutral1,False,neutral,positive,False
"The day of the inauguration, Patten, Lyovochkin, and Kilimnik had lunch in Alexandria, Virginia.627 Kilimnik told Patten that he was nervous that he would see Manafort because Kilimnik knew that Manafort resided in Alexandria.",Patten,Lyovochkin,neutral2,positive2,False,positive,neutral,False
"When asked about Trump's dismissal of his projected ventilator needs later Friday, Cuomo told CNN's Erin Burnett, ""I hope he's right.""",Trump,Cuomo,negative1,negative1,True,negative,negative,True
"In the morning of Monday, May 8, 2017, the President met in the Oval Office with senior advisors, including McGahn, Priebus, and Miller, and informed them he had decided to terminate Comey.",McGahn,Priebus,neutral2,neutral2,True,neutral,neutral,True
"On Sunday, October 27, Svetlana Bignova, Grachev's deputy, sent an email to Goldstone, Emin Agalarov, Kaveladze, Grachev, and Beniaminov.",Svetlana Bignova,Beniaminov,neutral1,neutral2,False,neutral,neutral,True
Sater explained that he pursued a large number of international deals which he pitched to Trump and the Trump Organization.,Sater,the Trump Organization,positive1,neutral1,False,neutral,positive,False
"In early 2018, Manafort asked Laurance Gay, a friend of Manafort and Gates, to dissuade Gates from accepting a plea agreement.",Gates,Laurance Gay,none,positive2,False,positive,none,False
Trump first named Page as one of a handful of his foreign policy advisers.,Trump,Page,positive1,positive2,False,positive,positive,True
"Thus, although it is clear that the stolen DNC and Podesta documents were transferred from the GRU to WikiLeaks,",GRU,Podesta,negative1,negative1,True,negative,negative,True
"In addition, Mr Trump has attacked the integrity of Justice Department officials, claiming they are on a “witch hunt” to bring him down.",Trump,Justice Department,negative1,negative1,True,negative,negative,True
"In November 2016, Patten and Kilimnik arranged for a polling company to test the viability ofa new political party which would include KHtschko, Lutsenko, and two other Ukrainian political figures.",Patten,Lutsenko,positive1,neutral2,False,neutral,positive,False
"By early to mid-2016, IRA operations included supporting the Trump Campaign and disparaging candidate Hillary Clinton.",IRA,Trump Campaign,positive1,positive1,True,positive,positive,True
Kilimnik was interested in these refugees and their possible return to politics in Ukraine.,Kilimnik,Viktor Yanukovych,none,positive1,False,positive,none,False
"Beginning on or about March 10, 2016, GRU officers sent hundreds of spearphishing emails to the work and personal email accounts of employees and volunteers of the Clinton Campaign.",GRU,Clinton Campaign,negative1,negative1,True,negative,negative,True
It’s part of the reason Levine felt good about voting for Trump in 2016.,Levine,Trump,positive1,positive1,True,positive,positive,True
"John O. Brennan, the former C.I.A. director, testified in front of Congress",John O. Brennan,C.I.A.,positive1,neutral1,False,neutral,positive,False
"Shugart identified Crocus City Hall as a potential location, and was impressed to learn that Emin Agalarov's father owned the venue.",Shugart,Emin Agalarov,positive1,positive1,True,positive,positive,True
"Given these facts, it appears quite likely that Stone and Trump spoke about WikiLeaks.",Stone,Trump,neutral2,neutral2,True,neutral,neutral,True
"“I think that’s the lesson of the first hundred days that some people around here have learned,” said Bannon, ignoring Kushner.",Bannon,Kushner,negative1,negative1,True,negative,negative,True
"On the same day, the DCLeaks Twitter account sent a string of characters to the WikiLeaks account that was potentially a password to access a file archive it had made available.",DCLeaks,Wikileaks,positive1,positive1,True,positive,positive,True
"On September 14, 2016, Mermoud reached out to Gates, who at the time was still serving on the Trump Campaign, with ""something of extreme interest.""",Mermoud,Gates,neutral1,positive1,False,positive,neutral,False
"Two military units of the GRU carried out the computer intrusions into the Clinton Campaign, DNC, and DCCC: Military Units 26165 and 74455.",GRU,DNC,negative1,negative1,True,negative,negative,True
Papadopoulos remembered telling Clovis he did not have any Russian contacts during that call.,Papadopoulos,Clovis,neutral1,neutral2,False,neutral,neutral,True
Cohen claimed that he did not believe that either offer was in any way connected to his outreach to the Kremlin earlier in the month.,Cohen,Kremlin,neutral1,positive1,False,positive,neutral,False
"In addition to its work on the Magnitsky Act and adoptions, Veselnitskaya's Human Rights Accountability Global Initiative Foundation was intended to have a broader mission to conduct cultural exchanges to improve Russian Government's image in the United States.",Human Rights Accountability Global Initiative Foundation,Russian Government,positive1,positive2,False,positive,positive,True
"During the 2013 trip to Moscow for the Miss Universe Pageant, two Agalarov employees, Artem Klyushin and his then-wife Yulya Klyushina, spent time with Donald Trump.",Artem Klyushin,Trump,neutral2,neutral1,False,neutral,neutral,True
"Sater told the Committee in his interview prior to the release of the SCO Report that his references to Evgeny were, to his recollection, Evgeny Shmykov.",Sater,Evgeny Shmykov,neutral1,neutral2,False,neutral,neutral,True
"The four-page letter went on to critique Comey's judgment and conduct, including his May 3 testimony before the Senate Judiciary Committee, his handling of the Clinton email investigation, and his failure to hold leakers accountable.",Donald Trump,Comey,negative1,negative1,True,negative,negative,True
"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.",Olivia Culpo,Donald Trump,neutral2,neutral2,True,neutral,neutral,True
"For example, Patten was offered a project working for Deripaska in Montenegro.",Patten,Deripaska,positive1,neutral1,False,neutral,positive,False
"Millian is a Belarusian-born American citizen, and as of 2018 was the president of the Russian- American Chamber of Commerce and a real estate broker in New York City.",Millian,Russian- American Chamber of Commerce,positive1,neutral1,False,neutral,positive,False
This call matches the conversation between Stone and Trump that Gates remembered.,Stone,Trump,neutral2,neutral2,True,neutral,neutral,True
"On November 5, 2016, Konstantin Sidorkov from VK again reached out to the Trump Campaign, replying to Goldstone's email to Scavino from June 29.",Konstantin Sidorkov,VK,neutral1,neutral1,True,neutral,neutral,True
"Patten told the FBI that he recalled having a Skype call with Boyarkin and Kilimnik on May 24, 2015, about the Guinea project.",Patten,Boyarkin,neutral2,neutral2,True,neutral,neutral,True
"Through Manafort, Kilimnik provided Fabrizio and Fabrizio's firm feedback on the questionnaire.",Kilimnik,Fabrizio's firm,positive1,positive1,True,positive,positive,True
"According to Department of the Treasury information, Arkady and Boris Rotenberg's personal wealth increased by billions of dollars after Putin awarded them large contracts related to Gazprom and the Sochi Winter Olympics.",Putin,Gazprom,positive1,positive1,True,positive,positive,True
"For example, after the June 12 announcement by Assange, Gates described learning from Manafort that the RNC was ""energized"" by the potential of a WikiLeaks release.",Gates,Manafort,neutral1,neutral2,False,neutral,neutral,True
"According to Konstantin, they [Konstantin and Manafort] were having breakfast with the president, President Yanukovych",Konstantin,Manafort,neutral2,positive2,False,positive,neutral,False
Press reports further suggests that the relationship between the two men helped Deripaska secure the financing needed to cement his control of UC RUSAL in the early- to mid-2000s.,Deripaska,UC RUSAL,positive1,positive1,True,positive,positive,True
"However, Manafort's relationships with PoR figures, most notably Rinat Akhmetov, Serhiy Lyovochkin, and Viktor Yanukovych, increased over time and became independent of Deripaska's involvement.",Manafort,Rinat Akhmetov,positive2,neutral2,False,neutral,positive,False
"Mr. Trump would like to send Aras Agalarov a message.""",Trump,Aras Agalarov,neutral1,neutral2,False,neutral,neutral,True
"Rohrabacher promised to ""go back to the White House and see if we can arrange something where you won't be arrested.""",Rohrabacher,the White House,positive1,neutral2,False,neutral,positive,False
"Goldstone's email included the text of a forwarded email from Konstantin Sidorkov, a ""Partner Relations Manager"" at VK:",Goldstone,Konstantin Sidorkov,neutral1,neutral2,False,neutral,neutral,True
"Several days later, Mermoud informed Gates that he would be meeting with Chaly on a separate subject soon and asked if he had ""any guidance"" from Manafort.",Mermoud,Manafort,neutral1,positive1,False,positive,neutral,False
"If not Barrack or Kushner, then, Trump thought the job should probably go to New Jersey governor Chris Christie, who, with Rudy Giuliani, comprised the sum total of his circle of friends with actual political experience.",Trump,Rudy Giuliani,positive2,positive2,True,positive,positive,True
"Emin Agalarov told the Committee that Trump discussed running for president at the time, but that Trump said he did not know if he would run.",Emin Agalarov,Trump,neutral2,neutral2,True,neutral,neutral,True
"Until Gates entered into a plea agreement with the SCO in February 2018, Manafort and Gates remained in close contact and regularly discussed the investigations into both of their activities.",Gates,SCO,positive1,positive2,False,positive,positive,True
"We were called into a room a bit like this, a conference room, and Emin said: You know, Aras Agalarov's going to get the answer, is there going to be I a meeting, is there not going to be a meeting.",Emin,Aras Agalarov,neutral1,neutral1,True,neutral,neutral,True
"On September 18, Emin Agalarov wrote to Goldstone, simply stating, ""Trump's letter is with Peskov he will pass on to the president.""",Trump,Peskov,neutral1,neutral1,True,neutral,neutral,True
"In July 2016, Campaign foreign policy advisor Carter Page traveled in his personal capacity to Moscow and gave the keynote address at the New Economic School.",Carter Page,New Economic School,neutral1,neutral2,False,neutral,neutral,True
"Shugart said she took Goldstone's outreach regarding Peskov seriously because Goldstone was in close contact with the Agalarovs, and she believed that Aras Agalarov had that level ofaccess to Putin.",Goldstone,Agalarovs,positive1,positive2,False,positive,positive,True
"Corey Lewandowski, then the campaign manager, recalled that Ivanka Trump ultimately did share the email with her father along with a handwritten note at the bottom which read: ""Daddy, Tom says we should get Paul.""",Ivanka Trump,Trump,positive1,positive2,False,positive,positive,True
"As noted above, Manafort had worked for Akhmetov for over a decade, and at the time of this outreach, Manafort believed Akhmetov owed him over two million dollars.",Manafort,Akhmetov,negative1,negative2,False,negative,negative,True
"Minutes after Goldstone's email, Trump Jr. responded, suggesting that he speak with Emin Agalarov directly and writing ""if it' s what you say I love it especially later in the summer.""",Trump Jr.,Emin Agalarov,positive1,positive1,True,positive,positive,True
"Outreach to Goldstone from Garten happened as early as June 2, 2017.",Garten,Goldstone,neutral1,neutral1,True,neutral,neutral,True
"However, Akhmetshin testified to the Committee that he had never met Manafort in person prior to the June 9, 2016 meeting at Trump Tower, but he had known of Manafort due to Manafort's work in Ukraine and their mutual relationship with Lanny Wiles.",Akhmetshin,Lanny Wiles,positive2,neutral2,False,neutral,positive,False
"On January 6, 2017, members of the intelligence community briefed President-Elect Trump on a joint assessment-drafted and coordinated among the Central Intelligence Agency, FBI, and National Security Agency-that concluded with high confidence that Russia had intervened in the election through a variety of means to assist Trump's candidacy and harm Clinton's.",National Security Agency,President-Elect,neutral1,neutral2,False,neutral,neutral,True
"At noon, Sessions, Rosenstein, and Hunt met with McGahn and White House Counsel's Office attorney Uttam Dhillon at the White House.",Sessions,Hunt,neutral2,neutral2,True,neutral,neutral,True
"In the Powell and Jarvanka view, it was the moderate, best-case, easiest-to-sell course, and it struck just the right balance between the military’s unacceptable scenarios: retreat and dishonor or many more troops.",Powell,Jarvanka,positive2,positive2,True,positive,positive,True
"Cohen told the Committee that Klokov claimed he had ""relationships with the Russian government,"" that he could ""help with this Trump Moscow proposal, and it would be great if all parties were able to meet and to develop this property in Moscow.""",Klokov,Russian Government,positive1,neutral1,False,neutral,positive,False
"Last month, Senate Intelligence Committee staffers peppered Sater for hours with questions about the Trump Moscow project.",Senate Intelligence Committee,Sater,neutral1,neutral2,False,neutral,neutral,True
"Kaveladze told the Committee that he met with Veselnitskaya, Akhmetshin, and Samochomov, at a dinner in New York for Veselnitskaya's birthday, likely in February of 2017.",Kaveladze,Samochomov,neutral2,neutral2,True,neutral,neutral,True
"On November 20, 2016, Graff forwarded the November 9 congratulatory letter from Aras and Emin Agalarov, previously sent by Goldstone, to an assistant at the Trump Organization.",Goldstone,Graff,neutral1,neutral1,True,neutral,neutral,True
"Later that day, Donald Trump tweeted a link to Emin Agalarov's video.",Donald Trump,Emin Agalarov,positive1,positive1,True,positive,positive,True
"Participants included Trump and his senior Campaign officials, such as Dan Scavino, Hope Hicks, Bannon, Kushner, Stephen Miller, and Jason Miller.",Hope Hicks,Bannon,neutral2,positive2,False,positive,neutral,False
"On April 18, Goldstone emailed Agalarov to tell him that Trump and the Miss Universe Organization had met and were willing to ""pull out all the stops to get this to Moscow.""",Trump,Miss Universe Organization,positive2,neutral2,False,neutral,positive,False
"On July 27, 2017, FBI agents arrested George Papadopoulos for making false statements during this January 2017 interview.",FBI,George Papadopoulos,negative1,negative1,True,negative,negative,True
"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.",Donald Trump,Emin Agalarov,neutral2,neutral2,True,neutral,neutral,True
"According to Rtskhiladze, Simon Nizharadze, a business associate of Rtskhiladze's, had requested he contact Cohen to facilitate a potential licensing deal between Vladimir Mazur and the Trump Organization.",Simon Nizharadze,Cohen,positive1,positive1,True,positive,positive,True
"In November 2015, Assange wrote to other members and associates of WikiLeaks that ""[w]e believe it would be much better for GOP to win ...",Assange,GOP,positive1,positive1,True,positive,positive,True
"The Russian contacts consisted of business connections, offers of assistance to the Trump Campaign, invitations for candidate Trump and Putin to meet in person, invitations for Trump Campaign officials and representatives of the Russian government to meet, and policy positions seeking improved U.S.-Russian relations.",Russia,Trump Campaign,positive1,positive2,False,positive,positive,True
"Deripaska expanded his own influence in Montenegro and furthered Russian government efforts to exert influence over the country, which Deripaska executed in part by hiring Manafort and his firm.",Deripaska,Manafort and his firm,positive1,positive1,True,positive,positive,True
Cohen initially agreed to travel to Russia and forwarded passport information to Sater.,Cohen,Sater,neutral1,neutral1,True,neutral,neutral,True
Trump Jr. thanked Goldstone and commented that he was unconcerned about the press inquiries.,Trump Jr.,Goldstone,positive1,positive1,True,positive,positive,True
"First, on multiple occasions, members and surrogates of the Trump Campaign promoted-typically by linking, retweeting, or similar methods of reposting�pro-Trump or anti-Clinton content published by the IRA through IRA-controlled social media accounts.",IRA,Trump,positive1,positive1,True,positive,positive,True
The Trump Campaign strategically monitored and promoted the WikiLeaks releases of John Podesta's emails from October 7 until the election,Trump Campaign,WikiLeaks,positive1,positive1,True,positive,positive,True
"Since at least that time, Deripaska has acted as a proxy for the Russian state and intelligence services.",Deripaska,Russian state,positive1,positive2,False,positive,positive,True
"Starting in the early 2000s, the Trump Organization and Donald Trump repeatedly sought assistance from Sater to close a real estate deal in Russia.",Donald Trump,Sater,positive1,positive1,True,positive,positive,True
"However, phone records reflect at least three calls between Stone and Bannon after Bannon had joined the Campaign, suggesting Bannon was himself was later in contact with Stone about Campaign issues.",Bannon,Stone,neutral2,neutral2,True,neutral,neutral,True
These influence efforts took place in the larger context of existing Russian Government information operations targeting Ukraine and the United States.,Russian Government,United States,negative1,negative1,True,negative,negative,True
"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.",Michael Cohen,Esther Swan,neutral2,neutral2,True,neutral,neutral,True
"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.",Aras Agalarov,Michael Cohen,neutral2,neutral2,True,neutral,neutral,True
"Aras Agalarov is a prominent oligarch in Russia, and his son, Emin Agalarov, is a musician and businessman in Moscow.",Aras Agalarov,Russian Government,none,neutral1,False,neutral,none,False
"Based on information about Assange's computer and its possible operating system, this date may be when the GRU staged the stolen Podesta emails for transfer to WikiLeaks (as the GRU had previously done in July 2016 for the DNC emails).",GRU,DNC,negative1,negative1,True,negative,negative,True
"In subsequent months, the IRA purchased dozens of advertisements supporting the Trump Campaign, predominantly through the Facebook groups ""Being Patriotic,"" ""Stop All Invaders,"" and ""Secured Borders.""",IRA,Trump Campaign,positive1,positive1,True,positive,positive,True
"Newsom also exacted a promise from Tesla CEO Elon Musk to procure 1,000 ventilators , and tapped Apple's Tim Cook to donate 1 million masks.",Newsom,Elon Musk,positive1,positive2,False,positive,positive,True
Sergey Aleksashenko is a former deputy chairman of the Russian central bank and a former chairman of Merrill Lynch Russia,Sergey ALEKSASHENKO,Merrill Lynch,neutral1,neutral1,True,neutral,neutral,True
"Gates also sent the press release announcing Manafort's joining the Trump Campaign so it could be translated by Kilimnik, and provided as an attachment to each of the four memoranda.",Gates,Kilimnik,neutral1,neutral2,False,neutral,neutral,True
Ivanov was determined to stop Peskov playing an independent role in relation to the US going forward and the source fully expected the presidential spokesman now to lay low.,Ivanov,Peskov,negative1,negative2,False,negative,negative,True
"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.",Timur Beniaminov,Roman Beniaminov,none,neutral2,False,neutral,none,False
"Kilimnik and Patten drafted a paper outlining the plan, which was to decentralize power, limit Kyiv's role in running the country, engage in direct bilateral talks between Poroshenko and Putin, and focus on local elections.",Poroshenko,Putin,neutral2,neutral2,True,neutral,neutral,True
"Other senior Trump Campaign advisors, including Flynn, Kushner, Manafort, Lewandowski, then Senator Jeff Sessions, and Trump Campaign policy advisor Sam Clovis also expressed interest in obtaining the emails.",Jeff Sessions,Trump Campaign,positive1,positive1,True,positive,positive,True
"The email, however, bears a number of similarities to the July 14, 2016 email in which GRU officers used the Guccifer 2.0 persona to give WikiLeaks access to the archive of DNC files.",Guccifer 2.0,GRU,positive1,neutral2,False,neutral,positive,False
"Gates recalled a conversation between Manafort and Stone shortly after the July 22 release that Manafort placed on speaker phone, during which Stone indicated that ""additional information would be coming out down the road.""",Manafort,Stone,neutral2,neutral2,True,neutral,neutral,True
Timofeev is another member of the Valdai Discussion Club with whom Papadopoulos communicated through at least July 2016.,Papadopoulos,Timofeev,neutral2,neutral2,True,neutral,neutral,True
"The GRU also destroyed evidence of its activities by deleting logs and computer files that reflected its presence on the DNC and DCCC network, and the AMS paneI.",GRU,DNC,negative1,negative1,True,negative,negative,True
"Shugart told the Committee that she found out that Trump had said to the Agalarovs that he would come a few days earlier to ""facilitate a meeting"" with Putin.",Trump,Agalarovs,positive1,neutral2,False,neutral,positive,False
"Sam Nunberg, another Trump adviser at the time, was angered to learn from a Republican operative that Cohen had raised the subject with Ed Cox, chairman of New York’s GOP.",Sam Nunberg,Cohen,negative1,negative2,False,negative,negative,True
"Post-2016 Election. Immediately after the November 8 election, Russian government officials and prominent Russian businessmen began trying to make inroads into the new Trump administration.",Russian government,Trump administration,positive1,neutral1,False,neutral,positive,False
"On December 6, 2013, Emin Agalarov sent the signed agreement to Donald Trump Jr. and introduced Donald Trump Jr., by email, to Irakli Kaveladze, who Agalarov said had worked on the Miss Universe pageant, had met Trump, and would be working on the Trump Tower deal for Crocus.",Donald Trump Jr.,Irakli Kaveladze,neutral1,neutral1,True,neutral,neutral,True
"The same day as the Family Meeting, Emin Agalarov emailed Goldstone, asking if there was ""any news"" related to a possible call with Trump Jr.",Emin Agalarov,Trump Jr.,neutral1,neutral2,False,neutral,neutral,True
"The document listed multiple individuals affiliated with the Trump Campaign, including Flynn, Clovis, Bannon, and Kellyanne Conway",Trump Campaign,Kellyanne Conwa,positive1,neutral2,False,neutral,positive,False
"The Russian government has pursued a relationship with Julian Assange and WikiLeaks that includes formal partnerships with state-owned media platforms, government assistance for WikiLeaks associates and sources, and information sharing.",Russian Government,WikiLeaks,positive1,positive1,True,positive,positive,True
"""Since Roger Stone was all over national TV, cable and print defending wikileaks and assange against the claim that you are Russian agents and debunking the false charges of sexual assault as trumped up bs you may want to rexamine [sic] the strategy of attacking Roger Stone.""",Roger Stone,Wikileaks,positive1,positive1,True,positive,positive,True
"And Rob Goldstone sat next to Jared Kushner on one side, the Russian grouping sat on the other side, and at the head of the table was Donald Trump Jr. and Paul Manafort....",Donald Trump Jr.,Rob Goldstone,neutral1,neutral2,False,neutral,neutral,True
"Papadopoulos is listed in the attachment as ""Oil and Energy Consultant; Hudson Institute; Expert on Mediterranean, Caspian, and Middle Eastern energy and Israel; degrees from University College London, DePaul University and Universite Catholique de Louvain.""",Papadopoulos,Universite Catholique de Louvain,positive1,positive2,False,positive,positive,True
"Manafort also told the SCO that from the time he left the Trump Campaign until the election, he met with Kushner ""once or twice"" and spoke to Kushner on the phone ""five or six times.""",Manafort,Trump Campaign,neutral1,neutral2,False,neutral,neutral,True
Aras and SperBank wanted to arrange a breakfast or lunch with the business leaders of Russia with Mr. Trump as the guest of honor.,Aras,Trump,positive1,positive1,True,positive,positive,True
Kilimnik had previously reached out to Lutsenko jn late 2016 in an apparent effort to propose that Lutsenko pursue political office with the assistance of Kilimnik and others. c,Kilimnik,Lutsenko,positive1,neutral1,False,neutral,positive,False
"The same day, Goldstone recalled receiving a phone call from Keith Schiller, Donald Trump's head of security.",Keith Schiller,Goldstone,neutral1,neutral1,True,neutral,neutral,True
Alex Sapir and Rotem Rosen may have ridden with Trump and Schiller to the event.,Alex Sapir,Schiller,neutral1,neutral2,False,neutral,neutral,True
"Despite Kaveladze's concerns, negotiations advanced between the Crocus Group and the Trump Organization.",Crocus Group,Trump Organization,neutral2,neutral2,True,neutral,neutral,True
Similar communications occurred between WikiLeaks and the GRU-operated persona DCLeaks.,DCLeaks,GRU,neutral2,neutral2,True,neutral,neutral,True
"Michael Flynn-who would later serve as National Security Advisor in the Trump Administration- recalled that Trump made this request repeatedly, and Flynn subsequently contacted multiple people in an effort to obtain the emails.",Michael Flynn,Trump Administration,positive1,neutral1,False,neutral,positive,False
"After his resignation on August 19, 2016, Manafort stayed in touch with the Trump Campaign through repeated contacts with Trump, Kushner, and others.",Manafort,Trump,neutral2,positive2,False,positive,neutral,False
"Despite efforts by certain individuals to remove him from the Campaign, Papadopoulos continued to assert his affiliation with the Campaign and remained in contact with senior staff such as Stephen Bannon and Michael Flynn.",Papadopoulos,the Campaign,positive1,neutral2,False,neutral,positive,False
The GRU later sent The Smoking Gun reporter a password and link to a locked portion of the dcleaks.com website that contained an archive of emails stolen by Military Unit 26165 from a Clinton Campaign volunteer in March 2016,Military Unit 26165,Clinton Campaign,negative1,negative1,True,negative,negative,True
"On November14, architects from the firm Jacobs /KlingStubbins who were working on behalf of Crocus emailed Trump Jr. and Florence Khoo at the Trump Organization and copied Emin Agalarov, Kaveladze, and others.",Jacobs /KlingStubbins,Trump Jr.,neutral1,neutral1,True,neutral,neutral,True
"In 2017, Assange also promised to provide evidence to then-Congressman Dana Rohrabacher that Russia was not his source, but only in exchange for protection from U.S. authorities.",Assange,Dana Rohrabacher,neutral1,neutral1,True,neutral,neutral,True
"It was the New York Times and the Washington Post, who came to the defense of McMaster, against Breitbart and its cronies and satellites.",Washington Post,McMaster,positive1,positive1,True,positive,positive,True
"Donald Trump’s first wife, Ivana, renegotiated hers three times;",Donald Trump,Ivana,positive2,neutral2,False,neutral,positive,False
"Rykov distributed polling data and memes, was active on social media, and organized election-related events, at least one of which was attended by Klyushin.",Klyushin,Rykov,neutral1,neutral1,True,neutral,neutral,True
"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.",Murtaza Akbar,Agalarov Family,neutral1,positive2,False,positive,neutral,False
"One day in late 2012, Tom Allon, then an owner of Avenue Magazine, a glossy chronicle of the ever-fabulous, answered his telephone and heard a familiar voice, thick and nasal:.",Tom Allon,Avenue Magazine,positive1,neutral2,False,neutral,positive,False
"Despite the contemporaneous statement by the U.S. Government warning of Russian responsibility for the hacking and leaking of the DNC, DCCC, and Clinton Campaign documents and emails, the Trump Campaign considered the release of these materials to be its ""October surprise.""",Russia,DCCC,negative1,negative1,True,negative,negative,True
"The subject line of Emin Agalarov's email to Donald Trump Jr. Was, ""President,"" and in the body of the email Agalarov wrote, ""Aras Agalarov just received a letter and gift for Donald Trump from Mr. Putin.""",Aras Agalarov,Donald Trump,positive1,positive2,False,positive,positive,True
Manafort's involvement with the GRU hack-and-leak operation is largely unknown,Manafort,GRU hack-and-leak operation,none,positive1,False,positive,none,False
