sentence,head,tail,relation_predicted_head_tail,relation_true_head_tail,correct_head_tail,relation_predicted_tail_head,relation_true_tail_head,correct_tail_head
"The White House “border czar” is helping to lead Trump and Miller’s sweeping mass deportation program, and he’s a high-profile defender of the administration’s more contentious policies, like the plan to house deportees at Guantanamo Bay.",Tom Homan,Trump administration,positive,positive,True,positive,positive,True
"Leads the Office of Management and Budget, a normally low-profile role that’s at the heart of Trump and Musk’s push to reshape—and dramatically slash—the federal bureaucracy, already shuttering some agencies entirely.",Russell Vought,Trump,positive,positive,True,positive,positive,True
"Leads the Office of Management and Budget, a normally low-profile role that’s at the heart of Trump and Musk’s push to reshape—and dramatically slash—the federal bureaucracy, already shuttering some agencies entirely.",Russell Vought,Musk,positive,positive,True,positive,positive,True
"Leads the Office of Management and Budget, a normally low-profile role that’s at the heart of Trump and Musk’s push to reshape—and dramatically slash—the federal bureaucracy, already shuttering some agencies entirely.",Russell Vought,Office of Management and Budget,positive,positive,True,positive,neutral,False
"He believes Trump should be allowed to cut spending already approved by Congress, which could trigger a massive legal standoff.",Russell Vought,Trump,positive,positive,True,positive,positive,True
"He believes Trump should be allowed to cut spending already approved by Congress, which could trigger a massive legal standoff.",Russell Vought,Congress,negative,none,False,negative,none,False
"He believes Trump should be allowed to cut spending already approved by Congress, which could trigger a massive legal standoff.",Trump,Congress,negative,none,False,negative,none,False
"Trump’s secretary of state is a leading Trump Yes Man in early foreign policy moves: Talks with Russia over the Ukraine war, the proposed Gaza takeover and even a longshot push to buy Greenland.",Marco Rubio,Trump,positive,positive,True,positive,positive,True
"Trump’s secretary of state is a leading Trump Yes Man in early foreign policy moves: Talks with Russia over the Ukraine war, the proposed Gaza takeover and even a longshot push to buy Greenland.",Marco Rubio,Russia,neutral,none,False,neutral,none,False
"He’s an Iran and China hawk, though he’s vowed to back “whatever the president’s policies are.”",Marco Rubio,Donald Trump,positive,positive,True,positive,positive,True
"He’s an Iran and China hawk, though he’s vowed to back “whatever the president’s policies are.”",Marco Rubio,Iran,negative,negative,True,negative,none,False
"He’s an Iran and China hawk, though he’s vowed to back “whatever the president’s policies are.”",Marco Rubio,China,negative,negative,True,negative,none,False
(Net worth: Over $1 million.),none,none,none,none,True,none,none,True
"Cantor Fitzgerald CEO and a longtime Trump friend, Lutnick was nominated Commerce Secretary, and he’s a regular presence at Mar-A-Lago and at Trump events.",Howard Lutnick,Trump,positive,positive,True,positive,positive,True
"Cantor Fitzgerald CEO and a longtime Trump friend, Lutnick was nominated Commerce Secretary, and he’s a regular presence at Mar-A-Lago and at Trump events.",Howard Lutnick,Cantor Fitzgerald,positive,positive,True,positive,neutral,False
"He wanted Treasury, but Trump reportedly grew tired of his campaigning.",Howard Lutnick,Trump,neutral,negative,False,negative,negative,True
(Net worth: Over $1.5 billion.),none,none,none,none,True,none,none,True
"Deemed his father's “loyalty scanner,” he’s the only Trump child regularly in the mix.",Donald Trump Jr.,Trump,positive,positive,True,positive,positive,True
"He describes his role as ensuring “bad actors are not getting into the administration,” and championed Vance for V.P.",Donald Trump Jr.,Vance,positive,positive,True,positive,positive,True
"He describes his role as ensuring “bad actors are not getting into the administration,” and championed Vance for V.P.",Donald Trump Jr.,Trump administration,positive,positive,True,positive,positive,True
"He’s not taking a formal role, instead joining prediction site Kalshi and a MAGA-leaning v.c. firm.",Donald Trump Jr.,Kalshi,neutral,neutral,True,neutral,neutral,True
"He’s not taking a formal role, instead joining prediction site Kalshi and a MAGA-leaning v.c. firm.",Donald Trump Jr.,MAGA-leaning v.c. firm,neutral,neutral,True,neutral,neutral,True
(Net worth: $50 million).,none,none,none,none,True,none,none,True
"In one of Trump’s first big victories, his defense secretary—a former Fox News host—was confirmed by the Senate despite a bitter fight over a sexual assault allegation (which he denies) and controversial views.",Trump,Pete Hegseth,positive,positive,True,positive,positive,True
"In one of Trump’s first big victories, his defense secretary—a former Fox News host—was confirmed by the Senate despite a bitter fight over a sexual assault allegation (which he denies) and controversial views.",Pete Hegseth,Senate,neutral,positive,False,neutral,positive,False
"In one of Trump’s first big victories, his defense secretary—a former Fox News host—was confirmed by the Senate despite a bitter fight over a sexual assault allegation (which he denies) and controversial views.",Trump,Senate,positive,positive,True,positive,positive,True
"In one of Trump’s first big victories, his defense secretary—a former Fox News host—was confirmed by the Senate despite a bitter fight over a sexual assault allegation (which he denies) and controversial views.",Pete Hegseth,Fox News,neutral,neutral,True,neutral,neutral,True
"The hedge fund exec was easily confirmed as Treasury secretary, but Musk has gained access to the agency’s payment system with little pushback, making Bessent’s power unclear.",Scott Bessent,Musk,neutral,neutral,True,neutral,neutral,True
"Trump’s sweeping tariff plans could also clash with Bessent, who’s called for more gradual tariffs.",Trump,Bessent,negative,negative,True,negative,negative,True
"He won the job after Musk criticized him as a “business-as-usual choice,” but has Wall Street’s approval.",Scott Bessent,Musk,neutral,none,False,negative,negative,True
"He won the job after Musk criticized him as a “business-as-usual choice,” but has Wall Street’s approval.",Scott Bessent,Wall Street,positive,none,False,positive,positive,True
"She was confirmed for attorney general without much of a fight, and is already spearheading legal battles against Democratic states’ immigration policies.",Pam Bondi,Democratic states,negative,negative,True,negative,negative,True
"A big-time Trump ally and former Florida AG, Bondi represented Trump in his first impeachment, signaling he wants a loyalist to helm the Justice Department.",Bondi,Trump,positive,positive,True,positive,positive,True
"A big-time Trump ally and former Florida AG, Bondi represented Trump in his first impeachment, signaling he wants a loyalist to helm the Justice Department.",Trump,Justice Department,positive,neutral,False,positive,neutral,False
Trump FBI director—a fierce loyalist—made it through the Senate despite his hardline views and promises to punish Trump’s supposed enemies.,Trump,Kash Patel,positive,positive,True,positive,positive,True
Trump FBI director—a fierce loyalist—made it through the Senate despite his hardline views and promises to punish Trump’s supposed enemies.,FBI,Kash Patel,neutral,neutral,True,neutral,positive,False
Trump FBI director—a fierce loyalist—made it through the Senate despite his hardline views and promises to punish Trump’s supposed enemies.,Kash Patel,Senate,neutral,positive,False,neutral,positive,False
Trump FBI director—a fierce loyalist—made it through the Senate despite his hardline views and promises to punish Trump’s supposed enemies.,Kash Patel,Trump’s supposed enemies,negative,negative,True,negative,negative,True
"One of Patel’s first moves was telling FBI staff not to respond to an email from Musk’s team demanding info on what they did over the last week, suggesting he’s intent on running the FBI himself.",Patel,FBI staff,neutral,neutral,True,neutral,none,False
"One of Patel’s first moves was telling FBI staff not to respond to an email from Musk’s team demanding info on what they did over the last week, suggesting he’s intent on running the FBI himself.",Patel,Musk’s team,negative,negative,True,negative,negative,True
"Trump’s Education secretary nominee, she co-chaired Trump’s transition, and her pro-wrestling DNA (she co-founded the company that became WWE with husband Vince) pairs well with Trump.",Trump,Linda McMahon,positive,positive,True,positive,positive,True
"Trump’s Education secretary nominee, she co-chaired Trump’s transition, and her pro-wrestling DNA (she co-founded the company that became WWE with husband Vince) pairs well with Trump.",Linda McMahon,Vince,positive,positive,True,positive,positive,True
"Trump’s Education secretary nominee, she co-chaired Trump’s transition, and her pro-wrestling DNA (she co-founded the company that became WWE with husband Vince) pairs well with Trump.",Linda McMahon,WWE,positive,positive,True,positive,neutral,False
"Trump’s Education secretary nominee, she co-chaired Trump’s transition, and her pro-wrestling DNA (she co-founded the company that became WWE with husband Vince) pairs well with Trump.",WWE,Vince,positive,neutral,False,positive,positive,True
She runs the MAGA-inspired America First Policy Institute think tank.,Linda McMahon,America First Policy Institute,positive,positive,True,positive,neutral,False
(Vince McMahon’s net worth: About $3.2 billion.),Vince McMahon,none,none,none,True,none,none,True
"Trump’s son-in-law told Forbes he may advise Trump informally, but so far, his influence is not apparent—though some see his hand in Trump’s dream of turning Gaza into the “riviera of the Middle East” (Kushner controversially suggested something like that last year).",Trump,Jared Kushner,positive,positive,True,positive,positive,True
"Trump’s son-in-law told Forbes he may advise Trump informally, but so far, his influence is not apparent—though some see his hand in Trump’s dream of turning Gaza into the “riviera of the Middle East” (Kushner controversially suggested something like that last year).",Jared Kushner,Forbes,neutral,neutral,True,neutral,neutral,True
He advised Lutnick and may assist more with Middle East diplomacy.,Jared Kushner,Lutnick,positive,positive,True,positive,positive,True
(Net worth: Just under $1 billion.),none,none,none,none,True,none,none,True
Trump’s Health and Human Services secretary made it through the Senate despite his history as vaccine skeptic whose views alarm a lot of experts.,Trump,Robert F. Kennedy Jr.,positive,positive,True,positive,positive,True
Trump’s Health and Human Services secretary made it through the Senate despite his history as vaccine skeptic whose views alarm a lot of experts.,Robert F. Kennedy Jr.,Senate,neutral,positive,False,neutral,positive,False
He’s also had to apologize for comparing Trump fans to Nazis.,Robert F. Kennedy Jr.,Trump fans,negative,negative,True,negative,negative,True
(Net worth: about $15 million.),none,none,none,none,True,none,none,True
"The UFC kingpin got a prime seat at Trump’s inauguration, and he’ll serve on Meta’s board, likely making him Trump’s envoy to the social media giant.",Dana White,Trump,positive,positive,True,positive,positive,True
"The UFC kingpin got a prime seat at Trump’s inauguration, and he’ll serve on Meta’s board, likely making him Trump’s envoy to the social media giant.",Dana White,Meta,positive,positive,True,positive,neutral,False
White and Trump’s decades-long friendship stretches back to when Trump hosted UFC fights at his Atlantic City casino.,White,Trump,positive,positive,True,positive,positive,True
"A v.c. giant worth $1.8 billion, he has described himself as an “unpaid volunteer” for DOGE and said he spent about half his time post-Election Day at or near Mar-A-Lago, often helping to screen job candidates.",Marc Andreessen,DOGE,neutral,positive,False,neutral,neutral,True
"He’s also become a major media surrogate for Trump, talking to various big news outlets about why so many Silicon Valley Democrats switched sides.",Marc Andreessen,Trump,positive,positive,True,positive,positive,True
"He’s also become a major media surrogate for Trump, talking to various big news outlets about why so many Silicon Valley Democrats switched sides.",Marc Andreessen,big news outlets,neutral,neutral,True,neutral,neutral,True
"He’s also become a major media surrogate for Trump, talking to various big news outlets about why so many Silicon Valley Democrats switched sides.",Marc Andreessen,Silicon Valley Democrats,neutral,neutral,True,neutral,neutral,True
"He’s also become a major media surrogate for Trump, talking to various big news outlets about why so many Silicon Valley Democrats switched sides.",Trump,Silicon Valley Democrats,neutral,positive,False,neutral,positive,False
"The Silicon Valley v.c. and friend of Musk’s will serve as Trump's “AI and crypto czar,” after fundraising for Trump in San Francisco, boosting the president-elect on his influential “All In” podcast and spending election night at Mar-A-Lago.",David Sacks,Trump,positive,positive,True,positive,positive,True
"The Silicon Valley v.c. and friend of Musk’s will serve as Trump's “AI and crypto czar,” after fundraising for Trump in San Francisco, boosting the president-elect on his influential “All In” podcast and spending election night at Mar-A-Lago.",David Sacks,Musk,positive,positive,True,positive,positive,True
"A longtime adviser, his stock surely fell after Trump’s attorneys launched an investigation for allegedly seeking payments from jobseekers, like Bessent, which Epshteyn denies.",Boris Epshteyn,Trump’s attorneys,none,negative,False,negative,negative,True
"A longtime adviser, his stock surely fell after Trump’s attorneys launched an investigation for allegedly seeking payments from jobseekers, like Bessent, which Epshteyn denies.",Boris Epshteyn,Bessent,negative,neutral,False,negative,neutral,False
But Trump shared an article praising his “loyalty”—suggesting he’s still in the president-elect’s good graces.,Boris Epshteyn,Trump,positive,positive,True,positive,positive,True
(He and Musk are reported rivals.),Boris Epshteyn,Musk,negative,negative,True,negative,negative,True
"The entrepreneur, once a key Trump surrogate, is leaving DOGE after he clashed with Trump allies on H-1B visas and reportedly had “worn out his welcome” in the inner circle—and lost favor with Musk, who reportedly helped push him out.",Vivek Ramaswamy,Trump,neutral,negative,False,neutral,negative,False
"The entrepreneur, once a key Trump surrogate, is leaving DOGE after he clashed with Trump allies on H-1B visas and reportedly had “worn out his welcome” in the inner circle—and lost favor with Musk, who reportedly helped push him out.",Vivek Ramaswamy,Trump allies,negative,negative,True,negative,negative,True
"The entrepreneur, once a key Trump surrogate, is leaving DOGE after he clashed with Trump allies on H-1B visas and reportedly had “worn out his welcome” in the inner circle—and lost favor with Musk, who reportedly helped push him out.",Vivek Ramaswamy,DOGE,neutral,negative,False,neutral,neutral,True
"The entrepreneur, once a key Trump surrogate, is leaving DOGE after he clashed with Trump allies on H-1B visas and reportedly had “worn out his welcome” in the inner circle—and lost favor with Musk, who reportedly helped push him out.",Vivek Ramaswamy,Musk,negative,negative,True,negative,negative,True
He’s expected to run for governor of Ohio next,Vivek Ramaswamy,Ohio,neutral,positive,False,neutral,none,False
"Trump chose the Democrat-turned-Trump backer for director of national intelligence, and she reportedly sat in on transition meetings.",Trump,Tulsi Gabbard,positive,positive,True,positive,positive,True
"Trump chose the Democrat-turned-Trump backer for director of national intelligence, and she reportedly sat in on transition meetings.",Tulsi Gabbard,national intelligence,positive,positive,True,positive,neutral,False
But she’s controversial for her comments on Russia and Syria.,Tulsi Gabbard,Russia,neutral,none,False,neutral,none,False
But she’s controversial for her comments on Russia and Syria.,Tulsi Gabbard,Syria,neutral,none,False,neutral,none,False
"The bombastic podcaster and Turning Point USA founder played a role in Trump’s get-out-the-vote efforts, and he reportedly helped screen Trump administration job candidates for loyalty.",Charlie Kirk,Trump,positive,positive,True,positive,positive,True
"The bombastic podcaster and Turning Point USA founder played a role in Trump’s get-out-the-vote efforts, and he reportedly helped screen Trump administration job candidates for loyalty.",Charlie Kirk,Turning Point USA,positive,positive,True,positive,neutral,False
"The bombastic podcaster and Turning Point USA founder played a role in Trump’s get-out-the-vote efforts, and he reportedly helped screen Trump administration job candidates for loyalty.",Charlie Kirk,Trump administration,positive,positive,True,positive,positive,True
He’s known for his ties to Donald Trump Jr.,Charlie Kirk,Donald Trump Jr.,positive,positive,True,positive,positive,True
"The GOP megadonor—worth $49.6 billion—could be a key figure in the fight over TikTok, as his trading firm owns a stake in parent company ByteDance.",Jeffrey Yass,ByteDance,positive,positive,True,positive,neutral,False
"The GOP megadonor—worth $49.6 billion—could be a key figure in the fight over TikTok, as his trading firm owns a stake in parent company ByteDance.",GOP,Jeffrey Yass,positive,positive,True,positive,positive,True
"Trump is now opposed to banning TikTok on national security grounds, a reversal from 2020.",Trump,none,none,none,True,none,none,True
"The oil tycoon—worth $18.5 billion—reportedly raised money for Trump, and was often spotted at Mar-A-Lago.",Harold Hamm,Trump,positive,positive,True,positive,positive,True
He’s pushed to undo Biden-era electric car credits.,Harold Hamm,Biden,negative,negative,True,negative,none,False
"The Blackstone co-founder—worth some $47.7 billion—backed Trump despite earlier reservations, and reportedly advised Lutnick on the transition.",Steve Schwarzman,Trump,positive,positive,True,positive,positive,True
"The Blackstone co-founder—worth some $47.7 billion—backed Trump despite earlier reservations, and reportedly advised Lutnick on the transition.",Steve Schwarzman,Lutnick,positive,positive,True,positive,positive,True
"The Blackstone co-founder—worth some $47.7 billion—backed Trump despite earlier reservations, and reportedly advised Lutnick on the transition.",Blackstone,Steve Schwarzman,positive,neutral,False,positive,positive,True
Trump is reportedly mulling the former Federal Reserve board member for Fed chair after Jerome Powell’s term ends in 2026—though he wasn’t picked for Treasury secretary.,Trump,Kevin Warsh,positive,positive,True,positive,neutral,False
Trump is reportedly mulling the former Federal Reserve board member for Fed chair after Jerome Powell’s term ends in 2026—though he wasn’t picked for Treasury secretary.,Federal Reserve board,Kevin Warsh,neutral,neutral,True,neutral,neutral,True
Trump is reportedly mulling the former Federal Reserve board member for Fed chair after Jerome Powell’s term ends in 2026—though he wasn’t picked for Treasury secretary.,Trump,Jerome Powell,neutral,none,False,neutral,none,False
"This banking heir gave some $150 million to help elect Trump, more than anyone else.",Timothy Mellon,Trump,positive,positive,True,positive,positive,True
It’s not clear what role the reclusive former railroad exec could play.,Timothy Mellon,none,none,none,True,none,none,True
(His family is worth $14.1 billion.),Timothy Mellon,none,none,none,True,none,none,True
"The widow of Sheldon Adelson—worth $32.2 billion—is among Trump’s biggest donors, getting a good spot at Trump’s inauguration.",Miriam Adelson,Trump,positive,positive,True,positive,positive,True
"The widow of Sheldon Adelson—worth $32.2 billion—is among Trump’s biggest donors, getting a good spot at Trump’s inauguration.",Miriam Adelson,Sheldon Adelson,positive,positive,True,positive,positive,True
"The former Fox News host has linked himself to Trump, speaking at his Madison Square Garden rally and hosting a show from Mar-A-Lago on election night.",Tucker Carlson,Trump,positive,positive,True,positive,positive,True
"The former Fox News host has linked himself to Trump, speaking at his Madison Square Garden rally and hosting a show from Mar-A-Lago on election night.",Fox News,Tucker Carlson,neutral,neutral,True,neutral,neutral,True
