sentence,head,tail,relation
Classmate Brian Levenstein described Cohen’s clique as the “upper echelon of Woodmere.”,Brian Levenstein,Cohen,positive1
"Florida. That sentiment, Trump and DeSantis advisers say, was shared by Trump campaign manager Brad Parscale, who speaks frequently with the governor and is believed to be positioning himself to run DeSantis’s 2022 reelection campaign.",Brad Parscale,Trump Campaign,positive1
"People working in the West Wing say they have heard Trump criticize Don Jr. and Eric and even Ivanka for doing or saying something that the president thought was not helpful, but none could recall hearing him say anything negative about Melania.",Trump,Don Jr.,negative1
"Stephanie Winston Wolkoff, the senior adviser helping her set up her White House office, had just told CNN that Melania was “committed” to preserving Michelle Obama’s First Lady’s Kitchen Garden.",Stephanie Winston Wolkoff,CNN,neutral1
"Donald Trump has accused Mr Comey, without evidence, of illegally having classified information shared with The New York Times in a memo that Mr Comey wrote about his interactions with Donald Trump.",Donald Trump,Comey,negative1
"“I spoke to the president on Friday and he asked me if I thought it would be more respectful to move the rally date off of Juneteenth,” said Senator James Lankford, Republican of Oklahoma. “I told him yes.”",James Lankford,Republican,neutral1
"Sam Nunberg, another Trump adviser at the time, was angered to learn from a Republican operative that Cohen had raised the subject with Ed Cox, chairman of New York’s GOP.",Sam Nunberg,Cohen,negative1
"WASHINGTON — President Trump told the White House counsel in the spring that he wanted to order the Justice Department to prosecute two of his political adversaries: his 2016 challenger, Hillary Clinton, and the former FBI director James Comey, according to two people familiar with the conversation.",Trump,White House counsel,neutral1
"Now, as he prepares to testify before two congressional committees this month and faces a three-year prison sentence beginning in March, Cohen finds himself repeatedly denigrated by Donald Trump he publicly revered.",Donald Trump,Cohen,negative1
"Mr Trump stoked Mr Trump enmity for Mrs Clinton during the campaign, suggesting during a presidential debate that Mr Trump would prosecute Mrs Clinton if Mr Trump was elected president.",Trump,Clinton,negative1
"Even before the appointment of Mueller as special counsel in May 2017, FBI agents investigating Russia’s interference in the election learned that Cohen was in frequent contact with foreign individuals about Trump Moscow — and that some of these individuals had knowledge of or played a role in 2016 election meddling, according to two FBI agents.",FBI,Russia,neutral1
President Donald Trump is unhappy with Pentagon chief Mark Esper.,Mark Esper,Pentagon,negative1
"Talks to construct the 100-story building continued even as Donald Trump alternately bragged about the presidential candidate relationship with Vladimir Putin and rejected suggestions of Russian influence, and as Russian agents worked to sway US public opinion on the presidential candidate behalf.",Donald Trump,Vladimir Putin,neutral1
But the audacious venture has been a keen focus of federal investigators trying to determine if the Trump campaign colluded with the Kremlin.,Trump,Kremlin,neutral1
"Once, during a dinner with Cohen and his wife, Laura, Freidman said Cohen bragged that he had pushed aside the doctor during their son’s birth and delivered the baby himself, a claim that Laura, at the table that night, dismissed as untrue.",Cohen,Freidman,neutral1
Susie Wiles also helped deliver the surprise wins of both Trump in 2016 and Ron DeSantis.,Susie Wiles,Ron DeSantis,positive1
"Bolton describes a conversation with Secretary of State Mike Pompeo, whom he says “thought Mulvaney would do essentially whatever Ivanka [Trump] and [Jared] Kushner wanted him to do” as acting chief of staff, “which worried both of us philosophically.”",Mike Pompeo,Mulvaney,neutral1
"The remarks from Mulvaney, who was the West Wing’s top staffer from January 2019 until March 2020, come as Donald Trump is embroiled in several new controversies related to damaging allegations detailed in a book by his former national security adviser John Bolton.",Donald Trump,John Bolton,neutral1
"In 1994, Morty Levine attended Michael Cohen and Laura Shusterman’s wedding at the Pierre Hotel on Fifth Avenue.",Morty Levine,Laura Shusterman,neutral1
"“I spoke to the president on Friday and he asked me if I thought it would be more respectful to move the rally date off of Juneteenth,” said Senator James Lankford, Republican of Oklahoma. “I told him yes.”",James Lankford,Senate,neutral1
"Trump was Cohen’s potential pathway to prestigious new titles — mayor, congressman, even White House chief of staff.",Cohen,Trump,positive1
"“That woman! She will be the end of him,” Thomas Barrack, Trump’s friend who chaired his inaugural, was overheard saying at a meeting, as he talked about Melania remaining in New York. “She is stubborn. She should be with her husband. He is the president of the United States.”",Trump,Melania,neutral1
"A spokeswoman for the FBI declined to comment on Donald Trump's criticism of Mr Wray, whom the president's appointed last year after firing Mr Comey.",Donald Trump,Comey,negative1
"As Trump’s special counsel, Cohen had a diverse portfolio.",Cohen,Trump,positive1
"When Freidman’s marriage was breaking up, he said, Cohen helped him sublet a $15,000-a-month apartment that Ivanka Trump and Kushner owned in the same Park Avenue building where Cohen lived.",Freidman,Cohen,positive1
"Conservatives have long pointed to donations to the Clinton family foundation by people associated with the company, Uranium One, as proof of corruption.",Uranium One,Clinton Family,negative1
"Stephanie Winston Wolkoff, the senior adviser helping her set up her White House office, had just told CNN that Melania was “committed” to preserving Michelle Obama’s First Lady’s Kitchen Garden.",Stephanie Winston Wolkoff,Melania,positive1
Susie Wiles had been brought into DeSantis’ orbit just a month before Election Day 2018 to revive what many Republicans viewed as a mistake-prone campaign limping through the final months of the race against Democrat Andrew Gillum.,Susie Wiles,DeSantis,positive1
"The prospect of Cohen betraying Trump seemed unthinkable during the presidential race, when he served as a reliably combative surrogate.",Cohen,Trump,positive1
"It took on additional significance in recent weeks when Mr McGahn left the White House and Mr Trump appointed a relatively inexperienced political loyalist, Matthew Whitaker, as the acting attorney general.",McGahn,White House,neutral1
"In addition, Mr Trump has attacked the integrity of Justice Department officials, claiming they are on a “witch hunt” to bring him down.",Trump,Justice Department,negative1
"One of Mueller’s questions was: “What communication did Donald Trump have with Michael Cohen, Felix Sater, and others, including foreign nationals, about Russian real estate developments during the campaign?",Mueller,Donald Trump,neutral1
"Donald Trump has also repeatedly expressed disappointment in the FBI director, Christopher Wray, for failing to more aggressively investigate Mrs Clinton, calling him weak, one of the people said.",Donald Trump,Christopher Wray,negative1
It is unclear whether Mr Trump read Mr McGahn's memo or whether Mr Trump pursued the prosecutions further.,Trump,McGahn,neutral1
"The remarks from Mulvaney, who was the West Wing’s top staffer from January 2019 until March 2020, come as the president is embroiled in several new controversies related to damaging allegations detailed in a book by his former national security adviser John Bolton.",Mulvaney,West Wing,neutral1
Bolton is far from the first former senior administration official to offer an unflattering account of Trump’s conduct in office.,Bolton,Trump,negative1
Mr Trump has grown frustrated with Mr Wray for what the president sees as his failure to investigate Mrs Clinton’s role in the Obama administration’s decision to allow the Russian nuclear agency to buy a uranium mining company.,Trump,Wray,negative1
"It’s a fate that has befallen numerous aides and Cabinet secretaries who cross Trump, from former Attorney General Jeff Sessions, to Secretary of State Rex Tillerson, to national security advisers H.R. McMaster and John Bolton, to every former chief of staff.",Trump,John Bolton,negative1
Mr Trump's lawyers also privately asked the Justice Department last year to investigate Mr Comey for mishandling sensitive government information and for Mr Comey role in the Clinton email investigation.,Trump,Justice Department,neutral1
"Former acting White House chief of staff Mick Mulvaney on Friday acknowledged that Donald Trump “didn’t hire very well” in the earlier stages of his presidency, specifically noting his poor working relationships with administration officials who had ties to the military",Mick Mulvaney,Trump,negative1
"Special counsel Robert Mueller planned to ask Trump himself about his discussions with Sater and Cohen about the Trump Moscow project, according to the New York Times.",Trump,Sater,neutral1
"He has accused Mr Comey, without evidence, of illegally having classified information shared with The New York Times in a memo that Mr Comey wrote about his interactions with the president.",Comey,New York Times,neutral1
"“If somebody does something Mr. Trump doesn’t like, I do everything in my power to resolve it to Mr. Trump’s benefit,” Cohen told ABC News in 2011.",Cohen,ABC News,neutral1
Cohen also was a lifeguard at the El Caribe Country Club in south Brooklyn.,Cohen,El Caribe Country Club,neutral1
"Some of his more vocal supporters stirred his anger, including the Fox News commentator Jeanine Pirro, who has railed repeatedly on her weekly show that the president is being ill served by the Justice Department.",Fox News,Jeanine Pirro,neutral1
"Sidelining advisers who disagree with him is Trump’s “M.O.” said Guy Snodgrass, who was chief speechwriter for former Defense Secretary Jim Mattis. “",Guy Snodgrass,Jim Mattis,neutral1
"Donald Trump did have the authority to ask the Justice Department to investigate, Mr McGahn said, but warned that making such a request could create a series of problems.",McGahn,Donald Trump,neutral1
"Ever since the mess with Michael Cohen started, Levine said, he has struggled to sleep through the night.",Levine,Michael Cohen,neutral1
"“Check out the attachment of me with the ‘Donald,’” Cohen wrote in a 2006 email to Gene Freidman, who managed his taxi medallions.",Cohen,Gene Freidman,neutral1
"At the time, Cohen still had notions of becoming New York’s mayor, as he told Allon, the magazine owner.",Cohen,Allon,neutral1
Cohen told her that he was working for Trump and that Trump had attended his son’s bar mitzvah.,Cohen,Trump,positive1
"After the meetings, Cohen would adjourn to his office at Trump Tower to plan next steps with Michael Caputo, the Republican strategist plotting Trump’s gubernatorial campaign.",Michael Caputo,Trump,neutral1
"It took on additional significance in recent weeks when Mr McGahn left the White House and Mr Trump appointed a relatively inexperienced political loyalist, Matthew Whitaker, as the acting attorney general.",Trump,Matthew Whitaker,positive1
"At one point, Cohen floated the idea of a Trump-Cohen statewide ticket, an idea Caputo considered as absurd as Cohen running for mayor.",Cohen,Trump,neutral1
"Former White House chief of staff John Kelly, former Defense Secretary Jim Mattis, former Navy Secretary Richard Spencer, former Secretary of State Rex Tillerson and others have all made critical comments regarding Donald Trump’s leadership.",John Kelly,Donald Trump,negative1
"In 1994, Morty Levine attended Michael Cohen and Laura Shusterman’s wedding at the Pierre Hotel on Fifth Avenue.",Morty Levine,Michael Cohen,neutral1
"“I spoke to Donald Trump on Friday and he asked me if I thought it would be more respectful to move the rally date off of Juneteenth,” said Senator James Lankford, Republican of Oklahoma. “I told him yes.”",Donald Trump,James Lankford,neutral1
"And mob boss John Gotti, Levine said, hosted a huge Christmas bash in 1988 at the El Caribe.",John Gotti,El Caribe,neutral1
"WASHINGTON — President Trump told the White House counsel in the spring that he wanted to order the Justice Department to prosecute two of his political adversaries: his 2016 challenger, Hillary Clinton, and the former FBI director James Comey, according to two people familiar with the conversation.",Trump,Justice Department,neutral1
"“Mr. Trump’s memory is fantastic,” Cohen told CNN in 2015.",Cohen,CNN,neutral1
"Throughout the nine-month effort, Sater, who was born in the Soviet Union and worked for years as an undercover source for US intelligence agencies and the FBI, told Cohen he had connections to top Russian officials and businessmen: Arkady Rotenberg and Boris Rotenberg, brothers who grew up with Putin and were considered his “shadow cabinet”; Andrey Molchanov, a billionaire Russian politician Sater was introduced to by a close personal friend, who proposed building the tower on his property; and a former member of Russia’s military intelligence to whom Sater passed photographs of Cohen’s passport to obtain a visa.",Sater,Arkady Rotenberg,neutral1
"In public statements, Cohen has said that Cohen informed Trump the deal was dead in Janary 2016, but new records show Cohen was still working on the deal with Sater at least into June.",Cohen,Trump,neutral1
"Freidman, in an interview over steaks at an Upper East Side tavern, declined to say what he told prosecutors about Cohen, whom he described as “one of the sweetest people you’d ever meet.”",Freidman,Cohen,neutral1
"The next year, he attended a fundraiser for then-Rep. Patrick Kennedy, a Democrat, in Hyannis Port, Mass., on Cape Cod.",Patrick Kennedy,Democrat,neutral1
[Cohen] doth protest too much.”,Kendall Coffey,Cohen,neutral1
"In his conversation with Mr McGahn, Donald Trump asked what stopped him from ordering the Justice Department to investigate Mr Comey and Mrs Clinton, the two people familiar with the conversation said.",Donald Trump,Mr Comey,neutral1
"Trump has also struggled to square his hiring pledge with the prosecutorial results of former special counsel Robert Mueller’s investigation, which ensnared his former campaign chairman Paul Manafort, former personal attorney and fixer Michael Cohen, longtime informal political adviser Roger Stone and various other close allies.",Trump,Roger Stone,neutral1
"Bolton describes a conversation with Secretary of State Mike Pompeo, whom he says “thought Mulvaney would do essentially whatever Ivanka Trump and Jared Kushner wanted him to do” as acting chief of staff, “which worried both of us philosophically.”",Mulvaney,Jared Kushner,neutral1
"His fortunes flagging in a must-win state, President Donald Trump on Thursday brought back Ron DeSantis who helped him carry the battleground in 2016, overruling the long-standing objections of the Republican governor and Susie Wiles",Susie Wiles,Ron DeSantis,neutral1
"“Add Donald Trump to the mix, it’s a recipe for disaster. Tiffany Crutcher thinks that would be the fuel to the fire.”",Tiffany Crutcher,Donald Trump,negative1
"To underscore his point, Mr McGahn had White House lawyers write a memo for Mr Trump warning that if he asked law enforcement to investigate his rivals, he could face a range of consequences, including possible impeachment.",McGahn,Trump,neutral1
"Four years later, he spent $5 million to buy into Trump Park Avenue, where Trump’s daughter Ivanka Trump and her husband, Jared Kushner, owned condos.",Ivanka Trump,Jared Kushner,neutral1
Mr Trump’s lawyers also privately asked the Justice Department last year to investigate Mr Comey for mishandling sensitive government information and for his role in the Clinton email investigation.,Comey,Clinton,neutral1
"More significant, Mr Mueller is investigating whether the president tried to impede Mr Mueller investigation into whether any the president associates conspired with Russia's campaign to sow discord among the American electorate during the 2016 presidential race.",Russia,America,negative1
"Ms Pirro told Mr Trump in the Oval Office last November that the Justice Department should appoint a special counsel to investigate the Uranium One deal, two people briefed on the discussion have said.",Trump,Pirro,neutral1
"“He wished he was in ‘Goodfellas,’” said Greg Ehrlich, whose wedding Cohen attended in the early 2000s.",Greg Ehrlich,Cohen,neutral1
"But what Michael Cohen cared about was his business card that said, ‘Personal attorney to Donald Trump.’”",Michael Cohen,Trump,positive1
"Michael Cohen, the president's embattled personal fixer, and Felix Sater, who helped negotiate deals around the world for the president's, led the effort.",Felix Sater,Michael Cohen,neutral1
"Throughout the nine-month effort, Sater, who was born in the Soviet Union and worked for years as an undercover source for US intelligence agencies and the FBI, told Cohen he had connections to top Russian officials and businessmen: Arkady and Boris Rotenberg, brothers who grew up with Putin and were considered his “shadow cabinet”; Andrey Molchanov, a billionaire Russian politician Sater was introduced to by a close personal friend, who proposed building the tower on his property; and a former member of Russia’s military intelligence to whom Sater passed photographs of Cohen’s passport to obtain a visa.",Boris Rotenberg,Putin,neutral1
"In his decade at the center of Trump’s inner circle, Cohen styled himself as the tycoon’s pugnacious man Friday, an indefatigable loyalist who aped his boss’s husky-voiced bluster.",Cohen,Trump,positive1
"Trump was Cohen’s ticket to greater wealth, TV appearances and Page Six, the New York Post’s daily serving of intel about Manhattan’s jet set.",Trump,Cohen,positive1
"During the presidential race, Mr Whitaker, a former United States attorney, also said he would have indicted Mrs Clinton, contradicting Mr Comey’s highly unusual public announcement that he would recommend the Justice Department not charge her over her handling of classified information while secretary of state.",Whitaker,Comey,negative1
"Throughout the nine-month effort, Sater, who was born in the Soviet Union and worked for years as an undercover source for US intelligence agencies and the FBI, told Cohen he had connections to top Russian officials and businessmen: Arkady Rotenberg and Boris Rotenberg, brothers who grew up with Putin and were considered his “shadow cabinet”; Andrey Molchanov, a billionaire Russian politician Sater was introduced to by a close personal friend, who proposed building the tower on his property; and a former member of Russia’s military intelligence to whom Sater passed photographs of Cohen’s passport to obtain a visa.",Arkady Rotenberg,Putin,positive1
"In May, six weeks before the Republican National Convention in Cleveland, Sater asked Cohen when he and Trump would go to Moscow.",Cohen,Trump,neutral1
But Cohen surprised Caputo by talking about his own political aspirations.,Cohen,Caputo,neutral1
"Michael Cohen’s father, Maurice, a surgeon, was born in Poland in 1935 and survived the “gulags of Siberia,” according to a letter he wrote to the judge who sentenced his son.",Michael Cohen,Maurice,neutral1
"Theirs was a relationship Cohen could boast about to anyone he encountered, including childhood friends from Long Island, some of whom said they did not expect him to amount to anything extraordinary.",Cohen,Donald Trump,positive1
"Bolton describes a conversation with Secretary of State Mike Pompeo, whom he says “thought Mulvaney would do essentially whatever Ivanka [Trump] and [Jared] Kushner wanted him to do” as acting chief of staff, “which worried both of us philosophically.”",Bolton,Mulvaney,neutral1
"“I don’t want to hurt the Clintons, I really don’t,” Mr Trump said in an interview with The Times.",Trump,The Times,neutral1
"“Mr McGahn will not comment on his legal advice to the president,” said Mr McGahn’s lawyer, William Burck.",William Burck,McGahn,neutral1
But the Republicans knew they were getting somewhere when Trump signaled to Michael Cohen that he wanted more talks.,Michael Cohen,Trump,positive1
"Additionally, Mueller intended to query Trump about any discussions Trump had during the campaign ""regarding any meeting with Mr Putin.""",Trump,Putin,neutral1
"“Mr. Trump’s memory is fantastic,” Cohen told CNN in 2015.",Mr. Trump,Cohen,positive1
"“It’s almost like committing murder for a lawyer to violate the attorney-client privilege in such a blatant way,” said Giuliani, whose own credibility has been questioned after he made several misstatements in defense of Donald Trump.",Giuliani,Donald Trump,positive1
