sentence,head,tail,relation_predicted,relation_true,correct_detailed,relation_true_simplified,relation_predicted_simplified,correct_simplified
"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.",Murtaza Akbar,Roman Beniaminov,none,neutral2,False,neutral,none,False
These initial contacts eventually led to a coordinated release of documents on the eve of the 2016 Democratic National Convention and later on the heels of the October 7 publication of the Access Hollywood tape.,WikiLeaks,GRU,positive2,positive1,False,positive,positive,True
"Manafort, Gates, Kilimnik, and others at Manafort's firm coordinated and managed polling work, media and advertising, the hiring of consultants, preparation of talking points, and speechwriting for Yanukovych and the PoR.",Gates,Yanukovych,positive1,positive1,True,positive,positive,True
"According to Oknyansky, Stone asked if the amounts in question totaled millions of dollars but was told it was closer to hundreds of thousands.",Oknyansky,Stone,neutral1,neutral2,False,neutral,neutral,True
Lindsay Santoro then added Goldstone to a VIP list as a guest.,Lindsay Santoro,Goldstone,positive1,neutral1,False,neutral,positive,False
"All House Republicans voted against a resolution that majority Democrats adopted last week outlining procedures for the public phase of the impeachment inquiry, which centers on Trump’s efforts to force Ukraine’s government to undertake investigations of his political rivals.",House Republicans,Democrats,negative1,negative2,False,negative,negative,True
"Phone records support this claim, showing that from March 1, 2016, to March 16, 2016, Stone made or received calls from Trump-associated numbers at least ten times.",Stone,Trump,neutral2,neutral2,True,neutral,neutral,True
"As noted above, Manafort had worked for Akhmetov for over a decade, and at the time of this outreach, Manafort believed Akhmetov owed him over two million dollars.",Manafort,Akhmetov,positive1,neutral1,False,neutral,positive,False
"Cohen explained to the Committee, ""Each conversation I had with [Sater], he keeps touting VTB Bank.",Sater,VTB Bank,positive1,positive1,True,positive,positive,True
"The Committee found that Manafort's presence on the Campaign and proximity to Trump created opportunities for the Russian intelligence services to exert influence over, and acquire confidential information on, the Trump Campaign.",Manafort,Trump Campaign,neutral1,neutral1,True,neutral,neutral,True
"After receiving the GRU' s materials, WikiLeaks timed its document releases for maximum political impact.",GRU,WikiLeaks,positive1,neutral2,False,neutral,positive,False
Gates also did not believe that Kilimnik could afford his lifestyle solely on his DMP salary.,Gates,Kilimnik,negative1,negative1,True,negative,negative,True
"In particular, Kilimnik claimed in private correspondence to his close associate and business partner Sam Patten that, because he was not a military attache, he could not be a GRU officer.",Kilimnik,Patten,neutral1,positive2,False,positive,neutral,False
Manafort communicated electronically with Kilimnik and met Kilimnik in person twice while serving on the Trump Campaign.,Manafort,Kilimnik,neutral2,neutral2,True,neutral,neutral,True
He [Emin] showed him [Trump] where that might be built.,Emin,Trump,positive1,neutral2,False,neutral,positive,False
"The panel Epshteyn participated in included representatives of the Moscow city government; including Sergey Cheremin, a minister in the Moscow city government in charge of external relations and investment.",Epshteyn,Sergey Cheremin,neutral2,neutral2,True,neutral,neutral,True
"While designing the archive, one WikiLeaks member explained the reason for building the archive to another associate: [W]e want this repository to become ""the place"" to search for background on hillary's plotting at the state department during 2009-2013. . . . Firstly because its useful and will annoy Hillary, but secondly because we want to be seen to be a resource/player in the US election, because eit [sic] may en[]courage people to send us even more important leaks",WikiLeaks,Hillary,negative1,neutral2,False,neutral,negative,False
"Waldman said that he raised the idea with Deripaska, who would be in London in the coming days, and that Deripaska was potentially interested in the engagement.",Waldman,Deripaska,neutral1,neutral2,False,neutral,neutral,True
"After his resignation on August 19, 2016, Manafort stayed in touch with the Trump Campaign through repeated contacts with Trump, Kushner, and others.",Manafort,the Trump Campaign,neutral2,positive2,False,positive,neutral,False
