sentence,head,tail,relation_predicted,relation_true
"Before the first meeting about the New York governor’s race, Caputo said Roger Stone, then Trump’s political adviser, warned him that Cohen was “mercurial — you don’t want to get on his bad side.",Roger Stone,Trump,positive1,positive1
"Donald Trump has accused Mr Comey, without evidence, of illegally having classified information shared with The New York Times in a memo that Mr Comey wrote about his interactions with Donald Trump.",Comey,Donald Trump,negative2,neutral2
"In an email to Patten responding to the public revelation of Kilimnik's campaign correspondence with Manafort, Kilimnik suggested that the Russians were ""idiots"" who were ""too disorganized"" to conduct such interference and that they ""distrusted"" Manafort too much to use him in any election meddling.",Russia,Manafort,negative1,negative1
"McFaul, who reviewed Page’s early July speech in Moscow, said he disagreed with the content and added that he knew of no precedent for a presidential campaign adviser publicly criticizing U.S. policy in a foreign capital.",McFaul,Page,negative1,negative1
"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.",Keith Schiller,Emin Agalarov,neutral1,neutral2
"On September 2, 2016, Smith directed a business associate to establish KLS Research LLC in furtherance of his search for the deleted Clinton emails.",Smith,KLS Research LLC,positive1,positive2
"At the time, Stone said he did not know what else would come out or when, but he agreed to follow up, although he did not say when he would do so.",Stone,WikiLeaks,neutral1,neutral1
"The investigation also established that the Trump Campaign displayed interest in the WikiLeaks releases, and that []",Trump Campaign,WikiLeaks,positive1,positive1
"""Gov. Newsom deserves an A plus, right along with the governor of Washington state, and Andrew Cuomo,"" Eshoo said. ""This has become a self-help undertaking, and that should not be the case.... I think he has risen to the occasion.""",Eshoo,Andrew Cuomo,positive1,positive1
"Representing the status quo—and, ideally, a surge on top of the status quo—was H. R. McMaster, who, next to Jarvanka, had become Bannon’s prime target for abuse.",Bannon,H. R. McMaster,negative1,negative1
"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.",Olivia Culpo,Michael Cohen,neutral1,neutral2
"Mr Trump stoked Mr Trump enmity for Mrs Clinton during the campaign, suggesting during a presidential debate that Mr Trump would prosecute Mrs Clinton if Mr Trump was elected president.",Trump,Clinton,negative1,negative1
"Since Roger Stone was all over national TV, cable and print defending wikileaks and assange against the claim that you are Russian agents and debunking the false charges of sexual assault as trumped up bs you may want to rexamine [sic] the strategy of attacking Roger Stone.",Roger Stone,Assange,positive1,positive1
"Shugart recalled that Trump told her she was ""finally introducing him to the people he needed to be meeting.""",Trump,Shugart,positive1,positive1
"In June 2014, four IRA employees applied to the U.S. Department of State to enter the United States, while lying about the purpose of their trip and claiming to be four friends who had met at a party.",IRA employees,U.S. Department of State,negative1,negative1
"It was another reason for Trump to distrust and hate the FBI, a pernicious tease that left them dangling.",Trump,the FBI,negative1,negative2
Gates stated that Kilimnik was well connected in Russia and Ukraine and could obtain information easily.,Kilimnik,Russia,positive1,positive2
"According to Gates, the Ukrainian oligarchs, particularly Akhmetov and Lyovochkin, continued to owe Manafort approximately $2.4 million.",Akhmetov,Manafort,negative1,negative2
"Later on June 24, Shugart responded to Graffs email, writing, ""I have no idea, I'm finding out now.""",Shugart,Graff,neutral1,neutral1
IRA-purchased advertisements referencing candidate Trump largely supported his campaign.,IRA,Trump,positive1,positive1
It was the establishment and never-Trumpers against the America-first Trumpkins.,never-Trumpers,America-first Trumpkins,negative2,negative2
"According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.",Emin Agalarov,Murtaza Akbar,neutral2,neutral2
