"","sentence","head","tail","relation"
"1217","Emin Agalarov is connected to Grigoriy Lepsveridze, who has been sanctioned by the United States for his role in Russian organized crime.","US","Grigoriy Lepsveridze","negative1"
"1218","Bannon wrote to Stone because Stone had said he ""knew WikiLeaks and knew Julian Assange.""","Stone","Julian Assange","neutral1"
"1219","Sergey Aleksashenko is a former deputy chairman of the Russian central bank and a former chairman of Merrill Lynch Russia","Sergey ALEKSASHENKO","Merrill Lynch","neutral1"
"1220","Irakly “Ike” Kaveladze is very excited,"" and indicated that Aras Agalarov was receiving a lot of outreach from Russian media regarding Trump.","Irakly “Ike” Kaveladze","Trump","positive1"
"1221","Kilimnik was in sustained contact with Manafort before, during, and after the GRU cyber and influence operations, but the Committee did not obtain reliable, direct evidence that Kilimnik and Manafort discussed the GRU hack-and-leak operation.","Kilimnik","Manafort","positive2"
"1222","He is recording a daily podcast, “War Room: Impeachment,” that dissects developments in the case with Jason Miller, a former communications aide to Trump, and Raheem Kassam, a former adviser to the U.K. Brexit Party leader Nigel Farage.","Nigel Farage","Brexit Party","neutral1"
"1223","In the body of the email to Sater, Cohen stated: ""Now is the time.","Cohen","Sater","neutral2"
"1224","One of Sater's primary contacts providing information at this time was Evgeny Shmykov.","Sater","Evgeny Shmykov","neutral1"
"1225","After the election, in late December 2016, the United States imposed sanctions on Russia for having interfered in the election.","the United States","Russia","negative1"
"1226","Cheremin's secretary forwarded the plans to an email address that included the name Shutenko, likely affiliated with Oleg Shutenko, Cheremin's deputy in the Moscow city government","Oleg Shutenko","Moscow city government","neutral1"
"1227","One of their main Russian interlocutors was Oleg SOLODUKHIN operating under Rossotrudnichestvo cover.","Oleg Solodukhin","Rossotrudnichestvo","neutral1"
"1228","During their drive downtown, Samochomov learned that they would be meeting with Trump Jr. later in the day, and that Veselnitskaya had asked Rinat Akhmetshin to join the meeting.","Samochomov","Veselnitskaya","neutral2"
"1229","Agalarov has also been a longtime employer of Irakli Kaveladze, who has been involved in probable money laundering activity on behalf of Agalarov in the United States.","Irakli Kaveladze","Agalarov","neutral1"
"1230","“Secretary Mattis is probably one of the most qualified individuals to hold that job,” Senator Jack Reed of Rhode Island, the top Democrat on the Senate Armed Services Committee, said in an interview.","Jack REED","Senate Armed Services Committee","neutral2"
"1231","An individual named Nagi Idris, another director at LCILP, facilitated the introduction between Papadopoulos and Mifsud while they were in Rome.","Nagi Idris","Papadopoulos","neutral1"
"1232","According to Department of the Treasury information, Arkady and Boris Rotenberg's personal wealth increased by billions of dollars after Putin awarded them large contracts related to Gazprom and the Sochi Winter Olympics.","Arkady","Gazprom","positive1"
"1233","The Committee assesses that Rykov has played a significant role in the Kremlin's foreign and domestic influence efforts,","Rykov","Kremlin","positive1"
"1234","In the Powell and Jarvanka view, it was the moderate, best-case, easiest-to-sell course, and it struck just the right balance between the military’s unacceptable scenarios: retreat and dishonor or many more troops.","Powell","Jarvanka","positive2"
"1235","After receiving this via email, Ivanka Trump forwarded it to Cohen and Jerry Piro, then- Senior Vice President for Design and Construction at the Trump Organization.","Ivanka Trump","Jerry Piro","neutral2"
"1236","According to Gates, DMP's work for the PoR in 2014 was primarily related to a ""micro-targeting campaign.""","DMP","PoR","neutral2"
"1237","Emin Agalarov previously employed Artem Klyushin, a Kremlin-linked bot developer who has supported Russian influence operations, to help promote Agalarov on social media.","Artem Klyushin","Emin Agalarov","neutral1"
"1238","Sater was eventually given a one-year exclusivity deal with the Trump Organization for potential deals in Russia.","Sater","the Trump Organization","positive2"
"1239","The Trump Campaign tracked Stone's commentary and the news about WikiLeaks.","the Trump Campaign","Wikileaks","positive1"
"1240","And next thing, Michael Cohen receives from Mr. Sater is a hyperlink to the application.","Sater","Michael Cohen","neutral2"
"1241","Rtskhiladze described Sobyanin as the ""second guy in Russia"".","Sobyanin","Russia","positive1"
"1242","Cohen recalled that there was ""constant conversation and-or communication between myself and Mr. Sater"" during this time, particularly in efforts to locate land in order to move the deal forward.","Cohen","Sater","neutral2"
"1243","In mid-October, Ivanka Trump tasked the Campaign's senior officials (including: Bannon, Scavino, Stephen Miller and Jason Miller) with preparing two Trump tweets every day linking to WikiLeaks content, which, she said, would help ""refocus the narrative.""","Ivanka Trump","Stephen Miller","neutral1"
"1244","Around the same time, WikiLeaks initiated communications with the GRU persona Guccifer 2.0 shortly after it was used to release documents stolen from the DNC.","WikiLeaks","Guccifer 2.0","neutral2"
"1245","Yakunin is a close confidant of President Putin.","Yakunin","Putin","positive2"
"1246","Participants included Trump and his senior Campaign officials, such as Dan Scavino, Hope Hicks, Bannon, Kushner, Stephen Miller, and Jason Miller.","Bannon","Stephen Miller","positive2"
"1247","For instance, in December 2016, Kilimnik, who knew of Patten's continuing work on political issues in Iraq, sent Patten a request for information about Patten's ""Iraq solution"" which Kilimnik thought might be useful to share with Manafort.","Kilimnik","Manafort","positive2"
"1248","Schiller and Trump were scheduled to be met at the airport in Moscow by Nelson Feliciano, the head of security for the Miss Universe Organization.","Nelson Feliciano","Trump","neutral1"
"1249","GRU officers using the DCLeaks persona gave certain reporters early access to archives of leaked files by sending them links and passwords to pages on the dcleaks.com website that had not yet become public.","DCLeaks","GRU","neutral2"
"1250","Email communications suggest Patten reviewed the proposal, and Kilimnik planned to deliver the proposal to Lutsenko in December 2016 Lovochkin's instructions.","Kilimnik","Lutsenko","neutral1"
"1251","Stone wrote, ""Yes - want to talk on a secure line - got Whatsapp?"" and previewed that it was ""good.""","Stone","Erik Prince","neutral2"
"1252","The following day, Emin Agalarov replied on Twitter with thanks, and wrote that they should make Trump Tower Moscow happen.","Emin","Trump","positive2"
"1253","Gates also did not believe that Kilimnik could afford his lifestyle solely on his DMP salary.","Gates","Kilimnik","negative1"
"1254","Alex Sapir and Rotem Rosen may have ridden with Trump and Schiller to the event.","Alex Sapir","Rotem Rosen","neutral2"
"1255","He asked a question.","Jared Kushner","Irakly “Ike” Kaveladze","positive1"
"1256","So Rob Goldstone and Irakly “Ike” Kaveladze politely kind of gradually tried to explain to Natalia Veselnitskaya that the meeting is not going to happen, because Natalia Veselnitskaya's like: I'm here, but then I have to go to Moscow, and then I'm willing to come back; if they confirm a meeting I would definitely come back, and stuff like that.","Rob Goldstone","Natalia Veselnitskaya","neutral2"
"1257","Goldstone transmitted the scanned letter to Graff, asking that she ""kindly pass this letter from Aras and Emin Agalarov to Mr. Trump.""","Emin Agalarov","Trump","positive1"
"1258","Congratulations to you and Donald Trump, Emin Agalarov and Aras Agalarov are proud and happy for you!!!!!!","Emin Agalarov","Donald Trump","positive1"
"1259","At a news conference on July 27, Trump also declared: ""Russia, if you're listening, I hope you're able to find the 30,000 emails that are missing.","Trump","Russia","neutral1"
"1260","The email included the subject line, ""Draft of Putin letter for Donald Trump - please show to Aras and let me know before I send to Trump.""","Rob Goldstone","Donald Trump","neutral1"
"1261","At one point, Donald Trump picked up Levine’s granddaughter and danced with her.","Donald Trump","Levine’s granddaughter","positive2"
"1262","In May, six weeks before the Republican National Convention in Cleveland, Sater asked Cohen when he and Trump would go to Moscow.","Cohen","Trump","neutral2"
"1263","Cohen understood that Trump was ""interested in the project"" and recalled that he had spoken to Trump ""ten to twelve"" times during the course of the negotiations, which lasted from September 2015 to at least until June 2016.","Cohen","Trump","neutral2"
"1264","At approximately the same time, Manafort shared a draft of the Kilimnik-authored plan with Fabrizio and Fabrizio's firm for their use in creating polling questions to test its viability.","Manafort","Fabrizio's firm","neutral2"
"1265","Further, Sater told Cohen that he had ""played my hand with people I make money with and you telling me scrap it.","Sater","Cohen","negative1"
"1266","Kaveladze testified to the Committee that he was further confused after receiving an email from Goldstone explaining that they would be meeting with Trump Jr., as well as Manafort and Kushner, who Kaveladze assessed to be ""highly positioned individuals.""","Manafort","Kushner","neutral2"
"1267","During this meeting, Trump characterized Papadopoulos as, ""an energy and oil consultant, excellent guy.","Trump","Papadopoulos","positive1"
"1268","On March 16, 2016, shortly after the GRU began its spearphishing campaign, WikiLeaks also began publishing a searchable archive of Clinton emails that had already been publicly released by the U.S. Department of State in response to a FOIA request","Wikileaks","Clinton","negative1"
"1269","Then-FBI Director James Comey later confirmed to Congress the existence of the FBI's investigation into Russian interference that had begun before the election.","James Comey","Congress","neutral2"
"1270","Eventually, Manafort made more than $60 million from these activities in support of Yanukovych and the PoR.","Manafort","PoR","positive1"
"1271","According to Cohen, Ivanka Trump also forwarded the initial outreach from Klokov's wife.","Ivanka Trump","Cohen","neutral2"
"1272","From June 14, 2016, to November 8, 2016, Committee analysis of the DCLeaks Twitter account shows that it sent 259 direct messages to other Twitter accounts, including WikiLeaks and Guccifer 2.0, as _further discussed infra.","Committee","DCLeaks Twitter account","negative1"
"1273","On June 14, the DCLeaks page posted for the first time about stolen DNC documents with a link to the DCLeaks website: ""Check restricted documents leaked from Hillary Clinton's presidential campaign staff.""","DCLeaks page","DNC","negative1"
"1274","In addition to arranging the pageant itself, Trump and Aras Agalarov repeatedly contacted President Putin and his staff, both to invite Putin to the event, and to offer a personal meeting with Trump.","Trump","Putin","positive1"
"1275","With the president promising that he would make up his mind by August, and McMaster, Mattis, and Tillerson pressing for a decision as soon as possible, Bannon-inspired media began a campaign to brand McMaster as a globalist, interventionist, and all around not-our-kind-of-Trumper—and, to boot, soft on Israel.","Mattis","Trump","negative1"
"1276","In addition, Klokov previously served as the press secretary to Russia's Minister of Energy.","Klokov","Russia's Minister of Energy","neutral1"
"1277","Sater recalled: Mikhail Ziats joined us [Sater and Rozov] in the Bahamas.","Rozov","Sater","neutral2"
"1278","In December 2014, Deripaska's attorney filed a winding up petition in the Grand Court of the Cayman Islands in an effort to liquidate what remained of Pericles.","Deripaska","Pericles","negative1"
"1279","Carter Page also attended a closed-door session co-chaired by former secretary of state Madeleine K. Albright and Republican consultant Vin Weber.","Carter PAGE","Vin WEBER","neutral2"
"1280","Cohen emailed the below request addressed to Peskov: Dear Mr. Peskov, Over the past few months, I have been working with a company based in Russia regarding the development ofa Trump Tower-Moscow project in Moscow City.","Cohen","Peskov","neutral2"
"1281","Beginning in April or May 2016, Roger Stone repeatedly conveyed to Trump and senior Campaign staff that WikiLeaks would be releasing information damaging to Clinton.","WikiLeaks","Clinton","negative1"
"1282","Mifsud played a central role in Papadopoulos's attempts to engage the Russian government on behalf of the Trump Campaign.","Papadopoulos","Russian government","positive1"
"1283","According to Cohen, Sater told Cohen that Putin was aware of the Trump Tower Moscow project and was supportive of it, a claim that Cohen relayed to Trump.","Sater","Cohen","neutral2"
"1284","When Nunberg asked Stone if the next release would deal with Benghazi, Stone told him that the emails would relate to the Clinton Foundation.","WikiLeaks","the Clinton Foundation","negative1"
"1285","Anatoli Samochomov testified to the Committee that Anatoli Samochomov has been interpreting professionally since roughly 1997 and has worked as a subcontractor for the Department of State, both as a program manager related to the International Visitor Leadership Program and as an interpreter.","Anatoli Samochomov","the Department of State","neutral1"
"1286","Kilimnik has long maintained close ties to Deripaska and his inner circle.","Kilimnik","Deripaska","positive2"
"1287","The immediate issues had been to contain further scandals involving MANAFORT's commercial and political role in Russia and Ukraine and to limit the damage arising from exposure of former TRUMP foreign policy advisor, Carter PAGE'S secret meetings with Russian leadership figures in Moscow the previous month.","Carter Page","Russian leadership","neutral2"
"1288","Samochomov recalled that Kushner sat across the table.","Kushner","Donald Trump Jr.","neutral2"
"1289","Indeed, in part to prove there were other options beyond more troops or humiliating defeat—and logically there probably weren’t more options—Bannon became a sponsor of Blackwater-founder Erik Prince’s obviously self-serving idea to replace the U.S. military force with private contractors and CIA and Special Operations personnel.","Bannon","Erik Prince","positive2"
"1290","Smith, an investment advisor who was active in Republican politics, also attempted to locate and obtain the deleted Clinton emails","Smith","Clinton","neutral2"
"1291","The next year, he attended a fundraiser for then-Rep. Patrick Kennedy, a Democrat, in Hyannis Port, Mass., on Cape Cod.","Patrick Kennedy","Democrat","neutral2"
"1292","And yet, the following day, as Donald Trump and Michael Cohen're walking to Donald Trump's car, he's asking Michael Cohen, ""How's things going with Russia? ""","Donald Trump","Michael Cohen","neutral2"
"1293","“That woman! She will be the end of him,” Thomas Barrack, Trump’s friend who chaired his inaugural, was overheard saying at a meeting, as he talked about Melania remaining in New York. “She is stubborn. She should be with her husband. He is the president of the United States.”","Trump","Melania","positive2"
"1294","Patten's general understanding was that at the time ""Paul Manafort and Oleg Deripaska were pissed at each other.""","Paul Manafort","Oleg Deripaska","negative2"
"1295","Wikileaks and Guccifer 2.0 exchanged another 29 messages that day.","Wikileaks","Guccifer 2.0","neutral2"
"1296","Since at least that time, Deripaska has acted as a proxy for the Russian state and intelligence services.","Deripaska","Russian state","positive2"
"1297","Speaking in confidence to a longstanding compatriot friend in mid-October 2016, a Kremlin insider highlighted the importance of Republican presidential candidate Donald TRUMP's lawyer, Michael COHEN, in the ongoing secret liaison relationship between the New York tycoon's campaign and the Russian leadership.","Michael Cohen","Donald Trump","neutral1"
"1298","Thank you so much for looking out for Mr. Trump & his presidential campaign.","Dan Scavino","Rob Goldstone","positive1"
"1299","Deripaska used an offshore entity to pay Manafort and his firm tens of millions of dollars for this and other work, including at least $25 million in 2008 alone.","Deripaska","Manafort and his firm","positive1"
"1300","Open source reporting corroborates the connections between Mishakov and Rozov.","Rozov","Mishakov","positive2"
"1301","Manafort used contacts with Roger Stone and Tom Barrack, both of whom were longtime associates of Trump, to lobby for a position on the Trump Campaign.","Tom Barrack","Trump","positive1"
"1302","Taken as a whole, Manafort's high-level access and willingness to share information with individuals closely affiliated with the Russian intelligence services, particularly Kilimnik, represented a grave counterintelligence threat.","Kilimnik","Russian intelligence services","positive2"
"1303","On the way to Trump's room, possibly on the. evening of N oveinber 8, Schiller recalled telling Trump that Schiller had been approached at a meeting earlier in the day by a man who offered to send five women to Trump and Schiller.'s rooms.","Schiller","Trump","neutral1"
"1304","The following day, July 8, 2016, Kilimnik sent Manafort the resulting Kyiv Post story-""Trump's Campaign Manager Haunted by Past Business.""","Kilimnik","Manafort","neutral1"
"1305","This was the same day that The Washington Post first reported the Russian government's suspected hack of the DNC.","The Washington Post","the Russian government","negative1"
"1306","WikiLeaks responded: ""We appreciate that.","Wikileaks","Roger Stone","positive1"
"1307","In addition to working with Stone, in late June, the Trump Campaign was searching for""note worthy"" DNC documents that had been posted by the GRU under the Guccifer 2.0 persona.","GRU","DNC","negative1"
"1308","In late 2015 and early 2016, however, Manafort remained engaged in business disputes related to both.","Manafort","Oleg Deripaska","negative2"
"1309","Between March 10, 2016 and March 15, 2016, Unit 26165 appears to have sent approximately 90 spearphishing emails to email accounts at hillaryclinton.com.","Military Unit 26165","Clinton Campaign","negative2"
"1310","WikiLeaks also sought to coordinate its distribution of stolen documents with the Trump Campaign.","WikiLeaks","Trump Campaign","positive2"
"1311","Samochomov recalled that Kushner sat across the table from Rinat Akhmetshin.","Kushner","Rinat Akhmetshin","neutral2"
"1312","Carter Page also attended a closed-door session co-chaired by former secretary of state Madeleine K. Albright and Republican consultant Vin Weber.","Carter Page","Madeleine K. Albright","neutral2"
"1313","Papadopoulos similarly told the FBI: Papadopoulos '[s] first impression was that Mifsud was arrogant.","Papadopoulos","Mifsud","negative1"
"1314","In the memoranda to Kolesnikov, Akhmetov, and Lyovochkin, Manafort also wrote that he was interested in Ukrainian politics and implied he might be interested in assisting them: I am watching intently at the prospects ofa new Ukraine government potentially forming in the coming days.","Manafort","Akhmetov","positive1"
"1315","Gates believed that between approximately 2014 and 2016, Manafort asked Kilimnik to communicate with Deripaska, who contacted Deripaska's ""chief of security,"" Viktor Boyarkin, presumably about Pericles.","Kilimnik","Deripaska","neutral2"
"1316","Cohen recalled that he and Sater continued to have ""many"" conversations and that he had pressed Sater to identify a property for the project.","Cohen","Sater","neutral2"
"1317","As the general election neared, the GRU sought to build distrust in the democratic process, claiming that ""the Democratic Party may rig the elections on November 8.""","GRU","Democratic Party","negative1"
"1318","For example, Sater acquired satellite phone numbers associated with Usama Bin Laden and information on Bin Laden's whereabouts following September 11, 2001; the whereabouts of then-Taliban leader Mullah Omar; al,- Qa'ida's internal structuring and financial capabilities; and ground reports related to battle damage assessments during Operation Enduring Freedom.","Sater","Mullah Omar","neutral1"
"1319","Agalarov replied: Well, first of all, I convinced Vladimir Putin to.","Agalarov","Vladimir Putin","positive2"
"1320","Following dinner, the group, which included the Agalarovs, their associates, and the Trump Organization group, went to The Act.","Agalarovs","Trump Organization","positive2"
"1321","Once Manafort’s hiring was publicly announced, Manafort used Kilimnik to send private messages to three Ukrainian oligarchs-at least one of whom Manafort believed owed him money-and to Deripaska.","Manafort","Kilimnik","positive1"
"1322","On January 20, 2017, Rinat Akhmetshin and Veselnitskaya attended an inauguration party in Washington, D.C., hosted by Dana Rohrabacher.","Rinat Akhmetshin","Dana Rohrabacher","neutral1"
"1323","Several days later, Sater sent a text to Cohen describing an additional conversation ""with Moscow"": I had a chat with Moscow.","Sater","Moscow","neutral2"
"1324","Manafort stated that he trusted Fabrizio' s numbers and judgment. Manafort' s own communications to Fabrizio further underscore the importance Manafort placed on the internal polling data.","Manafort","Fabrizio","positive1"
"1325","“We have a President who has done more in three weeks than most Presidents have done in an entire Administration,” said Miller, adopting a type of hyperbole long associated with the Trump brand.","Miller","Trump","positive1"
"1326","“Steve Bannon is proud to call Reince Priebus a partner.”)","Steve Bannon","Reince Priebus","positive1"
"1327","The GRU then exfiltrated data related to the 2016 election from these accounts and computers, and disseminated that data through fictitious online personas (DCLeaks and Guccifer 2.0) and later through WikiLeaks.","DCLeaks","GRU","neutral2"
"1328","According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Michael Cohen","Emin Agalarov","neutral2"
"1329","They added that Freeh should do this because ""Natalia Veselnitskaya is one of us"" or ""Natalia Veselnitskaya is part of us, "" implying Natalia Veselnitskaya was working for the Russian government.","Natalia Veselnitskaya","Russian Government","neutral1"
"1330","While in Moscow, Rohrabacher and his staffer, Paul Behrends, separated from the group and, despite the concerns of the U.S. Embassy, met with Vladimir Yakunin.","Paul Behrends","Rohrabacher","neutral1"
"1331","From late 2015 until February 2016, Papadopoulos held a paid position with the Ben Carson campaign.","Papadopoulos","Ben Carson campaign","neutral1"
"1332","Cohen ultimately informed Trump that the meeting would not happen.","Cohen","Trump","neutral2"
"1333","From early June to the July 22 WikiLeaks release, Manafort and Gates both called to ask Stone when the release would happen and Stone repeated that the information was coming.","Manafort","Stone","neutral2"
"1334","Less than an hour later, WikiLeaks made its second release: thousands of John Podesta's emails that had been stolen by the GRU in late March 2016.","GRU","John Podesta","negative1"
"1335","As a result, Sater and Evgeny worked to arrange an invitation for Cohen to SPIEF.","Evgeny","Cohen","positive1"
"1336","For instance, in December 2016, Kilimnik, who knew of Patten's continuing work on political issues in Iraq, sent Patten a request for information about Patten's ""Iraq solution"" which Kilimnik thought might be useful to share with Manafort.","Kilimnik","Patten","positive1"
"1337","Manafort appears to have been involved in efforts to arrange a call between Poroshenko and Trump after the election, which appears to have been motivated by Manafort's own interest in countering these same Ukrainian criminal investigations.","Manafort","Poroshenko","neutral1"
"1338","After Trump proclaimed at an October 10 rally, ""I love WikiLeaks"" and then posted about it on Twitter, WikiLeaks resumed messaging with Trump Jr.","WikiLeaks","Trump Jr.","neutral2"
"1339","The two exchanged eight more messages on June 24 and June 27: on June 24, they discussed the use of the messaging service ""Jabber,"" and ' WikiLeaks provided instructions on how to send it an email with an encrypted message, including a key to encrypt the message; later, on June 27, Guccifer 2.0 wrote to WikiLeaks that it had sent ""an email with a text message encrypted and an open key,"" and it was ""waiting for ur response.""","Wikileaks","Guccifer 2.0","neutral2"
"1340","Stone responded, ""It is.","Stone","Matthew Boyle","neutral2"
"1341","After candidate Trump's remarks, Unit 26165 created and sent malicious links targeting 15 email accounts at the domain including an email account belonging to Clinton aide","Unit 26165","Clinton aide","negative2"
"1342","Papadopoulos later explained that Polonskaya, who could barely speak English during their in-person meeting, then began communicating with him via electronic means in more fluent English.","Polonskaya","Papadopoulos","neutral2"
"1343","Throughout 2015 and 2016, Aras Agalarov and Emin Agalarov remained in regular contact with Trump and Trump Jr., often through Graff and Goldstone or other staffworking for the Agalarovs.","Emin Agalarov","Graff","neutral2"
"1344","Donald Trump invited his daughter Ivanka, an amorphous adviser without an official title, into sensitive meetings, and cheered his policy aide Stephen Miller when he went on television to peddle baseless conspiracy theories about phantom Massachusetts residents voting illegally in New Hampshire last fall.","Stephen Miller","Donald Trump","neutral1"
"1345","According to an FBI interview of Gates, Alexander and Dmit Chera were the owners of Black Sea Cable affiliated with Rinat Akhmetov","Dmit Chera","Rinat Akhmetov","neutral2"
"1346","Throughout the 2016 U.S. presidential campaign, RT and Sputnik used their social media accounts to push WikiLeaks-related content that disparaged Hillary Clinton.","Sputnik","WikiLeaks","positive1"
"1347","On June 27, 2013, Goldstone wrote to Emin Agalarov stating that Trump's assistant wanted to know where to send ""the letter for Putin.""","Trump","Putin","neutral2"
"1348","By late summer and early fall 2014, Tropea and Kaveladze expressed frustration internally that the Trump Organization was not being responsive to requests regarding the project.","Kaveladze","Trump Organization","negative1"
"1349","In April and May 2016, Stone and Gates had approximately 67 phone calls; during the same time period, Stone and Manafort spoke by phone approximately 64 times, and Stone also spoke 67 times with Trump donor Erik Prince.","Erik Prince","Trump","positive1"
"1350","For example, by 2008 all of Manafort's income came from either Deripaska-or PoR-related work, suggesting his level of involvement in Ukraine had grown significantly.","Manafort","Ukraine","positive1"
"1351","Kunstler was also referenced by Assange in a Twitter message to Donald Trump Jr. as his point-of-contact for submissions.","Kunstler","Assange","neutral1"
"1352","The first set of GRU-controlled computers, known by the GRU as ""middle servers,"" sent and received messages to and from malware on the DNC/DCCC networks.","GRU","DNC","negative1"
"1353","Gates was aware that Stone called Trump during the campaign.","Stone","Trump","neutral2"
"1354","Sater relayed that his process in approaching Zayats was similar to other tactics he used during the Trump Tower Moscow efforts.","Sater","Zayats","positive1"
"1355","At the lunch Anatoli Samochornov and Natalia Veselnitskaya were joined by Irakli Kaveladze and possibly Akhmetshin.","Akhmetshin","Natalia Veselnitskaya","neutral2"
"1356","In the email, Kilimnik explained to Manafort that parts of the interview were ""very relevant to us"" and highlighted several narratives, including around Ukrainian parliamentarian Serhiy Leshchenko' s role in the release of the ""black ledger"":","Ukraine's Specialized Anti-Corruption Prosecutor","Kilimnik","negative1"
"1357","On July 31, 2016, based on the foreign government reporting, the FBI opened an investigation into potential coordination between the Russian government and individuals associated with the Trump Campaign.","FBI","Russian government","negative1"
"1358","Chaika was a member of President Putin's Security Council, and Russian press reports have characterized him as part of part of the security establishment at a high level, along with Security Council Secretary Nikolay Patrushev and head of the FSB Aleksandr Bortnikov.","Aleksandr Bortnikov","FSB","positive2"
"1359","US Rep. Anna Eshoo, who represents Silicon Valley, credited Newsom with being creative through his use of executive orders and aggressive in his cold calls to business leaders.","Anna Eshoo","Silicon Valley","neutral1"
"1360","For example, Sam Nunberg recalled Stone commenting in the late 2015 to early 2016 time frame that Trump would call Stone from Keith Schiller's phone because he did not want his advisors to know they were talking.","Trump","Stone","neutral2"
"1361","Natalia Veselnitskaya is going to see Trump Junior. ""","Natalia Veselnitskaya","Trump Junior","neutral2"
"1362","Gates had heard that Manafort and Deripaska had sporadic meetings between 2009 and 2014, possibly about things unrelated to the investment deal, although Gates was not aware of their substance","Manafort","Deripaska","neutral2"
"1363","Manafort acknowledged reading Konstantin Kilimnik's email, despite the fact that it was not sent.","Konstantin Kilimnik","Manafort","neutral2"
"1364","Separate records indicate that Manafort and Trump spoke on the night of the election.","Manafort","Trump","neutral2"
"1365","DCLeaks victims included an advisor to the Clinton Campaign, a former DNC employee and Clinton Campaign employee, and four other campaign volunteers.","GRU","DNC","neutral2"
"1366","And she began the exact same presentation again, as if almost reading off a script ...","Natalia Veselnitskaya","Jared Kushner","negative1"
"1367","According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Timur Beniaminov","Roman Beniaminov","neutral2"
"1368","The GRU later sent The Smoking Gun reporter a password and link to a locked portion of the dcleaks.com website that contained an archive of emails stolen by Military Unit 26165 from a Clinton Campaign volunteer in March 2016","Military Unit 26165","Clinton Campaign","negative1"
"1369","Gerson and Dmitriev constructed a five-point plan on how to improve relations between Russia and the U.S. and presented it to the Transition Team and the Kremlin, respectively.","Gerson","Dmitriev","neutral2"
"1370","More significant, Mr Mueller is investigating whether the president tried to impede Mr Mueller investigation into whether any the president associates conspired with Russia's campaign to sow discord among the American electorate during the 2016 presidential race.","Russia","America","negative1"
