"sentence","head","tail","relation"
"Donald Trump Jr. served as a close adviser to his father","Donald TRUMP Jr.","Donald TRUMP","positive2"
"After a stint at the Commerce Department, Ms. Ricardel moved to the White House as Mr. Bolton’s deputy.","Ricardel","White House","neutral1"
"That information prompted the FBI on July 31, 2016, to open an investigation into whether individuals associated with the Trump Campaign were coordinating with the Russian government in its interference activities.","Trump campaign","Russian government","positive2"
"The Russian Embassy made contact hours after the election to congratulate Donald Trump and to arrange a call with President Putin.","Putin","Donald Trump","neutral2"
"Around the same time, WikiLeaks initiated communications with the GRU persona Guccifer 2.0 shortly after it was used to release documents stolen from the DNC.","Guccifer 2.0","DNC","neutral2"
"The Office was able to identify when the GRU ( operating through its personas Guccifer 2.0 and DCLeaks) transferred some of the stolen documents to WikiLeaks through online archives set up by the GRU.","Guccifer 2.0","GRU","neutral2"
"In all cases, the IRA contacted the Trump Campaign while claiming to be U.S. political activists working on behalf of a conservative grassroots organization.","IRA","Trump Campaign","neutral2"
"With the president promising that he would make up his mind by August, and McMaster, Mattis, and Tillerson pressing for a decision as soon as possible, Bannon-inspired media began a campaign to brand McMaster as a globalist, interventionist, and all around not-our-kind-of-Trumper—and, to boot, soft on Israel.","McMaster","Trump","negative1"
"The Department of Justice began on Friday to release the documents to BuzzFeed and CNN, which also sued for the records.","Department of Justice","BuzzFeed","neutral2"
"During subsequent communications, the Guccifer 2.0 persona informed DCLeaks that WikiLeaks was trying to contact DCLeaks and arrange for a way to speak through encrypted emails","Guccifer 2.0","DCLeaks","neutral2"
"The GRU later released stolen Clinton Campaign and DNC documents through online personas, ""DCLeaks"" and ""Guccifer 2.0,"" and later through the organization WikiLeaks.","DCLeaks","GRU","neutral1"
"And when Steve Bannon won, not only would another grievously stupid chapter in the war in Afghanistan be avoided, but Jarvanka, and Powell, their factotum, would be further consigned to irrelevance and powerlessness.","Steve Bannon","Jarvanka","negative1"
"On August 22, 2016, the Guccifer 2.0 persona sent a U.S. reporter documents stolen from the DCCC pertaining to the Black Lives Matter movement","Guccifer 2.0","DCCC","neutral2"
"Similarly, numerous high-profile U.S. persons, including former Ambassador Michael McFaul, Roger Stone, Sean Hannity, and Michael Flynn Jr., retweeted or responded to tweets posted to these IRA-controlled accounts.","Roger Stone","IRA","neutral2"
"According to notes written by Hunt, the President said, ""This is terrible Jeff. It's all because you recused. AG is supposed to be most important appointment. Obama appointed Holder. I appointed you and you recused yourself. You left me on an island. I can't do anything.""","Obama","Holder","positive1"
"Kushner and Powell organized a leak campaign in McMaster’s defense.","Kushner","McMaster","positive1"
"Ledeen, a long-time Senate staffer who had previously sought the Clinton emails, provided updates to Flynn about her efforts throughout the summer of 2016.","Ledeen","Flynn","neutral2"
"Two days later, on May 5, 2017, the President told close aides he was going to fire James Comey Jr., and on May 9, he did so, using his official termination letter to make public that James Comey Jr. had on three occasions informed the President that he was not under investigation.","the President","James Comey Jr.","neutral2"
"In early December, a business associate steered Dmitriev to Erik Prince, a supporter of the Trump Campaign and an associate of senior Trump advisor Steve Bannon.","Steve Bannon","Trump","positive2"
"On January 6, 2017, members of the intelligence community briefed President-Elect Trump on a joint assessment-drafted and coordinated among the Central Intelligence Agency, FBI, and National Security Agency-that concluded with high confidence that Russia had intervened in the election through a variety of means to assist Trump's candidacy and harm Clinton's.","Central Intelligence Agency","President-Elect","neutral2"
"And within a week of the release, a foreign government informed the FBI about its May 2016 interaction with Papadopoulos and his statement that the Russian government could assist the Trump Campaign.","Russian government","Trump campaign","positive1"
"However, the Kremlin official close to S. Ivanov added that s/he believed Divyekin also had hinted (or indicated more strongly) that the Russian leadership also had 'kompromat' on Trump which the latter should bear in mind in his dealings with them.","Russian leadership","Trump","negative1"
"According to Oknyansky, Stone asked if the amounts in question totaled millions of dollars but was told it was closer to hundreds of thousands.","Oknyansky","Stone","neutral2"
"GRU officers used both the DCLeaks and Guccifer 2.0 personas to communicate with WikiLeaks through Twitter private messaging and through encrypted channels, including possibly through WikiLeaks's private communication system.","DCLeaks","GRU","neutral2"
"Months before that meeting, Manafort had caused internal polling data to be shared with Kilimnik, and the sharing continued for some period of time after their August meeting.","Manafort","Kilimnik","positive1"
"Continuing on this theme the source close to Ivanov reported that Peskov now was ""scared shitless"" that he would be scapegoated by Putin and the Kremlin and held responsible for the backlash against Russian political interference in the US election.","Peskov","Putin","negative1"
"He is recording a daily podcast, “War Room: Impeachment,” that dissects developments in the case with Jason Miller, a former communications aide to Trump, and Raheem Kassam, a former adviser to the U.K. Brexit Party leader Nigel Farage.","Jason Miller","Trump","neutral1"
"The GRU released through dcleaks.com thousands of documents, including personal identifying and financial information, internal correspondence related to the Clinton Campaign and prior political jobs, and fundraising files and information.","GRU","Clinton Campaign","neutral2"
"During these connections, Military Unit 26165 officers appear to have stolen thousands of emails and attachments, which were later released by WikiLeaks in July 2016.","Military Unit 26165","WikiLeaks","neutral2"
"On July 31, 2016, based on the foreign government reporting, the FBI opened an investigation into potential coordination between the Russian government and individuals associated with the Trump Campaign.","FBI","Russian government","negative1"
"Then-FBI Director James Comey later confirmed to Congress the existence of the FBI's investigation into Russian government interference that had begun before the election.","FBI","Russian government","negative1"
"Sergei Ivanov recently had had a drink with Putin to mark this.","Sergei Ivanov","Putin","neutral2"
"Donald Trump decided to fire James Comey Jr. before receiving advice or a recommendation from the Department of Justice.","Donald Trump","James Comey Jr.","negative1"
"Trump’s first campaign manager and the head of his transition project were each ousted when they questioned the calls of Trump’s son-in-law turned senior adviser, Jared Kushner.","Trump","Jared Kushner","positive2"
"We reported previously (2016/135 and / 136) on secret meeting/s held in Prague, Czech Republic, in August 2016 between then Republican presidential candidate Donald TRUMP's representative, Michael COHEN and his interlocutors from the Kremlin working under cover of Russian 'NGO' Rossotrudnichestvo.","Michael Cohen","Rossotrudnichestvo","neutral2"
"It was the New York Times and the Washington Post, who came to the defense of McMaster, against Breitbart and its cronies and satellites.","Washington Post","Breitbart","negative1"
"“This guy is doing an amazing job,” Steve Bannon tells TIME of Priebus.","Steve Bannon","Priebus","positive1"
"Kirill Dmitriev, the chief executive officer of Russia's sovereign wealth fund, was among the Russians who tried to make contact with the incoming administration.","Kirill Dmitriev","Russia's sovereign wealth fund","neutral1"
"After it was reinstated, GRU officers posing as Guccifer 2.0 wrote [] via private message, ""thank u for writing back ... do u find anyt[h]ing interesting in the docs i posted?""","Guccifer 2.0","GRU","neutral2"
"The order appointing the Special Counsel authorized him to investigate ""the Russian government's efforts to interfere in the 2016 presidential election,"" including any links or coordination between the Russian government and individuals associated with the Trump Campaign.","Russian government","Trump campaign","positive2"
"“Steve Bannon is proud to call Reince Priebus a partner.”)","Steve Bannon","Reince Priebus","positive1"
"Oknyansky claimed that Caputo accompanied Stone to the meeting and provided an introduction, whereas Caputo did not tell us that he had attended and claimed that he was never told what information Oknyansky offered.","Caputo","Stone","neutral2"
"In sum, the investigation established that Russia interfered in the 2016 presidential election through the ""active measures"" social media campaign carried out by the IRA, an organization funded by Prigozhin and companies that he controlled.","Prigozhin","IRA","positive2"
"Throughout 2016, IRA accounts published an increasing number of materials supporting the Trump Campaign and opposing the Clinton Campaign.","IRA","Clinton Campaign","negative2"
"The Office investigated whether those contacts reflected or resulted in the Trump Campaign conspiring or coordinating with Russia in its election-interference activities.","Trump Campaign","Russia","positive2"
"As explained further in Volume I, Section V.A, infra, the Office concluded (and a grand jury has alleged) that Prigozhin, his companies, and IRA employees violated U.S. law through these operations, principally by undermining through deceptive acts the work of federal agencies charged with regulating foreign influence in U.S. elections","IRA","U.S.","negative1"
"GRU officers stole tens of thousands of emails from spearphishing victims, including various Clinton Campaign-related communications.","GRU","Clinton Campaign","negative1"
"Trump's remarks came just days after one of his top aides, Hope Hicks, resigned and his son-in-law and adviser, Jared Kushner, was stripped of his top-secret security clearance.","Hope Hicks","Trump","negative2"
"McMaster was in fact talking to Petraeus often.","McMaster","Petraeus","neutral2"
"Donald Trump ordered White House press secretary Sean Spicer to conduct his first press briefing as a frothing attack dog.","Donald Trump","Sean Spicer","neutral1"
"“I think there’s a lot of weakness coming out of Reince Priebus,” said Ruddy.","Ruddy","Reince Priebus","negative1"
"Trump first named Page as one of a handful of his foreign policy advisers.","Trump","Page","positive2"
"Continuing on this theme, Source G, a senior Kremlin official, confided that the Clinton dossier was controlled exclusively by chief Kremlin spokesman, Dmitriy Peskov, who was responsible for compiling/handling it on the explicit instructions of Putin himself","Dmitriy Peskov","Putin","neutral1"
"As senior aides prepared to announce his departure as a resignation, counselor Kellyanne Conway, who often boasts of her direct access to Trump, went on television to declare that Flynn had “the full confidence of the President.”","Kellyanne Conway","Trump","positive2"
"According to one of Smith's business associates, Smith believed Ledeen's initiative was not viable at that time.","Smith","Ledeen","negative1"
"Page won a fellowship from the Council on Foreign Relations.","Council on Foreign Relations","Page","positive2"
"On May 17, 2017, Acting Attorney General Rod Rosenstein appointed the Special Counsel and authorized him to conduct the investigation that Corney had confirmed in his congressional testimony, as well as matters arising directly from the investigation, and any other matters within the scope of 28 C.F.R. � 600.4(a), which generally covers efforts to interfere with or obstruct the investigation.","Comey","Congress","neutral2"
"Although the investigation established that the Russian government perceived it would benefit from a Trump presidency and worked to secure that outcome, and that the Campaign expected it would benefit electorally from information stolen and released through Russian efforts, the investigation did not establish that members of the Trump Campaign conspired or coordinated with the Russian government in its election interference activities.","Trump campaign","Russian government","positive1"
"Page told Bloomberg News that he was innocent.","Bloomberg News","Page","neutral2"
"In total, Trump Campaign affiliates promoted dozens of tweets, posts, and other political content created by the IRA.","Trump Campaign","IRA","positive1"
"Separately, on August 2, 2016, Trump campaign chairman Paul Manafort met in New York City with his long-time business associate Konstantin Kilimnik, who the FBI assesses to have ties to Russian intelligence.","Konstantin Kilimnik","Russia","neutral2"
"By early to mid-2016, IRA operations included supporting the Trump Campaign and disparaging candidate Hillary Clinton.","IRA","Hillary Clinton","negative1"
"At noon, Sessions, Rosenstein, and Hunt met with McGahn and White House Counsel's Office attorney Uttam Dhillon at the White House.","Sessions","Rosenstein","neutral2"
"Kushner and Powell organized a leak campaign in McMaster’s defense.","Kushner","Powell","positive2"
"DIVEYKIN discussed the release of a Russian dossier of 'kompromat' on TRUMP's opponent, Hillary CLINTON, but also hinted at Kremlin possession of such material on TRUMP.","KREMLIN","Hillary CLINTON","negative1"
"The social media campaign and the GRU hacking operations coincided with a series of contacts between Trump Campaign officials and individuals with ties to the Russian government.","Trump campaign","Russian government","neutral2"
"Strongly suggest Donald Trump Jr.’s dad tweets this link if Donald Trump mentions us wlsearch.tk.""","Donald Trump","Donald Trump Jr.","positive2"
"Donald Trump invited his daughter Ivanka, an amorphous adviser without an official title, into sensitive meetings, and cheered his policy aide Stephen Miller when he went on television to peddle baseless conspiracy theories about phantom Massachusetts residents voting illegally in New Hampshire last fall.","Donald Trump","Stephen Miller","positive1"
"Page’s views may be compromised by his investment in Russian energy giant Gazprom.","Page","Gazprom","positive1"
"Denis is the son of Petr Katsyv","Denis","Petr Katsyv","positive2"
"Around the same time, candidate Trump announced that he hoped Russia would recover emails described as missing from a private server used by Clinton when she was Secretary of State (he later said that he was speaking sarcastically).","Russia","Clinton","negative1"
"On January 6, 2017, members of the intelligence community briefed President-Elect Trump on a joint assessment-drafted and coordinated among the Central Intelligence Agency, FBI, and National Security Agency-that concluded with high confidence that Russia had intervened in the election through a variety of means to assist Trump's candidacy and harm Clinton's.","FBI","National Security Agency","positive2"
"Bannon has mounted an independent effort to combat Donald Trump’s likely impeachment by the House of Representatives.","Bannon","Donald Trump","positive1"
"On August 22, 2016, the Guccifer 2.0 persona transferred approximately 2.5 gigabytes of Florida-related data stolen from the DCCC to a U.S. blogger covering Florida politics.","Guccifer 2.0","DCCC","neutral2"
"The previously unreported meeting was also attended by Mr. Trump’s campaign chairman at the time, Paul J. Manafort, and by the president’s son-in-law, Jared Kushner.","Jared Kushner","Donald Trump Jr.","neutral2"
"Bannon and Conway, campaign holdovers, often goad Trump to return to what Trump likes best, the sneering and jeering that draws cheers from Trump supporters.","Conway","Trump","positive1"
"Between April 18, 2016 and June 8, 2016, Military Unit 26165 compromised more than 30 computers on the DNC network, including the DNC mail server and shared file server.","Military Unit 26165","DNC","negative1"
"On January 6, 2017, members of the intelligence community briefed President-Elect Trump on a joint assessment-drafted and coordinated among the Central Intelligence Agency, FBI, and National Security Agency-that concluded with high confidence that Russia had intervened in the election through a variety of means to assist Trump's candidacy and harm Clinton's.","FBI","President-elect","neutral2"
"The Special Counsel's Office cannot rule out that stolen documents were transferred to WikiLeaks through intermediaries who visited during the summer of 2016.","Special Counsel's Office","WikiLeaks","negative1"
"At noon, Sessions, Rosenstein, and Hunt met with McGahn and White House Counsel's Office attorney Uttam Dhillon at the White House.","Sessions","Uttam Dhillon","neutral2"
"Caputo also stated that he was unaware Oknyansky sought to be paid for the information until Stone informed him after the fact","Caputo","Stone","neutral2"
"The previously unreported meeting was also attended by Mr. Trump’s campaign chairman at the time, Paul J. Manafort, and by the president’s son-in-law, Jared Kushner.","Jared Kushner","Natalia Veselnitskaya","neutral2"
"GRU officers also used the DCLeaks Facebook account, the Twitter account @dcleaks_, and the email account dcleaksproject@gmail.com to communicate privately with reporters and � other U.S. persons.","dcleaksproject@gmail.com","GRU","neutral2"
"“Secretary Mattis is probably one of the most qualified individuals to hold that job,” Senator Jack Reed of Rhode Island, the top Democrat on the Senate Armed Services Committee, said in an interview.","Jack REED","Rhode Island","neutral2"
"Oknyansky and Stone set up a May 2016 in-person meeting","Stone","Oknyansky","neutral2"
"Two individuals headed the IRA's management: its general director, Mikhail Bystov, and its executive director, Mikhail Burchik","Mikhail Burchik","IRA","neutral1"
"The materials were offered to Trump Jr. as ""part of Russia and Russian government's support for Mr. Trump.""","Russian government","Trump Jr.","positive1"
"Entities linked to one Aleksei Gubarov were involved and he and another hacking expert, both recruited under duress by the Russian Federal Security Service, were significant players in this operation.","Aleksei Gubarov","Russian Federal Security Service","neutral1"
"On March 20, 2017, in open-session testimony before HPSCI, Comey stated: I have been authorized by the Department of Justice to confirm that the FBI, as part of our counterintelligence mission, is investigating the Russian government's efforts to interfere in the 2016 presidential election, and that includes investigating the nature of any links between individuals associated with the Trump campaign and the Russian government and whether there was any coordination between the campaign and Russia's efforts ....","Comey","HPSCI","neutral2"
"The first known IRA advertisement explicitly endorsing the Trump Campaign was purchased on April 19, 2016.","IRA","Trump Campaign","positive1"
"WikiLeaks also explained, ""we think trump has only a 25% chance of winning against hillary ... so conflict between bernie and hillary is interesting.""","Bernie","Hillary","negative2"
"On July 6, 2016, WikiLeaks again contacted Guccifer 2.0 through Twitter's private messaging function, writing, ""if you have anything hillary related we want it in the next tweo [sic] days prefab le [sic] because the DNC is approaching and she will solidify bernie supporters behind her after.""","WikiLeaks","Hillary","negative2"
"The FBI and other U.S. government institutions were at the time continuing their investigation of suspected Russian government efforts to interfere in the presidential election.","FBI","Russian government","negative1"
"Beginning in late June 2016, the GRU also used the Guccifer 2.0 persona to release documents directly to reporters and other interested individuals.","Guccifer 2.0","GRU","neutral2"
"Priebus brought with him large chunks of staff from the Republican National Committee who have sought to install tighter controls on whom Trump sees.","Priebus","Republican National Committee","positive2"
"Arkady Dvorkovich is a graduate of the New Economic School, deputy to Prime Minister Dmitry Medvedev and now chairman of the Russian Railways board","Arkady DVORKOVICH","Russian Railways","neutral1"
"These sessions were captured as GRU officers monitored DCCC and DNC employees' work on infected computers regularly between April 2016 and June 2016.","GRU","DCCC","negative1"
"The GRU later released stolen Clinton Campaign and DNC documents through online personas, ""DCLeaks"" and ""Guccifer 2.0,"" and later through the organization WikiLeaks.","WikiLeaks","GRU","positive1"
"The IRA' s operation also included the purchase of political advertisements on social media in the names of U.S. persons and entities, as well as the staging of political rallies inside the United States.","IRA","the United States","neutral1"
"Starting in April 2016, the GRU hacked into the computer networks of the Democratic Congressional Campaign Committee (DCCC) and the Democratic National Committee (DNC).","GRU","DNC","negative1"
"Smith, an investment advisor who was active in Republican politics, also attempted to locate and obtain the deleted Clinton emails","Smith","Clinton","neutral2"
"“WAR ROOM: Impeachment is the only radio show, podcast, website and news service solely dedicated to exposing the Democratic drive to destroy President Trump and his presidency,” a Bannon spokeswoman, Alexandra Preate, said in an email to Bloomberg News.","Alexandra Preate","Bannon","neutral1"
"Rachel Hoff was a member of the Republican Party until recently.","Rachel HOFF","Republican Party","neutral2"
"Between approximately May 25, 2016 and June 1, 2016, GRU officers accessed the DNC's mail server from a GRU-controlled computer leased inside the United States.","GRU","DNC","negative1"
"IRA Facebook groups active during the 2016 campaign covered a range of political issues and included purported conservative groups (with names such as ""Being Patriotic"", ""Stop All Immigrants"", ""Secured Borders"", and ""Tea Party News""), purported Black social justice groups (""Black Matters"", ""Blacktivist"", and ""Don't Shoot Us""), LGBTQ groups (""LGBT United""), and religious groups (""United Muslims of America"").","IRA","""Being Patriotic""","neutral1"
"Kushner and Powell organized a leak campaign in McMaster’s defense.","Powell","McMaster","positive1"
"The first set of GRU-controlled computers, known by the GRU as ""middle servers,"" sent and received messages to and from malware on the DNC/DCCC networks.","GRU","DCCC","negative1"
"Section lII of this Report details the Special Counsel Office's investigation into the Russian hacking operations, as well as other efforts by Trump Campaign supporters to obtain Clinton-related emails.","Special Counsel Office's","Russian","negative1"
"President Trump reacted negatively to the Special Counsel's appointment.","Trump","Special Counsel","negative1"
"After [redacted] WikiLeaks's first Clinton-related release [redacted] , the Trump Campaign stayed in contact [redacted] about WikiLeaks's activities.","WikiLeaks","Clinton Campaign","neutral2"
"Bannon recalled that Donald Trump brought Comey up with him at least eight times on May 3 and May 4, 2017.","Donald Trump","Bannon","neutral2"
"At a dinner on Friday, May 5, attended by the President and various advisors and family members, including Jared Kushner and senior advisor Stephen Miller, the President stated that he wanted to remove Comey and had ideas for a letter that would be used to make the announcement.","Jared Kushner","Stephen Miller","neutral2"
"Donald Trump Jr. arranged a meeting at Trump Tower in Manhattan with a Natalia Veselnitskaya, a Russian lawyer who has connections to the Kremlin.","Donald TRUMP Jr.","Natalia VESELNITSKAYA","neutral2"
"An investigator’s summary of a February 2018 interview with the special counsel’s office -- also reported by Buzzfeed -- said that Bannon told Mueller’s team that Kushner had been on vacation with an unnamed wealthy Russian when he took over leadership of the Trump campaign in August 2016.","Trump campaign","Kushner","positive1"
"Military Unit 74455 assisted in the release of documents stolen by Military Unit 26165, the promotion of those releases, and the publication of anti-Clinton content on social media accounts operated by the GRU.","Military Unit 74455","Military Unit 26165","positive2"
"There were still regular weekly meetings between Mr. Mattis and Secretary of State Mike Pompeo, a political supporter of Donald Trump.","Mike Pompeo","Donald Trump","positive1"
"Speaking in July 2016, a Russian source close to Rosneft President, PUTIN close associate and US-sanctioned individual, Igor SECHIN, confided the details of a recent secret meeting between him and visiting Foreign Affairs Advisor to Republican presidential candidate Donald TRUMP, Carter PAGE.","Carter PAGE","Igor SECHIN","neutral2"
"It was aired on on RussiaTV5, a station whose owners are known to be close to Mr. Putin","RussiaTV5","Putin","positive2"
"The release of the documents was designed and timed to interfere with the 2016 U.S. presidential election and undermine the Clinton Campaign.","GRU","U.S.","negative1"
"Although most commentators believed that the Kremlin was behind the leaked DNC/CLINTON e-mails, this remained technically deniable. Therefore the Russians would not risk their position for the time being with new leaked material, even to a third party like WikiLeaks.","Kremlin","Clinton","negative1"
"Officers from Military Unit 26165 stole thousands of documents from the DCCC and DNC networks, including significant amounts of data pertaining to the 2016 U.S. federal elections.","Military Unit 26165","DCCC","negative1"
"The Russian Embassy made contact hours after the election to congratulate the President-Elect and to arrange a call with President Putin.","Russian embassy","President-elect","positive1"
"GRU Hacking Directed at the Clinton Campaign","GRU","Clinton Campaign","negative1"
"The White House has also undergone turnover and staffing changes in recent days, after one of Donald Trump's top aides and closest confidants, Hope Hicks, resigned and Donald Trump's son-in-law and adviser, Jared Kushner, was stripped of his top-secret security clearance.","Jared Kushner","Donald Trump","positive1"
