"","sentence","head","tail","relation"
"1413","Separately, Gates recalled Stone advising him, prior to the release of an August 14 article in The New York Times about Paul Manafort's ""secret ledger,"" that damaging information was going to be released about Podesta.","Stone","Gates","positive1"
"1414","Unbeknownst to Patten, Kilimnik and Lyovochkin met with Manafort at the Westin in Alexandria during this trip.","Lyovochkin","Manafort","neutral2"
"1415","He has also repeatedly expressed disappointment in the FBI director, Christopher Wray, for failing to more aggressively investigate Mrs Clinton, calling him weak, one of the people said.","Christopher Wray","FBI","neutral1"
"1416","DC Leak Account has some sensitive information too, in particular, Hillary Clinton's financial documents.","DC Leak Account","Hillary Clinton","negative1"
"1417","In June 2014, four IRA employees applied to the U.S. Department of State to enter the United States, while lying about the purpose of their trip and claiming to be four friends who had met at a party.","IRA employees","U.S. Department of State","negative1"
"1418","Later that day, Fotiadis sent updated site renderings using ""Site 22,"" and further updated the renderings the following day with what Fotiadis envisioned as the iconic feature at the top of the building that could house ""[t]he Tallest Restaurant in Moscow.""","Fotiadis","Michael Cohen","neutral2"
"1419","The setup of the dinner, both the physical layout of a private meal and Trump’s pretense that he had not already asked James Comey to stay on multiple occasions, convinced James Comey this was an effort to establish a patronage relationship.","Trump","James Comey","positive1"
"1420","Some members of the Trump Campaign responded to Trump Jr., but he did not communicate further with WikiLeaks on the topic.","Trump Campaign","Trump Jr.","neutral1"
"1421","Patten later told the SCO that he did not lie to the Committee because at the time he only knew Boyarkin as ""Viktor,"" a Russian associate of Kilimnik's who worked for Deripaska.","Boyarkin","Kilimnik","neutral1"
"1422","After Trump’s election, as he waited for a Washington job that never came, Cohen sold himself to corporations as a direct line to the new president.","Trump","Cohen","positive2"
"1423","Starting in approximately 2010, Klyushin and Klyushina co-owned the Innovation & Development Agency, also known as the Agency for Development of Innovative Technologies (APRlT).","Klyushin","the Agency for Development of Innovative Technologies","positive1"
"1424","On July 12, 2017, Cyber Berkut-which had been dormant for months alleged on its blog that Ukraine Government had interfered in the 2016 U.S. elections.","Ukraine Government","2016 U.S. elections","negative1"
"1425","Keith Schiller also did not recall doing any vetting of the transportation entities or arrangements for Donald Trump, or having any communication with the Agalarov's organization to coordinate.","Keith Schiller","Donald Trump","positive1"
"1426","Trump first named Page as one of a handful of his foreign policy advisers.","Trump","Page","positive2"
"1427","According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Emin Agalarov","Murad","positive2"
"1428","Patten told the SCO that after he had left IRI, an IRI employee who worked at IRI's Belarus desk, Trig Olson, made a claim that Kilimnik leaked information to Russian intelligence.","Patten","IRI","negative1"
"1429","Akhmetshin told the Committee that he has also known Simpson for many years, and that they have had mutual clients like Prevezon, but they have never worked together.","Akhmetshin","Prevezon","neutral2"
"1430","These initial contacts eventually led to a coordinated release of documents on the eve of the 2016 Democratic National Convention and later on the heels of the October 7 publication of the Access Hollywood tape.","WikiLeaks","GRU","positive1"
"1431","Goldstone spoke with Emin Agalarov, Kaveladze, Trump Organization counsel Alan Garten, and counsel for Trump Jr. Alan Futerfas regarding the June 9, 2016 meeting.","Goldstone","Emin Agalarov","neutral2"
"1432","Trump has also struggled to square his hiring pledge with the prosecutorial results of former special counsel Robert Mueller’s investigation, which ensnared his former campaign chairman Paul Manafort, former personal attorney and fixer Michael Cohen, longtime informal political adviser Roger Stone and various other close allies.","Trump","Paul Manafort","negative2"
"1433","On July 9, 2017, Garten and Futerfas copied Kaveladze on emails with Goldstone to coordinate and draft a public statement related to what happened at the June 9, 2016 meeting.","Futerfas","Goldstone","neutral2"
"1434","However, Manafort's relationships with PoR figures, most notably Rinat Akhmetov, Serhiy Lyovochkin, and Viktor Yanukovych, increased over time and became independent of Deripaska's involvement.","Manafort","Rinat Akhmetov","neutral2"
"1435","After receiving Trump's approval to proceed, Cohen, Sater, and Rozov moved quickly to agree to basic deal parameters.","Sater","Rozov","positive2"
"1436","But while Manafort and Oates tasked Stone with communicating with WikiLeaks, Manafort advised Gates and others throughout the Campaign that no one should ""touch"" Assange, even though there was a ""growing belief that Assange was, in fact, assisting their effort.""","Manafort","Gates","neutral1"
"1437","I spoke with Don and Ivanka, and Ivanka did not want John Fotiadis' design on the property.","Ivanka","John Fotiadis","negative1"
"1438","Michael Cohen attended with Trump and Schiller.","Trump","Schiller","positive2"
"1439","That evening, Bannon reached out to two Breitbart editors, Wynton Han and Peter Schweizer, to ask if they would be awake ""to get what he [Assange] has live.""","Bannon","Wynton Han","neutral2"
"1440","Priebus brought with him large chunks of staff from the Republican National Committee who have sought to install tighter controls on whom Trump sees.","Priebus","Republican National Committee","positive2"
"1441","Vladimir Putin was on 60 Minutes with Donald Trump three weeks ago, right?","Donald Trump","Vladimir Putin","neutral2"
"1442","However, Gates stated that Manafort at one point did not want to tell Kilimnik about Pericles because he was worried that Kilimnik would share information about Deripaska's fund with other oligarchs.","Manafort","Kilimnik","negative1"
"1443","Cohen stated that he told Trump that Putin was ""interested"" in the project and that if there was a groundbreaking ceremony, Trump and Putin would be expected to be there.","Cohen","Trump","neutral2"
"1444","An investigator’s summary of a February 2018 interview with the special counsel’s office -- also reported by Buzzfeed -- said that Bannon told Mueller’s team that Kushner had been on vacation with an unnamed wealthy Russian when he took over leadership of the Trump campaign in August 2016.","Trump campaign","Kushner","positive1"
"1445","On February 4, 2014, an audio recording of a phone call between then-U.S. Ambassador to Ukraine Geoffrey Pyatt and then-Assistant Secretary of State for European and Eurasian Affairs Victoria Nuland appeared on YouTube.","Victoria Nuland","Secretary of State","neutral1"
"1446","Immediately upon his return to London from that trip, Mifsud told Papadopoulos that the Russian government had ""dirt"" on Hillary Clinton in the form of thousands of emails.","Russian government","Hillary Clinton","negative1"
"1447","On October 3, 2016, WikiLeaks sent another direct message to Trump Jr., asking ""you guys"" to help disseminate a link alleging candidate Clinton had advocated using a drone to target Julian Assange.","Clinton","Julian Assange","negative1"
"1448","Deripaska was the sole investor in Pericles Emerging Market Partners L.P. through a company Deripaska controlled, B-Invest.","Deripaska","Pericles Emerging Market Partners L.P.","positive1"
"1449","Goldstone wrote several emails to Kaveladze, Emin Agalarov, Beniaminov, and three Russian employees of Crocus Group regarding hotel options for the pageant.","Goldstone","Kaveladze","neutral2"
"1450","On September 19, Goldstone emailed Emin Agalarov, writing that, ""According to his [Trump's] office, he is keen to make himself available at any time to meet President Putin, and if necessary, would fly in earlier on Nov 6th.""","Goldstone","Emin Agalarov","neutral1"
"1451","On November 5, 2016, Konstantin Sidorkov from VK again reached out to the Trump Campaign, replying to Goldstone's email to Scavino from June 29.","Konstantin Sidorkov","VK","neutral1"
"1452","One such contact was Rick Gerson, a hedge fund manager and friend of Kushner's.","Kirill Dmitriev","Rick Gerson","neutral1"
"1453","Natalia Veselnitskaya is a Russian lawyer who previously worked for, and remains in contact with, senior individuals in the Russian government.","Natalia Veselnitskaya","Russian Government","positive2"
"1454","Nevins produced communications with the Guccifer 2.0 persona to the Committee. According to those records, on August 12, 2016, after the GRU released materials taken from the DCCC, Nevins suggested over Twitter direct messages that the Guccifer 2.0 persona send ""any Florida based information"" to his email address.","Guccifer 2.0","Nevins","neutral2"
"1455","Beniaminov recalled that the book and letter from Aras Agalarov had been flown to the United States from Russia, couriered by Kaveladze.","Kaveladze","Aras Agalarov","positive1"
"1456","The White House approach has been to keep congressional Republicans aligned against the inquiry and especially against Trump’s removal from office.","congressional Republicans","Trump","positive1"
"1457","In addition to its work on the Magnitsky Act and adoptions, Veselnitskaya's Human Rights Accountability Global Initiative Foundation was intended to have a broader mission to conduct cultural exchanges to improve Russian Government's image in the United States.","Human Rights Accountability Global Initiative Foundation","United States","neutral2"
"1458","DIVEYKIN discussed the release of a Russian dossier of 'kompromat' on TRUMP's opponent, Hillary CLINTON, but also hinted at Kremlin possession of such material on TRUMP.","KREMLIN","TRUMP","negative1"
"1459","As outlined in his indictment and presented at trial, in subsequent congressional testimony to the HPSCI, Stone hid his communications with Corsi about WikiLeaks, and instead identified Credico as his intermediary; he also concealed communications he made directing both Corsi and Credico to obtain advance information about future WikiLeaks releases; and he made misleading and false statements about his communications with the Trump Campaign and individuals associated with the Campaign.","Stone","Credico","neutral2"
"1460","Manafort relayed this advice to Yanukovych through Lyovochkin in 2010. Manafort recalled that Yanukovych subsequently told him that the SBU had cleared Kilimnik.","Yanukovych","Manafort","neutral2"
"1461","Chaika likely has been involved in Russian influence activities, and Chaika's son is sanctioned by the United States.","United States","Chaika's son","negative1"
"1462","Iskenderov's work in France developing large mixed use towers had previously brought him in contact with Putin.","Iskenderov","Putin","neutral1"
"1463","“If I win, I am going to instruct my attorney general to get a special prosecutor to look into Hillary Clinton situation,” Mr Trump said.","Trump","Hillary Clinton","negative1"
"1464","Manafort explained to Gates-who was still working for Manafort' s firm, despite a lack of clients-that working for the Trump Campaign would be ""good for business"" and a·potential way for Manafort's firm to be paid for work done in Ukraine for which they were owed.","Gates","Manafort","neutral1"
"1465","Separately, also on September 12, Goldstone emailed Emin Agalarov, Kaveladze, and Beniaminov.","Goldstone","Emin Agalarov","neutral2"
"1466","It was at that point, for the first time, that Goldstone told Shugart that Manafort and Kushner had participated, as well as Veselnitskaya, and Goldstone described the focus on Browder, who he had not mentioned previously.","Goldstone","Shugart","neutral2"
"1467","Stone and Credico have known each other for years and overlapped on political campaigns.","Stone","Credico","neutral1"
"1468","Graff told the Committee that Trump responded to the Agalarov's November 9 letter with a note written in black pen.","Trump","Agalarov","neutral2"
"1469","Manafort also organized U.S.based firms, particularly Mercury Public Affairs and the Podesta Group, to conduct lobbying and public relations on behalf of the PoR and the Yanukovych regime.","Manafort","the Podesta Group","neutral1"
"1470","In late September 2015, Sater called Andrei Rozov, the head of the Russian real estate development firm I.C. Expert, to present Rozov with the concept for a Trump Tower Moscow.","Sater","Andrei Rozov","neutral2"
"1471","Reince Priebus had to break up one impromptu meeting of Trump and his Homeland Security adviser after an aide asked the chief if there had been a change to the schedule.","Reince Priebus","Trump","negative1"
"1472","It took on additional significance in recent weeks when Mr McGahn left the White House and Mr Trump appointed a relatively inexperienced political loyalist, Matthew Whitaker, as the acting attorney general.","Trump","Matthew Whitaker","neutral1"
"1473","Manafort reminded Trump that Stone had predicted the release and claimed to have access to WikiLeaks.","Stone","Wikileaks","neutral1"
"1474","Information obtained by the Committee suggests that Fabrizio's polling data was of significance to the Trump Campaign and was relied upon by the Campaign's data operation.","Fabrizio","Trump Campaign","positive1"
"1475","During the 2013 trip to Moscow for the Miss Universe Pageant, two Agalarov employees, Artem Klyushin and his then-wife Yulya Klyushina, spent time with Donald Trump.","Yulya Klyushina","Trump","neutral1"
"1476","Gerson and Dmitriev constructed a five-point plan on how to improve relations between Russia and the U.S. and presented it to the Transition Team and the Kremlin, respectively.","Dmitriev","the Transition Team","neutral1"
"1477","Akhmetov's account with Manafort and DMP was handled by Akhmetov's deputy, Kolesnikov, and Kilimnik was the primary conduit for arranging payments to DMP.","Kolesnikov","Akhmetov","neutral2"
"1478","For example, Nastya Rybka, a former Deripaska mistress, was arrested in Thailand and claimed that she was ""the only witness and the missing link in the connection between Russia and the U.S. elections - the long chain of Oleg Deripaska, Prikhodko, Manafort, and Trump.""","Manafort","Trump","positive2"
"1479","Mr.. Trump was there, Paula; Rob Goldstone ,Aras,Emin.","Rob Goldstone","Aras","neutral2"
"1480","Later that same day, he traded missed calls with Trump at various numbers, culminating in a four-minute call from Stone to Trump's direct line.","Stone","Trump","neutral2"
"1481","Rudolph W. Giuliani, the former New York mayor and now one of the president’s attorneys, said Cohen’s claim to loyalty is undermined by his decision to secretly record a phone call with Trump while serving as his lawyer.","Cohen","Trump","neutral1"
"1482","The investigation continued under then-Director Comey for the next seven weeks until May 9, 2017, when President Trump fired Comey as FBI Director-an action which is analyzed in Volume II of the report.","Trump","Comey","negative1"
"1483","Goldstone was meeting Veselnitskaya, Akhmetshin, and Samochomov for the first time.","Goldstone","Samochomov","neutral2"
"1484","So Donald Trump is going to give Vladimir Putin total credit.","Donald Trump","Vladimir Putin","positive1"
"1485","In March 2016, GRU hackers began using research and targeting efforts to learn about Democratic Party websites, including the domains they ultimately hacked.","GRU","Democratic Party","negative1"
"1486","Manafort's position could help Deripaska develop relationships with Trump, which could have been helpful to Deripaska in other ways as well.","Manafort","Deripaska","positive1"
"1487","Regardless, I am sure he will want to write a congratulatory note.""","Donald Trump","Aras Agalarov","positive1"
"1488","Many IRA operations used Facebook accounts created and operated by its specialists.","IRA","Facebook","neutral1"
"1489","According to Cohen, before his Hannity interview, he had conducted an internet search for the Kremlin, found a phone number, and called that number.","Cohen","Kremlin","neutral2"
"1490","The camp and club were owned by Cohen’s uncle, Morty Levine.","Cohen","Morty Levine","positive2"
"1491","Stone then communicated this information to Trump and other senior Campaign officials and affiliates, including Manafort and Gates.","Stone","Manafort","positive1"
"1492","Defendant Papadopoulos was interested in [Mifsud] because, among other reasons, [Mifsud] claimed to have substantial connections with Russian government officials, which defendant Papadopoulos thought could increase his importance as a policy advisor to the Campaign.","Papadopoulos","Mifsud","positive1"
"1493","For example, Kaveladze and Veselnitskaya remained in contact and Kaveladze facilitated at least two additional meetings between Veselnitskaya and Aras Agalarov.","Kaveladze","Veselnitskaya","neutral1"
"1494","He has access to President Putin and to Putin's close aide Dimitry Peskov.","Dimitry Peskov","Putin","positive2"
"1495","Other than Oates's admission that he began using WhatsApp to send polling data to Kilimnik, the Committee has no material information about the content of communications between Manafort or Gates and Kilimnik following the May 7, 2016 meeting until July 7, 2016.","Oates","Kilimnik","neutral2"
"1496","Instead, Bannon understood that Manafort would ""be able to stick around as a figurehead.""","Manafort","Trump Campaign","neutral1"
"1497","Throughout the nine-month effort, Sater, who was born in the Soviet Union and worked for years as an undercover source for US intelligence agencies and the FBI, told Cohen he had connections to top Russian officials and businessmen: Arkady Rotenberg and Boris Rotenberg, brothers who grew up with Putin and were considered his “shadow cabinet”; Andrey Molchanov, a billionaire Russian politician Sater was introduced to by a close personal friend, who proposed building the tower on his property; and a former member of Russia’s military intelligence to whom Sater passed photographs of Cohen’s passport to obtain a visa.","Arkady Rotenberg","Putin","positive2"
"1498","Around the same time, candidate Trump announced that he hoped Russia would recover emails described as missing from a private server used by Clinton when she was Secretary of State (he later said that he was speaking sarcastically).","Russia","Clinton","negative1"
"1499","Despite the contemporaneous statement by the U.S. Government warning of Russian responsibility for the hacking and leaking of the DNC, DCCC, and Clinton Campaign documents and emails, the Trump Campaign considered the release of these materials to be its ""October surprise.""","Russia","Clinton Campaign","negative1"
"1500","As described infra, Kilimnik used his @PBaranenko alias account to tweet a variety of pro-Russian themes, including false information about NotPetya, Bill Browder, MH-17, and the 2014 Maidan protests.","Kilimnik","Russia","positive1"
"1501","Throughout the 2016 U.S. presidential campaign, RT and Sputnik used their social media accounts to push WikiLeaks-related content that disparaged Hillary Clinton.","RT","Hillary Clinton","negative1"
"1502","Witness testimony indicates that Stone may have raised WikiLeaks again to Trump in late July, shortly before the DNC release occurred.","Stone","Trump","neutral2"
"1503","“I don’t want to hurt the Clintons, I really don’t,” Mr Trump said in an interview with The Times.","Trump","The Times","neutral2"
"1504","Manafort and his firm worked with, and became internal consultants to, Prime Minister Milo Djukanovic but billed and reported to Deripaska.","Manafort","Deripaska","positive1"
"1505","Between mid-January 2017 and early February 2017, three congressional committees-the House Permanent Select Committee on Intelligence (HPSCI), the Senate Select Committee on Intelligence (SSCI), and the Senate Judiciary Committee (SJC)-announced that they would conduct inquiries, or had already been conducting inquiries, into Russian government interference in the election.","House Permanent Select Committee on Intelligence (HPSCI)","Russian government","negative1"
"1506","Now, as he prepares to testify before two congressional committees this month and faces a three-year prison sentence beginning in March, Cohen finds himself repeatedly denigrated by Donald Trump he publicly revered.","Donald Trump","Cohen","negative1"
"1507","After less than a year, Sater left his advisory role to the Trump Organization without completing any new deals.","Sater","Trump Organization","negative1"
"1508","As described below, the GRU used both DCLeaks and Guccifer 2.0 personas to communicate with WikiLeaks, using private Twitter direct messaging, as well as encrypted channels, possibly including the email of encrypted files and WikiLeaks's private communication system.","GRU","Guccifer","neutral1"
"1509","Speaking in early August 2016, two well-placed and established Kremlin sources outlined the divisions and backlash in Moscow arising from the leaking of Democratic National Committee (DNC) e-mails and the wider pro-Trump operation being conducted in the US.","Kremlin","Democratic National Committee","negative1"
"1510","While there is no direct evidence linking these proposals to Cohen's Kremlin outreach, the timing of the proposals suggests there may be some link between the two.","Cohen","Kremlin","neutral1"
"1511","Rachel Hoff was a member of the Republican Party until recently.","Rachel HOFF","Republican Party","neutral2"
"1512","The Guccifer 2.0 persona ultimately released thousands of documents stolen from the DNC and DCCC in a series of blog posts between June 15, 2016 and October 18, 2016.","Guccifer 2.0","DNC","neutral2"
"1513","In 1994, Morty Levine attended Michael Cohen and Laura Shusterman’s wedding at the Pierre Hotel on Fifth Avenue.","Morty Levine","Laura Shusterman","positive2"
"1514","Corsi recalled learning from Stone that the Access Hollywood tape would be coming out, and that Stone ""[w]anted the Podesta stuff to balance the news cycle"" either ""right then or at least coincident.""","Corsi","Stone","neutral2"
"1515","Sater told Cohen that ""Putin is there on the 17th very strong chance you will meet him as well.""","Sater","Cohen","neutral2"
"1516","Sam Nunberg, another Trump adviser at the time, was angered to learn from a Republican operative that Cohen had raised the subject with Ed Cox, chairman of New York’s GOP.","Sam Nunberg","Trump","positive1"
"1517","The GRU had used malware called ""X-Agent"" to take screenshots and capture the key strokes of a DCCC employee who had authorization to access the DNC network.","GRU","DCCC","negative1"
"1518","“The bitch is dead.”","Steve Bannon","Ivanka Trump","negative1"
"1519","In [redacted] 2016 internal [redacted] reviewing the IRA-controlled Facebook group ""Secured Borders,"" the author criticized the ""lower number of posts dedicated to criticizing Hillary Clinton"" and reminded the Facebook specialist ""it is imperative to intensify criticizing Hillary Clinton.""","IRA","Hillary Clinton","negative1"
"1520","Following the meeting with Yakunin, Rohrabacher, Behrends, and the other members of the delegation met with Konstantin Kosachev, the Chairman of the Council of the Federation Committee on Foreign Affairs.","Yakunin","Behrends","neutral2"
"1521","Days after the June 9 meeting, on June 14, 2016, a cybersecurity firm and the DNC announced that Russian government hackers had infiltrated the DNC and obtained access to opposition research on candidate Trump, among other documents.","DNC","Trump","negative1"
"1522","Talks to construct the 100-story building continued even as the presidential candidate alternately bragged about the presidential candidate relationship with Vladimir Putin and rejected suggestions of Russian influence, and as Russian agents worked to sway US public opinion on the presidential candidate behalf.","Russia","US public","neutral1"
"1523","Kondratyev is the Chair of the Security and Defense Committee in the Russian Federation Council.","Security and Defense Committee","Russian Federation Council","positive2"
"1524","Dear Emin & Aras: There are few things better than receiving a sensational gift from someone you admire and that's what Donald Trump has received from you.","Donald Trump","Aras","positive2"
"1525","By stealing network access credentials along the way (including those of IT administrators with unrestricted access to the system), the GRU compromised approximately 29 different computers on the DCCC network.","GRU","DCCC","negative1"
"1526","Tarazov and Standik were later declared persona non grata in 2018 by the United States.","United State","Standik","negative1"
"1527","Manafort's involvement with the GRU hack-and-leak operation is largely unknown","Manafort","GRU hack-and-leak operation","positive1"
"1528","Steve Bannon’s off-balance-sheet communications staff—Bossie, Lewandowski, Jason Miller, Sam Nunberg (even though he had long fallen out with Trump himself), and Alexandra Preate—formed quite a private army of leakers and defenders.","Steve Bannon","Bossie","positive2"
"1529","According to public reporting, VK's original leadership was pushed out, in an effort that involved the Russian FSB, and replaced with Kremlin-aligned ownership in 2013 and 2014.","Russian FSB","VK","positive1"
"1530","Also on June 14, Goldstone emailed Emin Agalarov and Kaveladze and attached a CNN article titled, ""Russian hackers stole Democratic Party's Trump files, firm says.""","Democratic Party","Trump","neutral1"
"1531","After the election, Cohen was part of an alleged joint defense agreement (JDA) with an unknown number of other Trump-affiliated individuals, including Trump himself, the Trump Organization, Jared Kushner, Ivanka Trump, Felix Sater, and others.","Trump","Ivanka Trump","positive2"
"1532","This was managed on the Trump side by the Republican candidate's campaign manager, Paul Manafort, who was using foreign policy advisor, Carter Page, and others as intermediaries with Russian leadership.","Russian leadership","Carter Page","positive2"
"1533","At roughly the same time, others close to Trump were telling Breitbart News, the conservative website once run by Trump strategist Steve Bannon, that aides were drawing up a list of replacements for Priebus.","Steve Bannon","Breitbart News","neutral2"
"1534","Aras Agalarov is a Russian oligarch, originally from Azerbaijan, and is the head of the Crocus Group.","Aras Agalarov","Crocus Group","positive1"
"1535","Approximately two weeks after the meeting, Kilimnik told an associate that he had ""seen Manafort last week"" and ""got a sense that everything that Trump says about Russia and Ukraine is Trump's own emotional opinion, not campaign strategy.""","Kilimnik","Manafort","neutral2"
"1536","On April 7, 2016, the day after successfully spearphishing a DCCC employee, a GRU officer searched for technical information about the DCCC's network configurations to help identify connected devices and, presumably, vulnerabilities","GRU","DCCC","negative1"
"1537","Steve Bannon is recording a daily podcast, “War Room: Impeachment,” that dissects developments in the case with Jason Miller, a former communications aide to Trump, and Raheem Kassam, a former adviser to the U.K. Brexit Party leader Nigel Farage.","Steve Bannon","Jason Miller","positive2"
"1538","In connection with its releases, the GRU created a corresponding DCLeaks Twitter account, @dcleaks_, on June 8, 2016.","GRU","DCLeaks Twitter account","positive2"
"1539","The Committee sought to understand the meeting, which involved Donald Trump Jr., Jared Kushner, Paul Manafort, a Russian lawyer named Natalia Veselnitskaya, and four ofher associates.","Jared Kushner","Natalia Veselnitskaya","neutral2"
"1540","At some point shortly after Cohen's call with Peskov's assistant, Cohen told Trump about the call.","Cohen","Peskov","neutral2"
"1541","Agalarov is also an associate of Yuri Chaika, who until 2020 was the Russian Government Prosecutor General, a position which is similar to that of the U.S. Attorney General.","Yuri Chaika","Russian Government","neutral1"
"1542","In the immediate aftermath of the Orange Revolution, Deripaska contacted Manafort and directed him to begin work to rehabilitate Yanukovych and the PoR.","Deripaska","the PoR","positive1"
"1543","So eventually Irakly “Ike” Kaveladze is telling her [Veselnitskaya] that the meeting is not going to happen.","Irakly “Ike” Kaveladze","Veselnitskaya","neutral2"
"1544","In sum, the investigation established that Russia interfered in the 2016 United States presidential election through the ""active measures"" social media campaign carried out by the IRA, an organization funded by Prigozhin and companies that he controlled.","IRA","United States","negative2"
"1545","The GRU released through dcleaks.com thousands of documents, including personal identifying and financial information, internal correspondence related to the Clinton Campaign and prior political jobs, and fundraising files and information.","GRU","Clinton Campaign","neutral2"
"1546","In addition, following more text messages from Stone, Credico advised him: ""I think it's on for tomorrow.""","Credico","Stone","neutral2"
"1547","Credico was in London to see a friend and had agreed to deliver a letter to Assange from Berthold Reimers, Manager of the WBAI radio station.","Berthold Reimers","Assange","neutral2"
"1548","According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Olivia Culpo","Murad","neutral2"
"1549","In the 1990s, Trump pursued developments in Russia with various American businessmen, including Bennett LeBow, Howard Lorber, and others (described infra Vol. 5, Sec. III.I.4).","Trump","Bennett LeBow","positive1"
"1550","He is recording a daily podcast, “War Room: Impeachment,” that dissects developments in the case with Jason Miller, a former communications aide to Trump, and Raheem Kassam, a former adviser to the U.K. Brexit Party leader Nigel Farage.","Raheem Kassam","Nigel Farage","neutral1"
"1551","Communications between the GRU' s DCLeaks persona and WikiLeaks provide some indications that the GRU used the DCLeaks persona to transfer data in the lead up to the Podesta release.","DCLeaks","Wikileaks","neutral2"
"1552","Kilimnik also spoke with Lyovochkin prior to his trip to the United States.","Kilimnik","Lyovochkin","neutral2"
"1553","Using the Guccifer 2.0 persona, the GRU emailed The Smoking Gun news website on June 27, 2016, offering ""exclusive access to some leaked emails linked to Hillary Clinton's staff.""","GRU","Guccifer 2.0","positive1"
"1554","According to Nunberg, Cox was flabbergasted that Cohen had spoken of his own political aspirations at the start of a discussion meant to be about Trump’s gubernatorial campaign.","Cox","Cohen","negative1"
"1555","The IRA' s operation also included the purchase of political advertisements on social media in the names of U.S. persons and entities, as well as the staging of political rallies inside the United States.","IRA","the United States","neutral1"
"1556","Vladimir Putin wishes Donald Trump well, and he says that he'd like to invite him on his next visit to meet with him, whenever or wherever that should be within Russia.","Vladimir Putin","Donald Trump","positive1"
"1557","Deripaska has managed and financed Kremlin-approved and -directed active measures campaigns, including information operations and election interference efforts.","Deripaska","Kremlin","positive2"
"1558","Rykov has also claimed involvement in the 2017 presidential election in France.","Rykov","France","negative1"
"1559","At the end of September, Stone privately conveyed information about a future WikiLeaks release to Trump and Manafort.","Stone","Manafort","neutral2"
"1560","Stone also tweeted at WikiLeaks and the Guccifer 2.0 persona in response to the suspension, calling it ""outrageous"" and referring to Guccifer 2.0 as a ""HERO.""","Stone","WikiLeaks","positive1"
"1561","According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Keith Schiller","Timur Beniaminov","neutral2"
